Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
33	item033	Elfenspeer	250	Weapon1or2	Spear	1d9	5	6	9	Speer	9	0	0	0	133	Elfenwaffen sind so anmutig, wie sie praktisch sind. Die Form des Speeres und seine Eleganz beeinträchtigen nicht seine Handhabbarkeit.
34	item034	Grausamer Speer	450	Weapon1or2	Spear	1d9	9	6	13	Speer	9	0	0	7	135	Der dreischneidige Speerkopf verursacht besonders schmerzhafte Verletzungen, die nicht gut verheilen. Runen, die entlang des Schaftes eingraviert sind, lassen eine magische Verstärkung der grausamen Wirkung des dreischneidigen Kopfes vermuten.
35	item035	Großartiger Speer	600	Weapon1or2	Spear	1d9	13	6	18	Speer	9	0	0	5	126	Ein Schmiedesymbol und Datum bezeugen, daß diese Waffe in den magischen Schmieden des Gouverneur Padish entstand, 12 Jahre vor der Stille.
36	item036	Hellebarde	200	Weapon1or2	Spear	3d6	0	6	1	Hellebarde	10	0	0	29	141	Wie alle Hellebarden ist diese Waffe ursprünglich eine Axt mit einem langen Schaft. Sie ist eine vielseitige Waffe - als Speer verwendbar, wenn der Raum zum Kämpfen gering ist oder auch als Stab zur Selbstverteidigung. Diese Waffe ist von üblicher Verarbeitung und einfachem Material.
37	item038	Gewichtete Hellebarde	400	Weapon1or2	Spear	3d6	4	6	7	Hellebarde	10	0	0	28	141	Der Schaft dieser Hellebarde ist ausgehöhlt und mit einem bleiernen Stab gefüllt. Wird die Waffe geschwungen, rutscht der Bleistab mit lautem Knacken Richtung Axtblatt und erhöht die Durchschlagskraft des Schlages.
38	item037	Mächtige Hellebarde 	700	Weapon1or2	Spear	3d6	10	6	13	Hellebarde	10	0	0	28	140	Eine kleine Gravur auf dem Blatt dieser Waffe deutet darauf hin, daß sie aus den Schmieden von Mekorig stammt, geschmiedet vom Meister selber, Mekorig dem Blinden. Es wird schwer werden, eine bessere Hellebarde zu finden.
39	item039	Dreizack	100	Weapon1or2	Spear	2d6	0	6	1	Dreizack	11	0	0	8	146	Als eine Variante der Mistgabel der Bauern, benutzten Speerfischer den Dreizack seid Anbeginn der Zeit. Nun ist es die traditionelle Waffe aller seefahrenden Krieger überall in der Welt. 
40	item040	Dreizack mit Widerhaken	350	Weapon1or2	Spear	2d6	6	6	7	Dreizack	11	0	0	9	142	Die Spitzen dieses Dreizacks sind mit nach hinten gebogenen Widerhaken versehen. Diese verursachen derben Schaden, wenn sie wieder aus einem Gegner herausgezogen werden.
41	item041	Kriegsdreizack	650	Weapon1or2	Spear	2d6	12	6	13	Dreizack	11	0	0	18	139	"Das bevorzugte Modell der regnanischen Flotte; die beiden äußeren Zinken sind dünn und scharf, um mit der Waffe ebenso schlagen wie stechen zu können. Um den Gegner noch mehr zu beeindrucken, wurden die Zinken mit Messing bezogen und der Schaft gelb gefärbt, so daß es aussah, als würden die Regnaner mit goldenen Waffen kämpfen."
42	item042	Bogen	100	Missile	Bow	5d2	0	3	1	Langbogen	12	0	0	12	40	Ein einfacher Langbogen, gefertigt aus einfachen Materialien und ohne Einfallsreichtum.
43	item043	Langbogen	200	Missile	Bow	5d2	2	3	4	Langbogen	12	0	0	12	40	Ein Bogen höherer Qualität, dem Elfenbogen nachempfunden, jedoch ohne dessen Eigenschaften zu erreichen.
44	item044	Elfen - Langbogen	250	Missile	Bow	5d2	3	3	7	Langbogen	12	0	0	12	40	Geprägte Initialen an den Enden des Bogens belegen, daß er vom Meisterbogner Ivan Selving selbst, während der Holzkriege im späten 6. Jahrhundert, angefertigt wurde.
45	item045	Kompositbogen	350	Missile	Bow	5d2	5	3	12	Langbogen	12	0	0	12	40	Kompositbögen werden nicht aus einem einzelnen Stück Holz, sondern aus mehreren Materialien und Teilen gefertigt. Sie sind flexibler und stärker als normale Bögen.
46	item046	Greifenbogen	450	Missile	Bow	5d2	7	3	17	Langbogen	12	0	0	12	40	Die grauenhaften Materialien, die zur Herstellung dieses Bogens benutzt wurden - ein Greifenschädel und eine Greifenwirbelsäule - machen ihn bemerkenswert robust und mächtig. Überflüssig zu erwähnen, daß die Materialien schwer zu beschaffen sind...Greifen wehren sich heftiger als Eiben.
47	item047	Armbrust	50	Missile	Bow	4d2	0	4	1	Armbrust	13	0	0	12	10	Obwohl Armbrüste viele Vorteile haben - Sehnenschloß, hohe Durchschlagskraft, einfache Handhabung - so können sie doch mit dem Langbogen in Geschwindigkeit und Reichweite nicht gleichziehen.
48	item048	Schwere Armbrust	240	Missile	Bow	4d2	4	4	8	Armbrust	13	0	0	12	10	Diese Armbrüste wurden von Archibald kurz vor dem Erbfolgekrieg angesammelt, um sie gegen seinen Bruder einzusetzen. Wie alle anderen Entscheidungen Archibalds, in denen es um Tod geht, war diese weise. Diese Armbrüste gehören zu den besten des Landes.
49	item049	Spezialarmbrust	400	Missile	Bow	4d2	8	4	15	Armbrust	13	0	0	26	10	Ausgestattet mit einer Handkurbel und einem Schaftvisier, sind diese Waffen allen anderen Armbrüsten überlegen. Alleine woher sie stammen ist ein Geheimnis... 
50	item050	Streitkolben	40	Weapon	Mace	1d8	0	6	1	Streitkolben	14	0	0	6	95	Kaum einfallsreicher als ein normaler Knüppel, ist der Streitkolben doch deutlich effizienter und wesentlich haltbarer.
51	item051	Dornenbesetzter Streitkolben	150	Weapon	Mace	1d8	2	6	4	Streitkolben	14	0	0	10	96	Diese Waffe wurde entworfen, um derben Schaden an gepanzerten wie ungepanzerten Gegnern zu verursachen.
52	item052	Zealoten - Streitkolben	250	Weapon	Mace	1d8	5	6	7	Streitkolben	14	0	0	12	94	Ein alltäglicher Streitkolben aus Karigor. Er weist die übliche überlegene Qualität aller Waffen und Ausrüstungsgegenstände dieser Insel auf.
53	item053	Zwergen - Morgenstern	400	Weapon	Mace	1d8	8	6	13	Morgenstern	14	0	0	1	67	Als Abwandlung eines Streitkolbens ist der Morgenstern langsamer, aber deutlich härter. Die Stacheln auf der Metallkugel stellen sicher, daß der Gegner den Schlag spüren wird, egal, ob er gepanzert ist oder nicht.
54	item054	Mächtiger Kriegsflegel	550	Weapon	Mace	1d8	11	6	18	Streitkolben	14	0	0	1	78	Der schwere Flegel, eine bedrohlichere Waffe als der Morgenstern, ist für den Träger wohl genauso gefährlich, wie für den Gegner. Dieser Flegel ist von höchster Qualität, sorgfältig von den Hexern von Nighon verzaubert.
55	item055	Hammer	120	Weapon	Mace	2d5	0	6	1	Hammer	15	0	0	11	71	Eine rohe, werkzeugähnliche Waffe, die mit einem Gelenkband ausgestattet ist, damit sie dem Träger nicht aus der Hand fallen kann.
56	item056	Streithammer	300	Weapon	Mace	2d5	4	6	8	Hammer	15	0	0	19	98	Einen Schritt weiter in der Konstruktionsqualität sind diese Hämmer, die gerne von humanoiden Monstern benutzt werden. Da jedermann weiß, daß Monster keine Waffen herstellen, drängt sich die Frage auf, woher die Monster sie haben...
57	item057	Zwergen - Hammer	600	Weapon	Mace	2d5	10	6	14	Hammer	15	0	0	19	88	Die besten Waffen der Hammer - Waffenfamilie. Dieser Hammer wurde in den Schmieden zu Steinstadt erschaffen und jede Eigenschaft ist perfekt - die Balance, das Gewicht, verwendetes Material und Kopfbeschaffenheit - nur die besten metallurgischen Techniken.
58	item058	Knüppel	1	Weapon	Club	1d3	0	3	0	Knüppel	16	0	0	5	121	Eine primitive Waffe, die selbst das dümmste Monster zu führen versteht. Der Knüppel wird aus der Erathianischen Eiche hergestellt.
59	item059	Dornenbesetzter Knüppel	40	Weapon	Club	1d3	3	3	3	Knüppel	16	0	0	3	87	Eine Verbesserung gegenüber dem einfachen Knüppel. Die scharfen Dornen verursachen häßliche Wunden.
60	item060	Stahlknüppel	100	Weapon	Club	1d3	5	3	6	Knüppel	16	0	0	7	100	Die Symmetrie und die Länge der Ausbeulung am Ende des Knüppels sind das einzige, was diesen Knüppel von einem Streitkolben unterscheidet. Die Balance ist gut, die Konstruktion ist solide, aber es ist nur ein Knüppel und nur das können Sie auch von ihm erwarten. Möglicherweise entstammt er einer Goblinschmiede.
61	item061	Stab	40	Weapon2	Staff	2d4	0	3	1	Stab	17	0	0	1	115	Der Stab ist die übliche Waffe der Unterdrückten.
62	item062	Eisenkern - Stab	250	Weapon2	Staff	2d4	3	3	7	Stab	17	0	0	2	101	Dieser Stab ist mit Eisen gefüllt, was seine Schlagkraft gegenüber einem normalen Stab beträchtlich erhöht, obwohl er nur wie ein einfacher Wanderstab aussieht. Das Holz ist polierte Esche, das mit geschmackvollen Schnitzereien verziert wurde.
63	item063	Magierstab	500	Weapon2	Staff	2d4	7	3	13	Stab	17	0	0	3	96	Eine unheimliche Mischung aus Holz, Glas und Aluminium formt diesen Stab, dessen Ende von einem Kristall gekrönt wird. Die ganze Waffe ist mit Magie durchwoben und eine der leichtesten und stärksten Stäbe dieser Welt.
64	item064	Blaster	5000	Missile	Blaster	5d3	4	10	45	Waffe der Alten	18	0	0	7	-85	Eine Waffe mit fürchterlicher Macht, sicherlich zur Zeit der Wunder hergestellt.
65	item065	Blaster - Gewehr	20000	Missile	Blaster	5d3	12	10	50	Waffe der Alten	19	0	0	3	5	Die besten Waffen, die während der Zeit der Wunder hergestellt wurden. Das Blaster - Gewehr schickt Ihre Gegner schneller ins Grab, als irgendeine andere Waffe.
66	item066	Lederrüstung	150	Armor	Leather	4	0	3	1	Lederrüstung	20	0	0	0	0	Die Lederrüstung ist die leichteste und am bequemsten zu tragende Rüstung, aber sie schützt auch weniger als die schwereren Panzerungen. Das Leder dieser Rüstung wurde unzureichend getrocknet, die Chemikalien, die bei seiner Herstellung benutzt wurden, stinken noch immer.
67	item067	Verstärkte Lederrüstung	250	Armor	Leather	4	2	3	4	Lederrüstung	20	0	0	0	0	Dieser Lederpanzer wird durch Bronzebeschläge und nicht durch Lederriemen zusammengehalten. Das macht ihn stärker, aber auch schwerer.
68	item068	Offiziers - Lederrüstung	450	Armor	Leather	4	6	3	8	Lederrüstung	20	0	0	0	0	Eine ansonsten normale Lederrüstung wurde mit einer einfachen Verzauberung versehen, die das Material gegen Schläge stärkt, ohne das Gewicht zu erhöhen.
69	item069	Regnanische Lederrüstung	750	Armor	Leather	4	12	3	12	Lederrüstung	20	0	0	0	0	Standardlederrüstung der Offiziere der regnanischen Flotte. Alle Rüstungen wurden während ihrer Herstellung in den regnanischen Schmieden verzaubert, um sie widerstandsfähiger und leichter zu machen.
70	item070	Königliches Leder	1150	Armor	Leather	4	20	3	16	Lederrüstung	20	0	0	0	0	Nur wenige Panzer wie dieser wurden hergestellt, und das auch nur für Mitglieder der königlichen Familie von Erathia, den Greifenherz'. Diese Rüstung kann nur von drei Orten stammen: gestohlen aus der königlichen Rüstkammer, vom Schlachtfeld gefleddert oder aus einem Grab geraubt.
71	item071	Kettenpanzer	400	Armor	Chain	8	0	6	1	Kettenpanzer	21	0	0	0	0	Kettenpanzer bestehen aus kleinen, verwobenen Metallringen. Es hat den Anschein, als ob die Ringe nicht geölt wurden oder jemand den Panzer im Regen vergessen hätte, denn er hat schon etwas Rost angesetzt.
72	item072	Stahl - Kettenpanzer	600	Armor	Chain	8	4	6	5	Kettenpanzer	21	0	0	0	0	Dieser Panzer ist aus Stahlringen gefertigt. Dadurch ist er leichter als vergleichbare Eisenpanzerungen. Es wurden sehr kleine Ringe bei seiner Herstellung verwendet, aber der Stahl macht sie sehr stark.
73	item073	Edler Kettenpanzer	900	Armor	Chain	8	10	6	10	Kettenpanzer	21	0	0	0	0	Hochwertiger Stahl wurde mit nietenversetztem Leder verstärkt, um Schlägen die Wucht zu nehmen und gleichzeitig das Gewicht zu reduzieren. Der Lederanteil ist künstlerisch und sieht besonders gut aus.
74	item074	Strahlender Kettenpanzer	1300	Armor	Chain	8	18	6	15	Kettenpanzer	21	0	0	0	0	Diese auffällige Rüstung diente dem Zweck, Offiziere in der Schlacht zu kennzeichnen. Die Rüstung sieht nicht nur gut aus, sie ist auch einer der leichtesten Kettenpanzer und schränkt die Beweglichkeit kaum ein.
75	item075	Goldener Kettenpanzer	1800	Armor	Chain	8	28	6	20	Kettenpanzer	21	0	0	0	0	Eine der sehr seltenen Rüstungen, die von den himmlischen Schmieden des Gouverneur Padish vor der Stille hervorgebracht wurden. Diese Rüstungen wurden ursprünglich nur von den höchsten Offizieren des Gouverneur Padishs als Zeichen ihres Ranges getragen. Jedoch sind diese Rüstungen nicht nur ein Zeichen, sondern es handelt sich um die besten, leichtesten, stärksten und beweglichsten Kettenpanzer der Welt.
76	item076	Plattenpanzer	1000	Armor	Plate	20	0	9	1	Plattenpanzer	22	0	0	0	0	Plattenpanzer sind die stärksten verfügbaren Panzerungen. Sie sind viel schwerer als alle anderen Rüstungsarten und verlangen einiges an Übung, um sie tragen zu können. Diese Rüstung wurde aus Eisen gefertigt und die Verarbeitung ist nichts besonders gut.
77	item077	Prächtiger Plattenpanzer	1800	Armor	Plate	20	16	9	10	Plattenpanzer	22	0	0	0	0	Diese Rüstung wurde in einer erathianischen Schmiede gefertigt und trägt eine alte Prägung: B.R., Steadwick Schmiede, 1151. Die Initialen sind von Byron Rockermann, königlicher Hofschmied von Erathia. Seine Arbeit ist fachkundig und elegant.
78	item078	Edler Plattenpanzer	2700	Armor	Plate	20	34	9	20	Plattenpanzer	22	0	0	0	0	Eine solch hervorragende Arbeit kann nur aus der Schmiede des Meisters selbst, Mekorig dem Blinden, stammen. Und tatsächlich trägt diese Rüstung die Initialen seines Sohnes, Kasev Mekorig. Die Gelenke lassen sich leicht bewegen. Das Metall hat eine merkwürdige Dreifachbeschichtung, die es dünn und leicht, aber dennoch unglaublich stark macht. Sie ist auch gut gepolstert.
79	item079	Goblinschild	200	Shield	Shield	6	0	4	1	großer Schild	23	0	0	56	73	Ein einfacher, alter Schild mit groben Zeichen auf der Front. Häßlich, aber praktisch.
80	item080	Holzschild	300	Shield	Shield	6	1	4	4	großer Schild	23	0	0	56	73	Dieser Schild besteht aus Holz mit einem Metallrahmen. Er ist schwer, aber stabil gebaut und in guter Verfassung.
81	item081	Reiterschild	400	Shield	Shield	6	3	4	8	großer Schild	23	0	0	56	90	Dieser Schild verjüngt sich zu seinem unteren Ende hin, um vom Pferderücken aus einsetzbar zu sein. Allerdings leistet er auch Fußsoldaten gute Dienste. Konstruktion und Materialien sind sehr gut, der Schild sollte auch einem direkten Lanzentreffer standhalten.
82	item082	Silberschild	500	Shield	Shield	6	7	4	12	großer Schild	23	0	0	61	95	Dieser Schild, der aus besonders leichtem Material geschmiedet wurde, trägt die Prägung der Schmieden der Kelebrim Rüstungswerkstätten. Trotz seines geringen Gewichtes ist das Material sehr stark und das Metall ist nahtlos verarbeitet.
83	item083	Phynaxia - Schild	800	Shield	Shield	6	13	4	16	großer Schild	23	0	0	65	90	Diese Schilde wurden im phynaxianischen Imperium, während dessen kurzen Aufstiegs zur Macht über die südlichen Steppen Erathias geschmiedet (790-864). Sie sind aus Stalt gefertigt, einem Metall, daß sich besonders für Verzauberungen eignet, und trugen sehr zur Stärke der phynaxianischen Armee bei. Unglücklicherweise konnte nur wenig des Metalls geschürft werden und Phynaxia fiel 864 n.St. unter einem Elfenangriff.
84	item084	Holz - Buckelschild	100	Shield	Shield	4	0	4	1	kleiner Schild	24	0	0	25	25	Der kleine Holz - Buckelschild wird zur Abwehr von Pfeilen benutzt, ohne seinen Träger über Gebühren zu behindern. Er ist von einfacher Qualität und wird seinen Zweck erfüllen.
85	item085	Bronzeschild	200	Shield	Shield	4	2	4	4	kleiner Schild	24	0	0	55	44	Bronzeschilde sind leichter als Eisenschilde gleicher Größe, aber sie sind auch bei weitem nicht so stark.
86	item086	Metallschild	300	Shield	Shield	4	4	4	8	kleiner Schild	24	0	0	63	60	Das hübsche rote Design auf der Oberfläche des Schildes zeigt, daß er aus Deyja stammt, allerdings ist die Farbe keine Farbe! Bestimmte Öle und Konservierungsmittel helfen, die ursprüngliche Farbe zu erhalten...
87	item087	Beschichteter Schild	450	Shield	Shield	4	8	4	12	kleiner Schild	24	0	0	55	55	Die genaue Zusammensetzung der Metalle in diesen Schilden ist seid Jahrhunderten in Vergessenheit geraten. Versuche, dieses Wissen wieder zu erlangen, scheiterten. Es war keine Zauberei an diesen Schilden, alle Verzauberungen, die sie tragen mögen, sind später hinzugefügt worden.
88	item088	Majestätischer Schild	750	Shield	Shield	4	14	4	16	kleiner Schild	24	0	0	55	55	Die dunkle goldene Farbe dieser Schilde ist eigentlich ein Herstellungsfehler. An die 50 dieser Schilde wurden von der himmlischen Schmiede geschaffen, als diese anfing zu versagen. Obwohl sie unvollkommen sind, werden sie nur von Schilden aus der Schmiede zu ihrer Blütezeit übertroffen.
89	item089	Hörnerhelm	60	Helm	Misc	2	0	6	1	Helm	25	0	0	0	20	Dieser billige Helm ist eher für einen Maskenball als für das Schlachtfeld geeignet. Die Hörner wurden in eine Kappe aus hartem Leder gesteckt, die dann schwarz gefärbt wurde, um gefährlicher auszusehen. Das Material ist spröde und zerbrechlich und wird vermutlich zum unpassendsten Moment seinen Geist aufgeben.
90	item090	Einfacher Helm	260	Helm	Misc	2	4	6	4	Helm	25	0	0	0	0	Die einfache Gestalt und Gleichförmigkeit dieser Helme sollten die Herzen der Feinde mit Schrecken erfüllen, wenn sie Reihe auf Reihe aus bronzefarbenen, stachelbewehrten Helmen auf sich zumarschieren sehen.
91	item091	Topfhelm	460	Helm	Misc	2	6	6	8	Helm	25	0	0	0	0	Diese Art Helm wurde von den Elfen Erathias schon vor der Stille verwendet. Er besteht aus Silber und Stahl und ist sehr stabil.
92	item092	Phynaxia - Helm	660	Helm	Misc	2	8	6	12	Helm	25	0	0	0	0	Diese zähen, aber flexiblen und leichten Helme wurden von den phynaxianischen Dragonern bei der Ausbreitung ihres Herrschaftsbereiches vor einigen Jahrhunderten getragen. Sie bestehen aus zwei Streifen Drachenleder, die mit Stalt - Metallnieten zusammen gehalten werden.
93	item093	Mogred - Helm	860	Helm	Misc	2	10	6	16	Helm	25	0	0	0	-3	Diese Helme werden immer seltener, da sie aus dem Schädel des wilden Mogred aus Karigor hergestellt werden, der vom Aussterben bedroht ist. Zwei giftige Stachel wachsen aus den roten Punkten an der Vorderseite des Helmes.
94	item094	Einfacher Hut	20	Helm	Misc	0	0	2	1	Hut	26	0	0	0	0	Ein einfacher Hut, in dessen Hutband eine Feder steckt, um wenigstens ein bißchen Stil zu zeigen.
95	item095	Wandersmanns Hut	100	Helm	Misc	0	0	2	4	Hut	26	0	0	0	0	Der einfache Hut soll den Kopf des Wanderers vor der Sonne und vor Staub schützen.
96	item096	Feiner Hut	200	Helm	Misc	0	0	2	8	Hut	26	0	0	0	0	Dieser Hut ist nicht sehr modern. Er erinnert vom Stil her mehr an die Kopfbedeckungen der Arbeiterklasse. Aber es ist nicht wirklich dieser Stil, dem junge Adlige nachzueifern versuchen, es ist der einfache Mann selber. Und im Gegenzug eifern die Arbeiter den Adligen nach...
97	item097	Krone	250	Helm	Misc	0	0	4	10	Krone	27	0	0	0	-3	Dies ist eine billige Krone, wie sie Goblins tragen, um die Gebräuche der Menschen nachzuahmen. Das Metall ist Bronze und der Edelstein ist aus Glas.
98	item098	Edle Krone	450	Helm	Misc	0	0	4	15	Krone	27	0	0	0	0	Eine hübsche, wenn auch etwas prahlerische Krone aus Gold und hochkarätigen Amethysten. Sie schmückt Adlige Eures Standes hervorragend.
99	item099	Königskrone	650	Helm	Misc	0	0	4	20	Krone	27	0	0	0	0	Kronen dieser Art werden üblicherweise durch Magie erschaffen, um ihre Empfänglichkeit gegenüber Verzauberungen zu erhöhen. Wird eine ohne Verzauberungen gefunden, ist sie aus irgendeinem Grund wohl nicht fertiggestellt worden.
