										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
36	3	Magie - Resistenz	none	Magieres.	Erhöht die Resistenz aller Charaktere gegen Nicht-elementare Magie entsprechend dem Fähigkeitswert in Erdmagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	P
37	4	Todesschwarm	Phys	Schwarm	Beschwört einen Schwarm unangenehmer Insekten, die ihr Opfer mit Bissen und Stichen quälen. Die Insekten verursachen zwar nur 5 Punkte + 1-3 Punkte Schaden pro Fähigkeitswert in Erdmagie, aber sie treffen immer.	Durchschnittliche Erholungszeit.	Schnelle Erholungzeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PC
38	5	Steinhaut	none	Steinhaut	Erhöht die Rüstungsklasse des Zieles um 5 Punkte + 1 Punkt pro Fähigkeitswert in Erdmagie.	nicht möglich	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	PM
39	6	Klinge	Phys	Klinge	Schleudert eine sich drehende, sehr scharfe Klinge gegen ein einzelnes Ziel und verursacht 1-9 Punkte Schaden pro Fähigkeitswert in Erdmagie. Im Gegensatz zu den meisten Angriffszaubern besteht die Möglichkeit, daß die Klinge ihr Ziel verfehlt.	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PC
40	7	Stein zu Fleisch	none	Stein/Fleisch	Der Zauber hebt die Versteinerung eines Charakters auf, wenn er rechtzeitig eingesetzt wird. Je größer der Fähigkeitswert und der Fähigkeitsrang des Zaubernden ist, desto länger kann die Versteinerung bestehen, bevor es keine Wiederkehr mehr gibt. Danach kann eine Versteinerung nur noch durch einen göttlichen Eingriff in einem Tempel aufgehoben werden.	nicht möglich	Die Versteinerung darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Versteinerung darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Versteinerung darf 1 Tag pro Fähigkeitswert zurückliegen.	P
41	8	Felsenattacke	Phys	Felsen	Beschwört einen magischen Stein in die Welt, der solange umher rollt und von Hindernissen abprallt, bis er ein Wesen berührt oder zum Stillstand kommt. Dann explodiert er, verursacht dabei 1-8 Punkte Schaden pro Fähigkeitswert in Erdmagie. Den Stein interessiert nicht weiter, wen er trifft. Halten Sie Ihre Gruppe außer Reichweite.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	PMC
42	9	Telekinese	none	Telekinese	Erlaubt dem Zauberer, Gegenstände auf Entfernung zu manipulieren. Neben anderen Möglichkeiten können so Türen und Kisten geöffnet, Schalter betätigt und Gegenstände aufgenommen werden, schön weit weg von allen unangenehmen Fallen.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	P
43	10	Todesblüte	Phys	Todesbl.	Wirft einen magischen Stein in die Luft, der in einem Kreis aus Splittern explodiert. Die messerscharfen Splitter verursachen 20 Punkte + 1 Punkt pro Fähigkeitswert in Erdmagie Schaden. Der Zauber kann nur im Freien angewendet werden.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit, 8 Splitter.	Schnellere Erholungszeit, 16 Splitter.	PC
44	11	Schwerezauber	Magic	Schwere	Dieser Zauber erhöht massiv das Gewicht eines einzelnen Zieles. Dadurch werden schwere innere Verletzungen hervorgerufen. Das Ziel erleidet einen prozentualen Schaden gemessen an seinen Trefferpunkten, 25% + 2% pro Fähigkeitswert in Erdmagie. Je größer sie sind, desto härter fallen sie.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	PMC
	Lvl	Spirit Spells	Res		Spell Description					
45	1	Leben erspüren	none	Spüren	Der Zauber erlaubt einen Einblick in die genaue Anzahl der Trefferpunkte von Gegnern.	Zauberdauer: 10 Minuten pro Fähigkeitswert.	Zauberdauer: 30 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	Zeigt Zaubersprüche.	P
46	2	Segen	none	Segen	Die Segnung erhöht die Wahrscheinlichkeit des Gesegneten, einen Gegner mit Nah- oder Fernkampfwaffen zu treffen. Der Bonus beträgt 5 Punkte + 1 Punkte pro Fähigkeitswert in Seelenmagie.	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Der Zauber betrifft die ganze Gruppe.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	PM
47	3	Spektralisieren	none	Spektral.	Versetzt eine Waffe teilweise in das Reich der Geister, sodaß sie auch Gegner treffen kann, die gegen physischen Schaden immun sind. Gegner, die lediglich eine hohe Resistenz gegen Waffen haben, sind ebenfalls betroffen.	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	Die Verzauberung der Waffe wird permanent.	PM
48	4	Untote verjagen	Holy	Untote verj.	Fügt allen sichtbaren Untoten Schaden in Höhe deines Fähigkeitswertes in Seelenmagie zu und zwingt sie zur Flucht bis der Zauber abgelaufen ist.	Zauberdauer: 5 Minuten.	Zauberdauer: 15 Minuten.	Zauberdauer: 30 Minuten.	Zauberdauer: 1 Stunde.	PM
49	5	Fluch entfernen	none	Fluch entf.	Der Zauber beseitigt Verfluchungen, vorausgesetzt, er wird rechtzeitig angewendet. Je höher der Fähigkeitswert und der Fähigkeitsrang in Seelenmagie, desto länger darf die Verfluchung zurückliegen, bevor sie nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	nicht möglich	Die Verfluchung darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Verfluchung darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Verfluchung darf 1 Tag pro Fähigkeitswert zurückliegen.	P
50	6	Bewahrung	none	Bewahrung	Der Zauber schafft eine engere Bindung zwischen Körper und Seele und bietet gewissen Schutz vor Tod und Auslöschung. Es verzögert zudem den Tod durch massiven körperlichen Schaden, schützt den Charakter jedoch nicht davor, ohnmächtig zu werden. Sollten dessen Trefferpunkte nach Ablauf der Zauberdauer immernoch zu tief sein, wird er sterben.	nicht möglich	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Der Zauber betrifft die ganze Gruppe.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	P
51	7	Heldentum	none	Heldentum	Der Zauber erhöht den Schaden, den die Charaktere nach erfolgreichen Attacken verursachen, um 5 Punkte + 1 Punkt pro Fähigkeitswert in Seelenmagie. Er betrifft die ganze Gruppe.	nicht möglich	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	PM
52	8	Seelengeißel	Magic	Seelengeißel	Dieser Zauber versucht, die Verbindung zwischen Körper und Geist zu schwächen, und fügt allen Gegnern in der Nähe des Zauberers 10 Punkte + 1-8 Punkte Schaden pro Fähigkeitswert in Seelenmagie zu.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit und größerer Wirkungsradius.	PMC
53	9	Tote auferwecken	none	Tote auferw.	Der Zauber erweckt einen getöteten Charakter zu neuem Leben, vorausgesetzt, er wird rechtzeitig angewendet. Je höher der Fähigkeitswert und der Fähigkeitsrang in Seelenmagie ist, desto länger darf der Charakter tot sein, bevor er nur noch in einem Tempel durch einen göttlichen Eingriff auferweckt werden kann. Nach Anwendung dieses Zaubers ist der Zaubernde in schwacher Verfassung.	nicht möglich	nicht möglich	Der Getötete darf 1 Stunde pro Fähigkeitswert tot sein.	Der Getötete darf 1 Tag pro Fähigkeitswert tot sein.	P
54	10	Geteiltes Leben	none	Get. Leben	Dieser Zauber vereinigt die Lebenskraft der gesamten Gruppe und verteilt sie dann möglichst gleichmäßig auf alle Charaktere. Alle Trefferpunkte und 3 Punkte pro Fähigkeitswert werden addiert und dann auf alle Charaktere verteilt. Die resultierenden Trefferpunkte können vorübergehend ihr normales Maximum überschreiten.	nicht möglich	nicht möglich	Zu der Summe werden 3 Trefferpunkte pro Fähigkeitswert addiert.	Zu der Summe werden 4 Trefferpunkte pro Fähigkeitswert addiert.	P
55	11	Auferstehung	none	Auferst.	Erweckt einen Charakter zum Leben, selbst wenn er völlig vernichtet wurde. Da dieser Zauber den Körper wiederherstellt, ist der auferstandene Charakter in einer viel besseren Verfassung als bei Tote auferwecken; außerdem gibt es keine zeitliche Begrenzung. Der Zaubernde benötigt eine sehr lange Zeit, um sich von diesem Zauber zu erholen, wobei der Fähigkeitswert in Seelenmagie die Erholungszeit verkürzt. Stellt 30 Trefferpunkte + 15 Trefferpunkte pro Fähigkeitswert in Körpermagie wieder her.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	P
	Lvl	Mind Spells	Res		Spell Description					
56	1	Furcht verjagen	none	Furcht verj.	Der Zauber nimmt einem Charakter die Furcht, vorausgesetzt, er wird rechtzeitig eingesetzt. Je größer der Fähigkeitswert und der Fähigkeitsrang in Geistesmagie des Zaubernden ist, desto länger darf die Ursache der Furcht zurückliegen, bevor sie nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	Die Ursache der Furcht darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Ursache der Furcht darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Ursache der Furcht darf 1 Tag pro Fähigkeitswert zurückliegen.	Der Zauber betrifft die ganze Gruppe.	P
57	2	Nervenschock	Mind	Nervensch.	Schleudert ein Geschoß gebündelter mentaler Kraft gegen einen Gegner und verursacht 3 Punkte + 1-3 Punkte pro Fähigkeitswert in Geistesmagie Schaden.	Langsame Erhohlungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMC
58	3	Geistes - Resistenz	none	Geistesres.	Erhöht die Resistenz aller Charaktere gegen Geistesmagie entsprechend dem Fähigkeitswert in Geistesmagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	PC
59	4	Aura des Konflikts	none	Aura/Konfl.	"Verwandelt einen Charakter in einen ""Feindseligkeitsmagneten"", wodurch alle feindlichen Monster dazu angeregt werden, ihn oder sie häufiger anzugreifen. Umgekehrt wird dem Rest der Gruppe weniger Aufmerksamkeit geschenkt. Dieser Zauber wird am besten auf den stärksten Kämpfer angewendet und hält 15 Minuten pro Fähigkeitswert in Geistesmagie an, kann jedoch vorzeitig abgebrochen werden, indem Sie bei gedrückter Strg-Taste auf den Zauberspruch klicken."	Normale Wirkung.	Starke Wirkung.	Stärkere Wirkung.	Stärkste Wirkung.	P
60	5	Charme	Mind	Charme	Der Zauber beruhigt eine einzelne Kreatur und beseitigt alle feindlichen Gefühle der Gruppe gegenüber. Wird der Kreatur Schaden zugefügt, wird sie sofort wieder feindlich. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Geistesmagie ab.	nicht möglich	Zauberdauer: 15 Minuten pro Fähigkeitswert.	Zauberdauer: 30 Minuten pro Fähigkeitswert.	Zauberdauer: Unbegrenzt.	P
61	6	Lähmung heilen	none	Lähm. heil.	Der Zauber beseitigt die Lähmung eines Charakters, vorausgesetzt, er wird rechtzeitig angewandt. Je höher der Fähigkeitswert und der Fähigkeitsrang in Geistesmagie ist, desto länger darf der Charakter gelähmt sein, bevor er nur noch in einem Tempel durch einen göttlichen Eingriff geheilt werden kann.	nicht möglich	Die Lähmung darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Lähmung darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Lähmung darf 1 Tag pro Fähigkeitswert zurückliegen.	PC
