Class	Descriptions	Notes
Meister	Der Meister ist die letzte Beförderung des Mönches und er folgt dem Pfad des Lichts. Sie können Meister ihrer magischen Fähigkeiten werden. Meister können Großmeister in Ausweichen, Leder, Kampfkunst, Stab, Lernen und Kondition werden.	Monk
Ninja	Der Ninja ist die letzte Beförderung des Mönches und er folgt dem Pfad der Finsternis. Ninjas können Großmeister in Ausweichen, Leder, Kampfkunst, Stab, Lernen und Kondition werden. Sie können auch ihre Fähigkeiten im Stehlen und Entschärfen von Fallen verbessern.	Monk
Paladin	Paladine sind eine Mischung aus Rittern und Klerikern und sie sind gut in beiden Rollen, jedoch nicht so gut wie die Klassen, von denen sie ihre Fähigkeiten entliehen haben. Wie die Ritter können Paladine jede Art Rüstung und Waffe erlernen, jedoch nicht von Beginn an. Sie beherrschen die Seelenmagie und können später auch die Geistes- und Körpermagie in geringerem Maße erlernen. Entweder können sie die Lichtmagie meistern oder sich in der Schattenmagie versuchen, aber die Magie der Elemente werden sie nie erlernen können.	Paladin
Kreuzritter	Kreuzritter sind die erste Beförderungsstufe der Paladine. Kreuzritter können in mehreren Fähigkeiten, darunter der Geistesmagie, zum Meister aufsteigen und dürfen in Seelen- und Körpermagie bis zum Experten verbessern. Sie können weiter zu charismatischen Helden befördert werden, deren Beherrschung der Lichtmagie nur von Priestern und Zauberern übertroffen wird, oder zu heimtückischen Nemesis, die jedoch im Kampf etwas besser sind.	Paladin
Held	Bei seiner zweiten Beförderung wird ein Paladin zu einem Helden, sofern er dem Pfad des Lichtes folgt. Helden können Großmeister in Reparieren, Streitkolben, Schild, Feilschen, Geistes- und Körpermagie werden. Außerdem erhalten sie die Fähigkeit, Zauber aus dem Bereich der Lichtmagie bis zur Meisterstufe zu erlernen.	Paladin
Nemesis	Bei seiner zweiten Beförderung wird ein Paladin zu einer Nemesis, sofern er dem Pfad der Finsternis folgt. Nemesis' können Großmeister in Reparieren, Streitkolben, Schild, Seelen- und Geistesmagie werden. Außerdem können sie Stehlen lernen. Eine Nemesis hat auch die Möglichkeit, die Schattenmagie in geringerem Maße zu erlernen.	Paladin
Schütze	Der Schütze ist eine Mischung aus Ritter und Zauberer. Er kann alle Waffen mit Ausnahme des Streitkolbens, jedoch niemals die Fähigkeiten Schild oder Platte erlernen. Dafür beherrscht er die Kräfte der elementaren Magie, insbesondere Luft. Die schwierigen Bereiche der Licht- und Schattenmagie kann er zwar bei seiner zweiten Beförderung erlernen, jedoch wird er nie besonders gut in ihnen werden.	Archer
Kampfmagier	Der Kampfmagier ist die erste Beförderung des Schützen. Kampfmagier können eine Reihe von Fähigkeiten bis zum Meister verbessern, darunter Luftmagie, und auch in anderen magischen Fähigkeiten bis zum Experten erreichen. Sie können sich entscheiden, ob sie weiter zum Meisterschützen aufsteigen möchten, der besser in Wassermagie ist, oder zum Scharfschützen, der besser mit Feuermagie umgehen kann.	Archer
Meisterschütze	Bei seiner zweiten und letzten Beförderung wird der Schütze zum Meisterschützen, sofern er dem Pfad des Lichtes folgt. Meisterschützen können Großmeister in Kette, Bogen, Waffen der Alten, 6. Sinn, Luft- und Wassermagie werden. Meisterschützen erhalten außerdem die Fähigkeit, Zauber aus dem Bereich der Lichtmagie zu erlernen.	Archer
Scharfschütze	Bei seiner zweiten und letzten Beförderung wird der Schütze zum Scharfschützen, sofern er dem Pfad der Finsternis folgt. Scharfschützen können Großmeister in Kette, Bogen, Waffen der Alten, 6. Sinn, Feuer- und Luftmagie werden. Außerdem erhalten sie die Fähigkeit, Zaubersprüche aus dem Bereich der Schattenmagie zu erlernen. Schließlich sind Scharfschützen perfekte Schützen und verfehlen mit dem Bogen niemals ihr Ziel.	Archer
Ranger	Der Ranger ist eine Mischung aus Ritter und Druide. Von allen Klassen kann er die meisten Fähigkeiten erlernen, aber nur wenige meistern. Sie können schließlich eine vielseitige Mischung aus Elementar- und Klerikermagie (außer Luft- und Geistesmagie) in unterschiedlichem Maße erlernen. Ranger können auch den Umgang mit den meisten Waffen, Rüstungen und sekundären Fähigkeiten erlernen, wobei nur Plattenrüstungen und Streitkolben außerhalb ihrer Reichweite liegen.	Ranger
Jäger	Der Jäger ist die erste Beförderungsstufe des Rangers. Jäger erhalten die Fähigkeit, Zauber zu wirken, und können die Erdmagie auf Meister und ihre anderen Bereiche auf Experten verbessern. Außerdem können sie mehrere andere Fähigkeiten auf Meister verbessern. Jäger können weiter zu Meisterjäger befördert werden, die über bessere Verteidigungsfähigkeiten verfügen, oder zu Kopfjägern, die sich auf Diebesfähigkeiten spezialisiert haben.	Ranger
Meisterjäger	Bei seiner zweiten und letzten Beförderung wird der Ranger zum Meisterjäger, sofern er dem Pfad des Lichtes folgt. Meisterjäger können Großmeister in Axt, Kette, 6. Sinn, Monsterkunde, Erd- und Körpermagie werden und Meister in Wassermagie.	Ranger
Kopfjäger	Bei seiner zweiten und letzten Beförderung wird der Ranger zum Kopfjäger, sofern er dem Pfad der Finsternis folgt. Kopfjäger können Großmeister in den Fähigkeiten Axt, 6. Sinn, Monsterkunde, Erd- und Wassermagie werden und Meister in den Fähigkeiten Körpermagie, Entschärfen und Stehlen. Außerdem erhalten sie zusätzliche Fähigkeitspunkte, wenn sie eine Kopfgeldjagd abschließen.	Ranger
Kleriker	Der Kleriker ist ein umherziehender und des Zauberns kundiger, heiliger Mann. Er ist ein nur mittelmäßiger Kämpfer, aber ein hervorragender Zauberer, dessen Zauber zumeist defensiver Natur sind und sich dem Heilen widmen. Kleriker und Zauberer sind die einzigen Klassen, die in den entgegengesetzten Pfaden von Licht- und Schattenmagie bis zum Großmeisterrang aufsteigen und die machtvollen Zauber dieser Magie anwenden können. Leider sind sie sehr beschränkt in der Anwendung ihrer Waffen, wobei Streitkolben, Stab und möglicherweise einer Rassenwaffe ihre einzigen Waffenfähigkeiten darstellen. Die Verteidigung ist etwas besser, da sie jede Art von Rüstung tragen können (aber nicht unbedingt bis zum Meistergrad).	Cleric
Priester	Der Priester ist die erste Beförderungsstufe des Klerikers. Sie können eine Reihe von Fähigkeiten meistern, insbesondere ihre magischen Fähigkeiten. Priester können weiter zum Priester des Lichts befördert werden, der etwas besser im Nahkampf ist, oder zum Priester der Finsternis, der mehr Zauberpunkte haben kann.	Cleric
Priester des Lichts	Bei seiner zweiten und letzten Beförderung wird der Kleriker zum Priester des Lichtes, sofern er dem Pfad des Lichtes folgt. Der Priester des Lichtes kann die Lichtmagie erlernen und in ihr bis zum Großmeisterrang aufsteigen. In allen Zauberfähigkeiten und in den Fähigkeiten Streitkolben und Feilschen kann er zum Großmeister aufsteigen.	Cleric
Priester der Finsternis	Bei seiner zweiten und letzten Beförderung wird der Kleriker zum Priester der Finsternis, sofern er dem Pfad der Finsternis folgt. Der Priester der Finsternis kann die Schattenmagie erlernen und in ihr bis zum Großmeisterrang aufsteigen. In allen Zauberfähigkeiten und in den Fähigkeiten Feilschen und Meditation kann er zum Großmeister aufsteigen.	Cleric
Druide	Druiden sind eine Mischung aus Zauberern und Klerikern. Sie geben ziemlich schlechte Krieger ab, allerdings immer noch bessere als die Zauberer, und sie haben nur wenige Trefferpunkte. Dafür können sie sowohl die Magie der Zauberer und die der Kleriker anwenden. Druiden bleiben nur die Pfade der Lichtmagie verschlossen. Außerdem verstehen sie sich nur auf die Handhabung von Stab, Dolch, Streitkolben und eine Rassenwaffe und die einzigen Rüstungen, die sie tragen können, sind Lederrüstung und Schild.	Druid
Großdruide	Ein beförderter Druide wird zum Großdruiden. Großdruiden können mehrere Fähigkeiten bis zum Meister verbessern, darunter die meisten ihrer Zauberfähigkeiten. Später können sie sich entscheiden, ob sie zum Erzdruiden befördert werden möchten, die sich auf nützliche Zauber spezialisieren, oder zum Hexer, die über stärkere Angriffszauber verfügen.	Druid
Erzdruide	Erzdruide ist die zweite und letzte Beförderung des Druiden, wenn dieser dem Pfad des Lichtes folgt. Erzdruiden können Großmeister in den Fähigkeiten Luft-, Wasser-, Erd- und Körpermagie sowie in Alchimie, Monsterkunde und Meditation werden.	Druid
Hexer	Die dem Pfade der Finsternis folgenden Hexer sind die zweite und letzte Beförderung eines Druiden. Hexer dürfen die Schattenmagie erlernen und können Großmeister in den Fähigkeiten Feuer-, Erd- und Geistesmagie sowie in Alchimie und Meditation werden.	Druid
Zauberer	"Die Schüler der elementaren Kräfte sind die Zauberer. Ihre Bemühungen gelten offensiven und manipulierenden Zaubern. Zauberer sind miserable Kämpfer; sie können nur die Fähigkeiten Dolch, Stab und Ihre Rassenwaffe lernen, und als Schutz dürfen sie nur Lederrüstung tragen, keinen Schild. Sie haben die niedrigste Trefferpunktezahl aller Klassen. Auf der anderen Seite können die Zauberer derbe Angriffszauber benutzen und sie haben Zugang zu den entgegengesetzten Pfaden der Licht- und Schattenmagie."	Sorcerer
Magier	Ein beförderter Zauberer wird zum Magier. Magier können in vielen Fähigkeiten, insbesondere in ihren magischen Fähigkeiten, zum Meister aufsteigen. Sie können weiter zum besser ausgebildeten Erzmagier oder zum furchterregenden untoten Lich befördert werden.	Sorcerer
Erzmagier	Erzmagier sind die letzte Stufe der Beförderung eines Zauberers und ihr Weg ist der des Lichts. Mit ihrer Beförderung erhalten Erzmagier vollen Zugang zum Bereich der Lichtmagie. Erzmagier können alle ihre Zauberfähigkeiten außer Erdmagie sowie Waffen der Alten, Erkennen und Lernen auf Großmeisterstufe erlernen.	Sorcerer
Lich	"Dieser Status wird durch einen abscheulichen Prozess erreicht, bei dem der angehende Lich seine Organe in einem magischen Gefäß aufbewahrt, das er bewachen muss. Mit seinem ""Aufstieg"" erhält der Lich uneingeschränkten Zugang zum Reich der Schattenmagie sowie eine Reihe von Immunitäten und eine lebensraubende unbewaffnete Angriffstechnik. (Allerdings sind sie im unbewaffneten Kampf kaum fähig.) Liches können alle ihre Zauberfähigkeiten außer Erdmagie, Stab, Waffen der Alten und Meditation auf Großmeisterstufe erlernen."	Sorcerer
