#	Greeting 1	Greeting 2	Notes	Owner
1	Ich bin Lord Markham, der Wohltäter, der das Schloß stiftet, das als Preis bei diesem Wettbewerb aussteht.	Schön Euch wiederzusehen, wie geht die Suche vorwärts?		Markham
17	Halt!  Ihr habt keine Erlaubnis weiterzugehen. Wir erwarten Rücksicht, also stört die Studenten nicht bei der Arbeit.	Halt!  Ihr habt keine Erlaubnis weiterzugehen. Wir erwarten Rücksicht, also stört die Studenten nicht bei der Arbeit.		School of Sorcery Guard
18	Willkommen auf der Smaragdinsel! Während Eures Aufenthalts werde ich Eure Führerin sein. Ich werde Euch von Zeit zu Zeit etwas über die Orte erzählen, an denen wir vorbeikommen, damit Ihr Euch besser zurecht findet. Wenn Ihr genug von meinen Hinweisen habt (das macht mir nichts aus), klickt einfach auf mein Porträt, um mich anzusprechen und dann auf 'Tour Aus', damit ich meinen Mund halte. 	Willkommen auf der Smaragdinsel! Während Eures Aufenthalts werde ich Eure Führerin sein. Ich werde Euch von Zeit zu Zeit etwas über die Orte erzählen, an denen wir vorbeikommen, damit Ihr Euch besser zurecht findet. Wenn Ihr genug von meinen Hinweisen habt (das macht mir nichts aus), klickt einfach auf mein Porträt, um mich anzusprechen und dann auf 'Tour Aus', damit ich meinen Mund halte. 	Welcome Sign	Docent cheat
19	Der Laden, neben dem Ihr Euch befindet, ist der Waffenschmied. Der Waffenschmied verkauft natürlich nur Waffen, aber dieser hier verkauft viele verschiedene Arten von Waffen, einige davon sind sogar magisch. Ihr könnt hier auch Eure Waffen verkaufen, aber bis Ihr besser im Feilschen seid, bekommt Ihr keine guten Preise. Um einzutreten, klickt einfach auf die Vordertür.	Der Laden, neben dem Ihr Euch befindet, ist der Waffenschmied. Der Waffenschmied verkauft natürlich nur Waffen, aber dieser hier verkauft viele verschiedene Arten von Waffen, einige davon sind sogar magisch. Ihr könnt hier auch Eure Waffen verkaufen, aber bis Ihr besser im Feilschen seid, bekommt Ihr keine guten Preise. Um einzutreten, klickt einfach auf die Vordertür.	Blacksmith	Docent cheat
20	Die Tür im Westen führt in die örtliche Taverne. Die Taverne ist ein sicherer Platz zum Schlafen und um Rationen zu kaufen, so daß Ihr draußen übernachten könnt. In Tavernen trifft man oft interessante Leute oder man schnappt die örtlichen Gerüchte auf, falls Ihr Arbeit sucht. Um die Taverne zu betreten, klickt Ihr einfach auf die Vordertür.	Die Tür im Westen führt in die örtliche Taverne. Die Taverne ist ein sicherer Platz zum Schlafen und um Rationen zu kaufen, so daß Ihr draußen übernachten könnt. In Tavernen trifft man oft interessante Leute oder man schnappt die örtlichen Gerüchte auf, falls Ihr Arbeit sucht. Um die Taverne zu betreten, klickt Ihr einfach auf die Vordertür.	Tavern	Docent cheat
21	Dies ist das Rüstungsgeschäft. Der Rüstschmied verkauft Helme, Schilde und Rüstungen, kauft aber alles, was man anziehen kann, so daß Ihr nicht einen zusätzlichen Stop im Magieladen einlegen müßt. Denkt daran, daß ein Charakter die Leder- , Ketten- oder Platten - Fähigkeit beherrschen muß, um diese Rüstungen tragen zu können. Und um einen Schild benutzen zu können, muß man die Schild - Fähigkeit beherrschen.	Dies ist das Rüstungsgeschäft. Der Rüstschmied verkauft Helme, Schilde und Rüstungen, kauft aber alles, was man anziehen kann, so daß Ihr nicht einen zusätzlichen Stop im Magieladen einlegen müßt. Denkt daran, daß ein Charakter die Leder- , Ketten- oder Platten - Fähigkeit beherrschen muß, um diese Rüstungen tragen zu können. Und um einen Schild benutzen zu können, muß man die Schild - Fähigkeit beherrschen.	Armor Shop	Docent cheat
22	Dieses Gebäude ist Carolyn Weathers Privathaus. Carolyn verkauft Mitgliedschaften in Magiegilden an aufstrebende Zauberer und andere, die Magie benutzen. Sie verkauft Euch gerne eine Mitgliedschaft in der örtlichen Luft- und Feuer - Gilde, gegen eine geringe Gebühr natürlich. Ihr müßt keine Mitgliedschaft für die Gilden kaufen, wenn Ihr nicht wollt, aber denkt daran, daß Ihr Mitglied in einer Gilde sein müßt, um dort Zaubersprüche kaufen und Fähigkeiten lernen zu können.	Dieses Gebäude ist Carolyn Weathers Privathaus. Carolyn verkauft Mitgliedschaften in Magiegilden an aufstrebende Zauberer und andere, die Magie benutzen. Sie verkauft Euch gerne eine Mitgliedschaft in der örtlichen Luft- und Feuer - Gilde, gegen eine geringe Gebühr natürlich. Ihr müßt keine Mitgliedschaft für die Gilden kaufen, wenn Ihr nicht wollt, aber denkt daran, daß Ihr Mitglied in einer Gilde sein müßt, um dort Zaubersprüche kaufen und Fähigkeiten lernen zu können.	Carolyn's place	Docent cheat
23	Dies ist noch ein weiteres Privathaus. Roger, der Besitzer des Hauses, verkauft Mitgliedschaften für die Seelen- und die Körper - Magiegilden hier auf der Insel. Die Gebühr dafür ist gering, aber wenn Ihr die Leistungen der Gilde in Anspruch nehmen wollt, wie zum Beispiel das Kaufen von Zaubersprüchen und das Lernen von Fähigkeiten, müßt Ihr sie trotzdem bezahlen. Übrigens, wenn Ihr genug von meinen Erklärungen habt, klickt einfach auf mein Porträt und klickt dann auf 'Tour Aus'.	Dies ist noch ein weiteres Privathaus. Roger, der Besitzer des Hauses, verkauft Mitgliedschaften für die Seelen- und die Körper - Magiegilden hier auf der Insel. Die Gebühr dafür ist gering, aber wenn Ihr die Leistungen der Gilde in Anspruch nehmen wollt, wie zum Beispiel das Kaufen von Zaubersprüchen und das Lernen von Fähigkeiten, müßt Ihr sie trotzdem bezahlen. Übrigens, wenn Ihr genug von meinen Erklärungen habt, klickt einfach auf mein Porträt und klickt dann auf 'Tour Aus'.	Roger's house	Docent cheat
24	Diese Tür führt in die Ausbildungs - Halle der Smaragdinsel. Wenn Ihr genug Erfahrungspunkte gesammelt habt (durch das Töten von Monstern und das Erfüllen von Aufträgen), könnt Ihr hierher kommen, um Eure Stufen zu erhöhen. Wenn Ihr eine Stufe aufsteigt, erhaltet Ihr auch einige Fähigkeitspunkte, die Ihr auf Eure Fähigkeiten verteilen könnt. Ihr könnt Fähigkeitspunkte nur auf die Fähigkeiten verteilen, die Ihr beherrscht--um neue Fähigkeiten zu lernen, solltet Ihr die Geschäfte in der Stadt besuchen und erfragen, ob sie Fähigkeiten lehren, die Euch interessieren.	Diese Tür führt in die Ausbildungs - Halle der Smaragdinsel. Wenn Ihr genug Erfahrungspunkte gesammelt habt (durch das Töten von Monstern und das Erfüllen von Aufträgen), könnt Ihr hierher kommen, um Eure Stufen zu erhöhen. Wenn Ihr eine Stufe aufsteigt, erhaltet Ihr auch einige Fähigkeitspunkte, die Ihr auf Eure Fähigkeiten verteilen könnt. Ihr könnt Fähigkeitspunkte nur auf die Fähigkeiten verteilen, die Ihr beherrscht--um neue Fähigkeiten zu lernen, solltet Ihr die Geschäfte in der Stadt besuchen und erfragen, ob sie Fähigkeiten lehren, die Euch interessieren.	Training grounds	Docent cheat
25	In diesem Zelt befindet sich der Heiler unseres Dorfes. Hier könnt Ihr Euch gegen Bezahlung von allem heilen lassen--Ihr könnt sogar die Toten wieder zum Leben erwecken. An dem grünen Balken links neben dem Porträt des Charakters könnt Ihr erkennen, ob Eure Charaktere verwundet sind--je kürzer der Balken, desto schwerer die Verletzungen. Denkt daran, daß Ihr Euch nicht unbedingt beim Heiler heilen lassen müßt--jede normale Verletzung und alle verwendeten Zauberpunkte werden einfach durch das Rasten in der Nacht wiederhergestellt.	In diesem Zelt befindet sich der Heiler unseres Dorfes. Hier könnt Ihr Euch gegen Bezahlung von allem heilen lassen--Ihr könnt sogar die Toten wieder zum Leben erwecken. An dem grünen Balken links neben dem Porträt des Charakters könnt Ihr erkennen, ob Eure Charaktere verwundet sind--je kürzer der Balken, desto schwerer die Verletzungen. Denkt daran, daß Ihr Euch nicht unbedingt beim Heiler heilen lassen müßt--jede normale Verletzung und alle verwendeten Zauberpunkte werden einfach durch das Rasten in der Nacht wiederhergestellt.	Healer's tent	Docent cheat
26	"Dieser Brunnen hat magische Eigenschaften--er verleiht dem, der von ihm trinkt, mächtige Feuerresistenz. Um einen Charakter von dem Brunnen trinken zu lassen, wählt einfach den Charakter aus und klickt dann auf den Brunnen. Es gibt im gesamten Spiel viele solche Brunnen--Ihr könnt in Eurem Notizbuch auf der ""Brunnen"" - Seite nachschauen, von welchen Brunnen im Spiel Ihr schon getrunken habt. Die Wirkung dieses besonderen Brunnen hält an, bis Ihr rastet. Denkt aber immer daran, daß andere Brunnen ganz andere Wirkungen haben können."	"Dieser Brunnen hat magische Eigenschaften--er verleiht dem, der von ihm trinkt, mächtige Feuerresistenz. Um einen Charakter von dem Brunnen trinken zu lassen, wählt einfach den Charakter aus und klickt dann auf den Brunnen. Es gibt im gesamten Spiel viele solche Brunnen--Ihr könnt in Eurem Notizbuch auf der ""Brunnen"" - Seite nachschauen, von welchen Brunnen im Spiel Ihr schon getrunken habt. Die Wirkung dieses besonderen Brunnen hält an, bis Ihr rastet. Denkt aber immer daran, daß andere Brunnen ganz andere Wirkungen haben können."	Well of Fire Resistance	Docent cheat
27	Ihr steht nun vor dem Haus, in dem Lord Markham sein derzeitiges Hauptquartier auf der Smaragdinsel eingerichtet hat. Lord Markham ist der Stifter des großen Wettbewerbs, den Ihr ja ohne Zweifel gewinnen wollt. Der Schiedsrichter der Suche befindet sich ebenfalls in diesem Gebäude, und er ist derjenige, mit dem Ihr sprechen müßt, wenn Ihr Gegenstände von der Suchliste abgeben wollt.	Ihr steht nun vor dem Haus, in dem Lord Markham sein derzeitiges Hauptquartier auf der Smaragdinsel eingerichtet hat. Lord Markham ist der Stifter des großen Wettbewerbs, den Ihr ja ohne Zweifel gewinnen wollt. Der Schiedsrichter der Suche befindet sich ebenfalls in diesem Gebäude, und er ist derjenige, mit dem Ihr sprechen müßt, wenn Ihr Gegenstände von der Suchliste abgeben wollt.	Markham's headquarters	Docent cheat
28	Die Seelengilde befindet sich hinter der Tür im Osten. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Seelengilde zu werden müßt Ihr erst Roger in seinem Haus besuchen, das sich etwas südlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Seelen - Zauberspruch lernen will, erst die Fähigkeit Seelen - Magie benötigt!	Die Seelengilde befindet sich hinter der Tür im Osten. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Seelengilde zu werden müßt Ihr erst Roger in seinem Haus besuchen, das sich etwas südlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Seelen - Zauberspruch lernen will, erst die Fähigkeit Seelen - Magie benötigt!	Spirit Guild	Docent cheat
29	Die Luftgilde befindet sich hinter dieser Tür. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Luftgilde zu werden, müßt Ihr erst Carolyn in ihrem Haus besuchen, das sich etwas süd - östlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Luft - Zauberspruch lernen will, erst die Fähigkeit Luft - Magie benötigt!	Die Luftgilde befindet sich hinter dieser Tür. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Seelengilde zu werden, müßt Ihr erst Carolyn in ihrem Haus besuchen, das sich etwas süd - östlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Luft - Zauberspruch lernen will, erst die Fähigkeit Luft - Magie benötigt!	Air Guild	Docent cheat
30	In diesem Gebäude findet Ihr den Alchimisten des Dorfes. Der Alchimist verkauft Zaubertränke und Zutaten für Tränke, außerdem könnt Ihr dort die Alchimie - Fähigkeit lernen. Ihr müßt die Alchimie - Fähigkeit beherrschen, wenn Ihr auch nur die einfachsten Tränke zubereiten wollt. Das macht Ihr, indem Ihr das Inventory Eures Charakters aufmacht, eine Zutat aufnehmt und damit einen Rechtsklick auf eine leere Flasche macht. Ähnlich vermischt Ihr auch zwei Tränke. Alchimisten wissen, daß bestimmte Mixturen auch bestimmte Ergebnisse bringen, aber diese Mischungen sind Berufsgeheimnis. Ihr müßt sie schon selber herrausfinden. Aber paßt auf, manche Mischungen sind explosiv!	In diesem Gebäude findet Ihr den Alchimisten des Dorfes. Der Alchimist verkauft Zaubertränke und Zutaten für Tränke, außerdem könnt Ihr dort die Alchimie - Fähigkeit lernen. Ihr müßt die Alchimie - Fähigkeit beherrschen, wenn Ihr auch nur die einfachsten Tränke zubereiten wollt. Das macht Ihr, indem Ihr das Inventory Eures Charakters aufmacht, eine Zutat aufnehmt und damit einen Rechtsklick auf eine leere Flasche macht. Ähnlich vermischt Ihr auch zwei Tränke. Alchimisten wissen, daß bestimmte Mixturen auch bestimmte Ergebnisse bringen, aber diese Mischungen sind Berufsgeheimnis. Ihr müßt sie schon selber herrausfinden. Aber paßt auf, manche Mischungen sind explosiv!	Alchemist	Docent cheat
31	Hinter dieser Tür findet Ihr die Körpergilde. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Körpergilde zu werden, müßt Ihr erst Roger in seinem Haus besuchen, das sich etwas südlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Körper - Zauberspruch lernen will, erst die Fähigkeit Körper - Magie benötigt!	Hinter dieser Tür findet Ihr die Körpergilde. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Körpergilde zu werden, müßt Ihr erst Roger in seinem Haus besuchen, das sich etwas südlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Körper - Zauberspruch lernen will, erst die Fähigkeit Körper - Magie benötigt!	Body Guild	Docent cheat
32	Ihr habt das Magiegeschäft gefunden. Das Magiegeschäft ist der beste Freund jedes echten Abenteurers. Hier könnt Ihr alle magischen Gegenstände kaufen und verkaufen, außer magische Waffen und Rüstungen.	Ihr habt das Magiegeschäft gefunden. Das Magiegeschäft ist der beste Freund jedes echten Abenteurers. Hier könnt Ihr alle magischen Gegenstände kaufen und verkaufen, außer magische Waffen und Rüstungen.	Magic Shop	Docent cheat
33	Die Feuergilde befindet sich hinter dieser Tür. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Feuergilde zu werden, müßt Ihr erst Carolyn in ihrem Haus besuchen, das sich etwas süd - östlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Feuer - Zauberspruch lernen will, erst die Fähigkeit Feuer - Magie benötigt!	Die Feuergilde befindet sich hinter dieser Tür. Ihr müßt dort Mitglied sein, um die Leistungen der Gilde in Anspruch nehmen zu können, also zum Beispiel das Kaufen von Zaubersprüchen oder das Lernen von Fähigkeiten. Um Mitglied in der Feuergilde zu werden, müßt Ihr erst Carolyn in ihrem Haus besuchen, das sich etwas süd - östlich von hier befindet, und einen Mitgliedsbeitrag entrichten. Denkt auch daran, daß ein Charakter, der einen Feuer - Zauberspruch lernen will, erst die Fähigkeit Feuer - Magie benötigt!	Fire Guild	Docent cheat
34	Gebt Acht! Ihr betretet jetzt einen Landstrich der Insel, der von Drachenfliegen bevölkert ist. Die sind ziemlich gefährlich! Lord Markham übernimmt KEINE Haftung für Verletzungen oder Todesfälle, die in diesem Teil der Insel passieren. Ihr seid gewarnt!	Gebt Acht! Ihr betretet jetzt einen Landstrich der Insel, der von Drachenfliegen bevölkert ist. Die sind ziemlich gefährlich! Lord Markham übernimmt KEINE Haftung für Verletzungen oder Todesfälle, die in diesem Teil der Insel passieren. Ihr seid gewarnt!	Dragonflies	Docent cheat
35	Um…es ist nicht gerade schlau, diese Höhle zu betreten. Dort lebt ein schrecklicher Drache, und nur die wenigsten, die eintreten, kommen auch wieder heraus. Wenn Ihr da wirklich hinein wollt, klickt einfach auf die Rückwand der Höhle...	Um…es ist nicht gerade schlau, diese Höhle zu betreten. Dort lebt ein schrecklicher Drache, und nur die wenigsten, die eintreten, kommen auch wieder heraus. Wenn Ihr da wirklich hinein wollt, klickt einfach auf die Rückwand der Höhle...	Fire Dragon Cave	Docent cheat
36	Dies ist der Eingang des alten Tempels des Mondes. Er ist voll von kleinerem Ungeziefer, die zwar schmerzhaft zubeissen können, aber nicht allzu gefährlich sind. Unter Umständen befinden sich da drin Suchgegenstände für den Wettbewerb, also solltet Ihr vielleicht irgendwann dort hinein gehen. Um einzutreten, klickt einfach auf die Rückwand der Höhle.	Dies ist der Eingang des alten Tempels des Mondes. Er ist voll von kleinerem Ungeziefer, die zwar schmerzhaft zubeissen können, aber nicht allzu gefährlich sind. Unter Umständen befinden sich da drin Suchgegenstände für den Wettbewerb, also solltet Ihr vielleicht irgendwann dort hinein gehen. Um einzutreten, klickt einfach auf die Rückwand der Höhle.	Temple of the Moon	Docent cheat
37	Ich bin Bill Lasker, und ich bin der Prinz der Diebe. [Bill macht eine weitschweifige Geste mit dem Arm und deutet damit auf die gesamte Kanalisation.] Ich bin der unangefochtene Herrscher über alles, was Ihr hier seht, und alles, was in meinem Königreich vorfällt, kommt mir auch zu Ohren. Ich weiß es zu schätzen, daß ihr euch nicht mit meinen Untertanen angelegt habt, also machen wir es offiziell: Ihr seid hiermit Ehrenmitglieder der Diebesgilde und könnt euch hier wie zu Hause fühlen. Also, was führt euch hierher?	Willkommen nochmal. Besucht Ihr mich aus geschäftlichen oder privaten Gründen? Ich helfe Euch gerne mit beidem weiter.	Normal	William Lasker
38	Ich bin Bill Lasker, und ich bin der Prinz der Diebe. Ich herrsche über dieses Untergrund - Königreich und bin für das Wohlergehen der Diebe verantwortlich, die hier unten leben. Ihr habt meine Untertanen getötet. Ich würde Euch vernichten, aber ich weiß, daß Eure Verbündeten mich vernichten würden. Also werde ich mit Euch verhandeln, nur meine Preise werden höher sein. Also, was wollt Ihr?	[spuckt] Hallo, Diebesmörder.  Was wollt Ihr?	Killed Thieves	William Lasker
39	Grüße Meisterdiebe, wie kann ich helfen?	Grüße Meisterdiebe, wie kann ich helfen?	Spy	William Lasker
40	Seid gegrüßt. Ich bin Seknit Unterschatten, Meisterassassine des Ausführenden Arms der Gilde der Totenbeschwörer. Angenehm, Euch kennenzulernen. Möchtet Ihr eine Tasse Tee?	Ah, willkommen meine Freunde. Wie geht es Euch heute? Diesesmal solltet Ihr wirklich meinen Tee probieren.	Tea no (normal)	Seknit Undershadow
41	Ah, willkommen meine Freunde. Ich hoffe, es geht Euch gut. Wie wäre es heute mit etwas Tee?	Ah, willkommen meine Freunde. Ich hoffe, es geht Euch gut. Wie wäre es heute mit etwas Tee?	Tea yes	Seknit Undershadow
42	Hallo mal wieder, liebe Assassinen. Mein Tee und meine Gesellschaft stehen immer zu Eurer Verfügung.	Hallo mal wieder, liebe Assassinen. Mein Tee und meine Gesellschaft stehen immer zu Eurer Verfügung.	Assassin	Seknit Undershadow
43	Heil Euch. Ich bin Sir Charles Quixote.  Ich bin nur der bescheidene Hüter dieser edlen Leut', und ich stehe zu Diensten.	Meine Freunde, seid gegrüßt. Wie verläuft Euer Kampf gegen die finstren Mächte des Bösen?	Normal	Sir Charles Quixote
44	Was soll das Zögern? Just in diesem Moment legt die Bestie wohl das Land in Schutt und Asche! Ziehen wir los!	Was soll das Zögern? Just in diesem Moment legt die Bestie wohl das Land in Schutt und Asche! Ziehen wir los!	Crusader Quest	Sir Charles Quixote
45	Warum zögert Ihr mit der Rettung der süßen Alice? Wer weiß, welch Pläne der Unhold für diese holde Jungfrau hat? Laßt uns Worte durch Taten ersetzen und das arme Mädchen schnell befreien!	Warum zögert Ihr mit der Rettung der süßen Alice? Wer weiß, welch Pläne der Unhold für diese holde Jungfrau hat? Laßt uns Worte durch Taten ersetzen und das arme Mädchen schnell befreien!	Hero Quest	Sir Charles Quixote
46	Meine Hochachtung, Helden! Ich bin sicher, Ihr habt noch Großes vor, also laßt uns weiterziehen.	Meine Hochachtung, Helden! Ich bin sicher, Ihr habt noch Großes vor, also laßt uns weiterziehen.	Hero	Sir Charles Quixote
47	Hallo?  Ihr seht nicht wie die normalen Anhänger Williams aus.	Ich möchte einfach nur nach hause.	Good	Alice Hargreaves
48	Hallo?  Ich glaube nicht, daß wir uns schon gesehen haben.	Und, was wollt Ihr?	Evil	Alice Hargreaves
49	Guten Tag. William Setag, finsterer Unhold Extraordinaire, steht zu Euren Diensten. Schön, Euch kennenzulernen.	Ein Vergnügen Euch wiederzusehen. Womit kann ich Euch helfen?	Normal	William Setag
50	Finstere! Willkommen! Zu selten statten mir meine bösartigen Freunde einen Besuch ab.	Finstere! Willkommen! Zu selten statten mir meine bösartigen Freunde einen Besuch ab.	Villain	William Setag
51	Hallo. Ich bin Bartholomew Hume, Meister dieses Klosters. Kann ich Euch mit irgendetwas helfen?	Hallo nochmal, benötigt Ihr etwas?	Normal	Bartholomew Hume
52	Meine Meister - Freunde! Schön Euch zu sehen, wie kann ich dienen?	Seid erneut gegrüßt, Meister. Wie kann der alte Bartholomew Euch helfen?	Master	Bartholomew Hume
53	Hallo, meine Schüler. Ich sehe, Ihr habt die richtige Gruft gefunden.	Hallo, meine Schüler. Ich sehe, Ihr habt die richtige Gruft gefunden.	Dungeon event greeting	Bartholomew Hume
54	Ich bin Stephan Sand, Meister der…aggressiven Seite des disziplinierten Lebens. Einst war ich ein Mönch, nun bin ich etwas höheres.	Hallo nochmal. Sagt mir, was Ihr wünscht.	Normal	Stephan Sand
55	Nun, da Ihr den ehrenvollen Status eines Ninjas erreicht habt, kann ich Euch nichts mehr beibringen. Ich hoffe, meine Lehren werden Euch weit bringen.	Nun, da Ihr den ehrenvollen Status eines Ninjas erreicht habt, kann ich Euch nichts mehr beibringen. Ich hoffe, meine Lehren werden Euch weit bringen.	Ninja	Stephan Sand
56	Wie geht es Euch? [Lawrence macht eine tiefe Verbeugung] Ich bin Meister Mark, bester Bogenschütze weit und breit. Die letzten 4 Jahre habe ich das jährliche Avlee - Turnier gewonnen! Aber genug von mir, wie geht es Euch?	So sehen uns wieder. Braucht Ihr was?	Normal	Lawrence Mark
57	Willkommen, meine Freunde! Eine fantastische Waffe habt Ihr da, aber glaubt nicht mal einen Moment lang, daß Ihr mich dieses Jahr im Turnier schlagen könnt--ich bin immer noch der Meister!	Willkommen, meine Freunde! Eine fantastische Waffe habt Ihr da, aber glaubt nicht mal einen Moment lang, daß Ihr mich dieses Jahr im Turnier schlagen könnt--ich bin immer noch der Meister!	Master Archer	Lawrence Mark
58	Willkommen. [Snick spricht kaum lauter als ein Flüstern. An seiner Kehle könnt Ihr eine kleine weiße Narbe entdecken] Seid Ihr hier, um Euch ausbilden zu lassen?	Ihr habt jawohl einen Grund...[Snick keucht] mich zu stören, hoffe ich!	Normal	Steagal Snick
59	Schüler…[Snick läßt das Wort verklingen, dann lächelt er] seid Ihr nun nicht mehr. Ich bin stolz, Euch so auf Eurem Weg geholfen zu haben. Benutzt Eure neue Waffe...[keucht] weise.	Schüler…[Snick läßt das Wort verklingen, dann lächelt er] seid Ihr nun nicht mehr. Ich bin stolz, Euch so auf Eurem Weg geholfen zu haben. Benutzt Eure neue Waffe...[keucht] weise.	Sniper	Steagal Snick
60	Schön Euch zu treffen! [Leda zieht ihre Klinge und zerschneidet elegant etwas Luft] Seid Ihr hier, um zu kämpfen, oder um zu lernen? Auf jeden Fall [ihre kleine Vorführung endet in einem Rittergruß] helfe ich gerne aus!	Seid gegrüßt, schön Euch zu treffen! [Leda grinst und schüttelt ihren Kopf] Ich sage das so gerne! Also. Was kann ich heute für Euch tun?	Normal	Leda Rowan
61	Heil Euch, Kämpen! Euer Mut und Euer Geschick beflügeln die Zungen des gesamten Königreichs! Ich bin sehr stolz auf Euch!	Heil Euch, Kämpen! Euer Mut und Euer Geschick beflügeln die Zungen des gesamten Königreichs! Ich bin sehr stolz auf Euch!	Champion	Leda Rowan
62	So! Ihr wollt also Kämpfen lernen? Nun, Ihr habt den Richtigen gefunden. Zumindest für die von Euch, die Ritter sind. Wenn Ihr keine Ritter seid, lernt Ihr zwar immer noch etwas dazu, aber nicht so viel wie ein Ritter.	Ihr wollt noch 'ne Lektion?	Normal	Frederick Og
