Skill	Description	Normal	Expert	Master	GrandMaster
Chain	Kettenpanzer bieten mehr Schutz als Lederrüstungen, jedoch weniger als Plattenrüstungen. Sie machen den Träger allerdings auch langsamer. Die Fähigkeit Ketten erhöht den Schutz durch eine getragene Kettenrüstung. Der Experten- und Meisterrang senken die Behinderung durch die Rüstung.	Der Fähigkeitswert wird zur Rüstungsklasse addiert.	Die Verlängerung der Erholungszeit wird halbiert.	Die Verlängerung der Erholungszeit entfällt.	Der Träger muß nur 2/3 des Schadens hinnehmen.
Plate	Plattenpanzer sind die schwersten Rüstungen. Sie bieten den größten Schutz, jedoch verlangsamen sie ihren Träger auch mehr als Leder- oder Kettenrüstungen. Die Fähigkeit Platten erhöht den Schutz durch eine getragene Plattenrüstung. Nur beim Großmeisterrang entfällt die Behinderung durch die Rüstung.	Der Fähigkeitswert wird zur Rüstungsklasse addiert.	Die Verlängerung der Erholungszeit wird halbiert.	Der Träger muß nur 1/2 des Schadens hinnehmen.	Die Verlängerung der Erholungszeit entfällt.
Fire	Feuermagie ist eine gute Quelle offensiver Zauber und beinhaltet Zauber, die mit Geschwindigkeit zu tun haben. Mit aufsteigendem Rang können neue Feuerzauber erlernt und bereits bekannte verbessert werden.	Fackellicht, Feuerstrahl, Feuer - Resistenz und Feueraura.	Eile, Feuerball und Feuerdorn.	Feuerring, Meteorregen und Inferno.	Verbrennen.
Air	Luftmagie ist meistens defensiv, dient der Erkenntnis und beinhaltet Zauber, die mit Fliegen zu tun haben. Mit aufsteigendem Rang können neue Luftzauber erlernt und bereits bekannte verbessert werden.	Magisches Auge, Federfall, Elektro - Resistenz und Funkenflug.	Sprung, Schild und Blitzstrahl.	Unsichtbarkeit, Implosion und Fliegen.	Sternenfeuer.
Water	Wassermagie bietet eine ausgewogene Mischung aus offensiven und defensiven Zaubern und befaßt sich mit Zaubern, die Dinge bewegen oder verändern können. Mit aufsteigendem Rang können neue Wasserzauber erlernt und bereits bekannte verbessert werden.	Erwachen, Giftnebel, Kälte - Resistenz und Eisstrahl.	Wasserwandeln, Aufladen und Säurestrahl.	Verzaubern, Stadtportal und Eissturm.	Leuchtfeuer.
Earth	Erdmagie ist defensiv und beinhaltet Zauber, die mit Schutz, Stärke und Kontrolle zu tun haben. Mit aufsteigendem Rang können neue Erdzauber erlernt und bereits bekannte verbessert werden.	Betäuben, Verlangsamen, Magie - Resistenz und Todesschwarm.	Steinhaut, Klinge und Stein zu Fleisch.	Felsenattacke, Telekinese und Todesblüte.	Schwerezauber.
Spirit	Seelenmagie befaßt sich mit Zaubern des Lebens und des Todes. Sie beinhaltet Zauber, die die Toten erheben und Untote, sowie die Kampffähigkeiten beeinflussen können. Mit aufsteigendem Rang können neue Seelenzauber erlernt und bereits bekannte verbessert werden.	Leben erspüren, Segen, Spektralisieren und Untote verjagen.	Fluch entfernen, Bewahrung und Heldentum.	Seelengeißel, Tote auferwecken und Geteiltes Leben.	Auferstehung.
Mind	Geistesmagie ist eher offensiv und dient ausserdem der Erkenntnis. Charme, Furcht und Telepathie sind Beispiele von Geisteszaubern. Mit aufsteigendem Rang können neue Geisteszauber erlernt und bereits bekannte verbessert werden.	Furcht verjagen, Nervenschock, Geistes - Resistenz und Aura des Konflikts.	Charme, Lähmung heilen und Hirnschlag.	Berserker, Massenfurcht und Irrsinn heilen.	Versklaven.
Body	Körpermagie befaßt sich mit Zaubern der Heilung und der Verbesserung. Zauber, die heilen, verwunden und Krankheiten und Gift austreiben können, sind Beispiele für Körpermagie. Mit aufsteigendem Rang können neue Körperzauber erlernt und bereits bekannte verbessert werden.	Schwäche heilen, Heilen, Gift - Resistenz und Verletzen.	Regeneration, Gift heilen und Hammerhand.	Lebenselixier, Unwandelbarkeit und Fliegende Faust.	Kraftheilung.
Light	Die Zauber der Lichtmagie gehören zu den stärksten in Erathia. Obwohl es ihr nicht an Offensivkraft mangelt, ist Lichtmagie am besten geeignet, um eine bereits fähige Gruppe zu unterstützen. Mit aufsteigendem Rang können neue Lichtzauber erlernt und bereits bekannte verbessert werden.	Lichtpfeil, Untote vernichten, Magie vertreiben und Lähmen.	Elementar beschwören, Tag der Götter und Prismenfeuer.	Tag des Schutzes, Stunde der Macht und Solarstrahl.	Gottes Eingriff.
Dark	Die Zauber der Schattenmagie sind die mächtigsten in Erathia. Schattenmagie konzentriert sich auf mächtige Offensivkraft und die Kontrolle über das Schlachtfeld. Mit aufsteigendem Rang können neue Schattenzauber erlernt und bereits bekannte verbessert werden.	Wiederbeleben, Giftwolke, Vampirfluch und Schrumpfstrahl.	Schrapnell, Untote beherrschen und Schmerz - Reflexion.	Opferung, Drachenhauch und Armageddon.	Seelensauger.
Identify Item	Die Fähigkeit Erkennen wird automatisch einen Gegenstand identifizieren, sofern der Charakter über einen Fähigkeitswert einer entsprechenden Höhe verfügt und auf den Gegenstand rechtsklickt. Hochwertige, verzauberte Gegenstände sind im Allgemeinen schwieriger zu identifizieren als gewöhnliche Gegenstände.	Fähigkeit, Gegenstände zu identifizieren.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	100% Erfolg.
Merchant	Die Fähigkeit Feilschen erlaubt es dem Charakter, Einkaufs- und Verkaufspreise in seinem Sinne zu verändern.	Fähigkeit, Preise in Geschäften zu beeinflussen.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Kauf und Verkauf von Gegenständen zum tatsächlichen Wert.
Repair	Die Fähigkeit Reparieren ermöglicht es einem Charakter, beschädigte Ausrüstung zu reparieren. Höhere Fähigkeitswerte erlauben die Reparatur besserer Gegenstände mit mächtigeren Verzauberungen. Die Fähigkeit wird automatisch mit einem Rechtsklick angewendet.	Fähigkeit, Gegenstände zu reparieren.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	100% Erfolg.
Bodybuilding	Die Fähigkeit Kondition fügt den Trefferpunkten des Charakters direkt weitere Trefferpunkte hinzu. Die Trefferpunkte errechnen sich aus der Multiplikation des Bonus' der Klasse des Charakters (5 für Ritter, 2 für Zauberer, usw.) mit dem Fähigkeitswert, und addiere dann 5% für jede Charakterstufe über 20. Expertenrang verdoppelt und Meisterrang verdreifacht den Wert.	Fähigkeitswert wird modifiziert zu den Trefferpunkten addiert.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Regeneriert mit der Zeit Trefferpunkte.
Meditation	Die Fähigkeit Meditation fügt den Zauberpunkten des Charakters direkt weitere Zauberpunkte hinzu. Die Zauberpunkte errechnen sich aus der Multiplikation des Bonus' der Klasse des Charakters (3 für Zauberer, 1 für Paladin, usw.) mit dem Fähigkeitswert, und addiere dann 5% für jede Charakterstufe über 20. Expertenrang verdoppelt und Meisterrang verdreifacht den Wert.	Fähigkeitswert wird modifiziert zu den Zauberpunkten addiert.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Regeneriert mit der Zeit Zauberpunkte.
Perception	Die Fähigkeit 6. Sinn erhöht die Wahrscheinlichkeit, das Auslösen einer Falle zu bemerken und den Schaden zu verringern oder ganz zu vermeiden. Die Fähigkeit erlaubt es auch, versteckte Schätze zu finden, die anderen entgehen würden, sowohl in der Verlieskarte als auch bei getöteten Gegnern. Ein höherer Fähigkeitswert ermöglicht es, gefährlicheren Fallen zu entgehen und mehr Schätze zu bemerken.	Fähigkeit, Fallen auszuweichen und versteckte Schätze zu finden.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Auswirkungen der Fähigkeit sind verfünffacht.
Diplomacy	Die Fähigkeit Diplomatie verringert den Effekt, den Betteln, Bestechungen oder Drohungen haben, wenn Sie jemanden zur Kooperation bewegen wollen. Je höher die Stufe, desto weniger wird Euer Ruf unter solchen Aktionen leiden. Experten verdoppeln und Meister verdreifachen den Effekt.	Fähigkeit, den Effekt, den Betteln, Drohen und Bestechen auf Euren Ruf haben, zu reduzieren.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Grandmaster text here
Thievery	Not Used	Normal Text goes here	Expert Text goes here	Master Text goes here	Grandmaster text here
Disarm Traps	Die Fähigkeit Entschärfen wird automatisch angewendet, wenn eine Kiste oder Truhe geöffnet wird, die mit einer Falle versehen ist. Ein höherer Fähigkeitswert erhöht die Wahrscheinlichkeit, die Falle zu entschärfen. Expertenrang und Meisterrang verdoppeln bzw. verdreifachen die Wahrscheinlichkeit des Entschärfens.	Fähigkeit, Fallen zu entschärfen.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	100% Erfolg.
Dodging	Die Fähigkeit Ausweichen kann nur eingesetzt werden, wenn der Charakter weder Schild noch Rüstung trägt. Der Fähigkeitswert erhöht die Rüstungsklasse, solange keine Rüstung getragen wird.	Der Fähigkeitswert wird zur Rüstungsklasse addiert.	Der Fähigkeitswert wird zur Rüstungsklasse addiert (doppelte Wirkung). 	Der Fähigkeitswert wird zur Rüstungsklasse addiert (dreifache Wirkung).	Die Wahrscheinlichkeit, einem Angriff auszuweichen, entspricht dem Fähigkeitswert.
Unarmed	Die Fähigkeit Kampfkunst ist die Kunst des geschulten Einsatzes von Händen und Füßen im Nahkampf. Die Fähigkeit ist nur anwendbar, wenn der Charakter nichts in den Händen hält. Der Fähigkeitswert beeinflußt die Wahrscheinlichkeit zu treffen. Diese Fähigkeit erlaubt den Einsatz von Kampfhandschuhen.	Der Fähigkeitswert wird zum Angriffsbonus addiert.	Der Fähigkeitswert wird zum Schaden addiert.	Der Fähigkeitswert wird zum Angriffsbonus und zum Schaden addiert (doppelte Wirkung).	Die Wahrscheinlichkeit, den Gegner sofort zu töten, entspricht der Hälfte vom Fähigkeitswert.
Identify Monster	Die Fähigkeit Monsterkunde offenbart durch einen Rechtsklick Informationen über ein Monster. Zuerst lernt der Charakter, die genaue Anzahl der Trefferpunkte der Kreatur zu bestimmen. Mit höherem Fähigkeitswert werden mehr Informationen offenbart. Das erfolgreiche Identifizieren eines Monsters gewährt außerdem einen kleinen Kampfvorteil gegenüber diesem.	Fähigkeit, Monster zu identifizieren.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	100% Erfolg.
Armsmaster	Die Fähigkeit Waffenmeister steht für die Tricks und Kniffe der Handhabung verschiedener Waffen. Die Fähigkeit verringert die Erholungszeit durch Nahkampfwaffen, in späteren Rängen erhöht sie den Trefferbonus oder sogar den Schaden.	Die Fähigkeit verringert die Erholungszeit durch Nahkampfwaffen.	Der Fähigkeitswert wird zum Angriffsbonus von Nahkampfwaffen addiert.	Der Fähigkeitswert wird zum Schaden von Nahkampfwaffen addiert.	Verdoppelt alle vorangegangenen Boni.
Stealing	Die Fähigkeit Stehlen Ihres Charakters steht dafür, Aufmerksamkeit abzulenken und unbemerkt zu handeln. In der Praxis ermöglicht Ihnen diese Fähigkeit, Gegenstände aus Geschäften und von Personen zu entwenden und auch zu meucheln. Ein erfolgreiches Meucheln verdoppelt den im Nahkampf verursachten Schaden, aber ein erfolgloses Stehlen kann zu rechtlichen Problemen und Reputationsverlust führen.	Fähigkeit, zu stehlen und zu meucheln.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Waffen, die nicht als gestohlen markiert sind, können aus jedem Winkel meucheln.
Alchemy	Die Fähigkeit Alchimie ermöglicht es, Tränke zu mischen. Ohne diese Fähigkeit können zwei beliebige Tränke, die Sie mischen, immer explodieren. Auch wird der Fähigkeitswert zur Stärke der Grundzutaten hinzugerechnet, um die Stärke des Gemisches zu bestimmen. Mit aufsteigendem Rang zu Experte, Meister und Großmeister lernt der Charakter, schwierigere Tränke herzustellen, ohne Explosionsgefahr.	Fähigkeit, sicher aus einfachen Tränken komplexere Tränke zu machen.	Fähigkeit, sicher aus komplexen Tränken gemischte Tränke zu machen.	Fähigkeit, sicher aus gemischten Tränken weiße Tränke zu machen.	Fähigkeit, sicher aus weißen Tränken schwarze Tränke zu machen.
Learning	Die Fähigkeit Lernen erhöht die Erfahrung, die der Charakter sammelt. Jeder Punkt des Fähigkeitswertes ist ein prozentualer Bonus auf die Erfahrungspunkte (zuzüglich eines Startbonusses von 9%). So würde ein Fähigkeitswert von 6 aus 100 gewonnenen Erfahrungspunkten 115 machen. Experten verdoppeln und Meister verdreifachen den Bonus, so daß ein Fähigkeitswert von 7 auf dem Meisterrang einen prozentualen Bonus von 30% gewähren würde.	Die Fähigkeit erhöht gewonnene Erfahrung.	Auswirkungen der Fähigkeit sind verdoppelt.	Auswirkungen der Fähigkeit sind verdreifacht.	Auswirkungen der Fähigkeit sind verfünffacht.
