Random Item Generation By Treasure Level 1 - 6
		Chance By Level
Item #	Pic File	1	2	3	4	5	6
118	boots4	0	0	0	5	10	15
119	boots5	0	0	0	2	15	25
120	ring1	10	20	10	10	0	0
121	ring2	10	15	20	10	0	0
122	ring9	0	0	15	20	10	0
123	ring4	0	0	10	20	15	0
124	ring8	0	0	10	20	20	0
125	ring3	0	0	5	10	20	0
126	ring5	0	0	2	5	10	20
127	ring6	0	0	2	5	10	20
128	ring7	0	0	2	5	10	25
129	ring10	0	0	0	0	20	30
130	amulet1	0	10	10	10	10	0
131	amulet2	0	5	10	10	10	0
132	amulet3	0	0	5	10	10	0
133	amulet4	0	0	2	5	10	20
134	amulet5	0	0	2	5	10	25
135	wand1	0	1	2	1	0	0
136	wand1	0	1	2	1	0	0
137	wand1	0	1	2	1	0	0
138	wand1	0	1	2	1	0	0
139	wand1	0	1	2	1	0	0
140	wand2	0	0	2	2	0	0
141	wand2	0	0	2	2	0	0
142	wand2	0	0	2	2	0	0
143	wand2	0	0	2	2	0	0
144	wand2	0	0	2	2	0	0
145	wand3	0	0	1	2	3	0
146	wand3	0	0	1	2	3	0
147	wand3	0	0	1	2	3	0
148	wand3	0	0	1	2	3	0
149	wand3	0	0	1	2	3	0
150	wand4	0	0	0	1	2	3
151	wand4	0	0	0	1	2	3
152	wand4	0	0	0	1	2	3
153	wand4	0	0	0	1	2	3
154	wand4	0	0	0	1	2	3
155	wand5	0	0	0	0	2	5
156	wand5	0	0	0	0	2	5
157	wand5	0	0	0	0	2	5
158	wand5	0	0	0	0	2	5
159	wand5	0	0	0	0	2	5
160	robe1	15	10	5	0	0	0
161	robe2	0	5	10	10	5	0
162	robe3	0	0	0	5	10	15
163	knife1	10	5	0	0	0	0
164	knife2	0	5	10	5	0	0
165	knife3	0	0	0	5	10	10
166	caestus1	5	10	5	0	0	0
167	caestus2	0	0	5	10	5	0
168	caestus3	0	0	0	0	5	15
169	null	0	0	0	0	0	0
170	null	0	0	0	0	0	0
171	null	0	0	0	0	0	0
172	null	0	0	0	0	0	0
173	null	0	0	0	0	0	0
174	null	0	0	0	0	0	0
175	null	0	0	0	0	0	0
176	null	0	0	0	0	0	0
177	null	0	0	0	0	0	0
178	null	0	0	0	0	0	0
179	null	0	0	0	0	0	0
180	null	0	0	0	0	0	0
181	null	0	0	0	0	0	0
182	null	0	0	0	0	0	0
183	null	0	0	0	0	0	0
184	null	0	0	0	0	0	0
185	null	0	0	0	0	0	0
186	Blue Quartz	5	5	5	0	0	0
187	Topaz	5	5	5	0	0	0
188	Emerald	0	0	5	10	5	0
189	Sapphire	0	5	10	5	0	0
190	Green Garnet	0	5	10	5	0	0
191	Rose Crystal	5	10	5	0	0	0
192	Diamond	0	0	0	5	10	5
193	Amythest	0	5	10	5	0	0
194	Yellow Topaz	5	10	5	0	0	0
195	Diamond	0	0	0	5	10	5
196	Ruby	0	0	5	10	5	0
197	null	0	0	0	0	0	0
198	null	0	0	0	0	0	0
199	null	0	0	0	0	0	0
200	herb03	20	0	0	0	0	0
201	herb03	5	10	5	0	0	0
202	herb03	0	0	5	10	5	0
203	herb03	0	0	0	0	5	10
204	herb03	0	0	0	0	0	5
205	herb02	20	0	0	0	0	0
206	herb02	5	10	5	0	0	0
207	herb02	0	0	5	10	5	0
208	herb02	0	0	0	0	5	10
209	herb02	0	0	0	0	0	5
210	herb01	20	0	0	0	0	0
211	herb01	5	10	5	0	0	0
212	herb01	0	0	5	10	5	0
213	herb01	0	0	0	0	5	10
214	herb01	0	0	0	0	0	5
215	egg	20	0	0	0	0	0
216	egg	5	10	5	0	0	0
217	egg	0	0	5	10	5	0
218	egg	0	0	0	0	5	10
219	egg	0	0	0	0	0	5
220	bottle30	20	0	0	0	0	0
221	bottle22	10	5	0	0	0	0
222	bottle26	10	5	0	0	0	0
223	bottle23	10	5	0	0	0	0
224	bottle28	10	5	0	0	0	0
225	bottle25	5	10	0	0	0	0
226	bottle29	5	10	0	0	0	0
227	bottle24	5	10	0	0	0	0
228	null	0	0	5	0	0	0
229	null	0	0	5	0	0	0
230	null	0	0	5	0	0	0
231	null	0	0	5	0	0	0
232	null	0	0	5	0	0	0
233	null	0	0	5	0	0	0
234	null	0	0	5	0	0	0
235	null	0	0	5	0	0	0
236	null	0	0	5	0	0	0
237	null	0	0	5	0	0	0
238	null	0	0	5	0	0	0
239	null	0	0	5	0	0	0
240	bottle27	0	0	0	2	1	0
241	bottle27	0	0	0	2	1	0
242	bottle27	0	0	0	2	1	0
243	bottle27	0	0	0	2	1	0
244	bottle27	0	0	0	2	1	0
245	bottle27	0	0	0	2	1	0
246	bottle27	0	0	0	2	1	0
247	bottle27	0	0	0	2	1	0
248	bottle27	0	0	0	2	1	0
249	bottle27	0	0	0	2	1	0
250	bottle27	0	0	0	2	1	0
251	bottle27	0	0	0	2	1	0
252	bottle27	0	0	0	2	1	0
253	bottle27	0	0	0	2	1	0
254	bottle27	0	0	0	2	1	0
255	bottle27	0	0	0	2	1	0
256	bottle27	0	0	0	2	1	0
257	bottle27	0	0	0	2	1	0
258	bottle27	0	0	0	2	1	0
259	bottle27	0	0	0	2	1	0
260	bottle27	0	0	0	2	1	0
261	bottle27	0	0	0	2	1	0
262	bottle22	0	0	0	0	2	1
263	bottle22	0	0	0	0	2	1
264	bottle22	0	0	0	0	2	1
265	bottle22	0	0	0	0	2	1
266	bottle22	0	0	0	0	2	1
267	bottle22	0	0	0	0	2	1
268	bottle22	0	0	0	0	2	1
269	bottle22	0	0	0	0	2	1
270	bottle22	0	0	0	0	2	1
271	bottle22	0	0	0	0	2	1
272	item165	0	0	0	0	2	1
273	item165	0	0	0	0	2	1
274	item165	0	0	0	0	2	1
275	item165	0	0	0	0	2	1
276	item165	0	0	0	0	2	1
277	item165	0	0	0	0	2	1
278	item165	0	0	0	0	2	1
279	item165	0	0	0	0	2	1
280	item165	0	0	0	0	2	1
281	itemholy	1	2	0	0	0	0
282	null	0	0	0	0	0	0
283	null	0	0	0	0	0	0
284	null	0	0	0	0	0	0
285	null	0	0	0	0	0	0
286	null	0	0	0	0	0	0
287	null	0	0	0	0	0	0
288	null	0	0	0	0	0	0
289	null	0	0	0	0	0	0
290	null	0	0	0	0	0	0
291	null	0	0	0	0	0	0
292	null	0	0	0	0	0	0
293	null	0	0	0	0	0	0
294	null	0	0	0	0	0	0
295	null	0	0	0	0	0	0
296	null	0	0	0	0	0	0
297	null	0	0	0	0	0	0
298	null	0	0	0	0	0	0
299	null	0	0	0	0	0	0
300	scroll1	2	2	0	0	0	0
301	scroll1	2	2	0	0	0	0
302	scroll2	2	2	0	0	0	0
303	scroll2	2	2	0	0	0	0
304	scroll3	0	2	2	0	0	0
305	scroll3	0	2	2	0	0	0
306	scroll3	0	2	2	0	0	0
307	scroll4	0	0	2	1	0	0
308	scroll4	0	0	2	1	0	0
309	scroll4	0	0	2	1	0	0
310	scroll4	0	0	0	1	1	0
311	scroll1	2	2	0	0	0	0
312	scroll1	2	2	0	0	0	0
313	scroll2	2	2	0	0	0	0
314	scroll2	2	2	0	0	0	0
315	scroll3	0	2	2	0	0	0
316	scroll3	0	2	2	0	0	0
317	scroll3	0	2	2	0	0	0
318	scroll4	0	0	2	1	0	0
319	scroll4	0	0	2	1	0	0
320	scroll4	0	0	2	1	0	0
321	scroll4	0	0	0	1	1	0
322	scroll1	2	2	0	0	0	0
323	scroll1	2	2	0	0	0	0
324	scroll2	2	2	0	0	0	0
325	scroll2	2	2	0	0	0	0
326	scroll3	0	2	2	0	0	0
327	scroll3	0	2	2	0	0	0
328	scroll3	0	2	2	0	0	0
329	scroll4	0	0	2	1	0	0
330	scroll4	0	0	2	1	0	0
331	scroll4	0	0	2	1	0	0
332	scroll4	0	0	0	1	1	0
333	scroll1	2	2	0	0	0	0
334	scroll1	2	2	0	0	0	0
335	scroll2	2	2	0	0	0	0
336	scroll2	2	2	0	0	0	0
337	scroll3	0	2	2	0	0	0
338	scroll3	0	2	2	0	0	0
339	scroll3	0	2	2	0	0	0
340	scroll4	0	0	2	1	0	0
341	scroll4	0	0	2	1	0	0
342	scroll4	0	0	2	1	0	0
343	scroll4	0	0	0	1	1	0
344	scroll1	2	2	0	0	0	0
345	scroll1	2	2	0	0	0	0
346	scroll2	2	2	0	0	0	0
347	scroll2	2	2	0	0	0	0
348	scroll3	0	2	2	0	0	0
349	scroll3	0	2	2	0	0	0
350	scroll3	0	2	2	0	0	0
351	scroll4	0	0	2	1	0	0
352	scroll4	0	0	2	1	0	0
353	scroll4	0	0	2	1	0	0
354	scroll4	0	0	0	1	1	0
355	scroll1	2	2	0	0	0	0
356	scroll1	2	2	0	0	0	0
357	scroll2	2	2	0	0	0	0
358	scroll2	2	2	0	0	0	0
359	scroll3	0	2	2	0	0	0
360	scroll3	0	2	2	0	0	0
361	scroll3	0	2	2	0	0	0
362	scroll4	0	0	2	1	0	0
363	scroll4	0	0	2	1	0	0
364	scroll4	0	0	2	1	0	0
365	scroll4	0	0	0	1	1	0
366	scroll1	2	2	0	0	0	0
367	scroll1	2	2	0	0	0	0
368	scroll2	2	2	0	0	0	0
369	scroll2	2	2	0	0	0	0
370	scroll3	0	2	2	0	0	0
371	scroll3	0	2	2	0	0	0
372	scroll3	0	2	2	0	0	0
373	scroll4	0	0	2	1	0	0
374	scroll4	0	0	2	1	0	0
375	scroll4	0	0	2	1	0	0
376	scroll4	0	0	0	1	1	0
377	scroll1	0	0	1	2	0	0
378	scroll1	0	0	1	2	0	0
379	scroll2	0	0	1	2	0	0
380	scroll2	0	0	1	2	0	0
381	scroll3	0	0	0	2	1	0
382	scroll3	0	0	0	2	1	0
383	scroll3	0	0	0	2	1	0
384	scroll4	0	0	0	0	2	1
385	scroll4	0	0	0	0	2	1
386	scroll4	0	0	0	0	2	1
387	scroll4	0	0	0	0	0	2
388	scroll1	0	0	1	2	0	0
389	scroll1	0	0	1	2	0	0
390	scroll2	0	0	1	2	0	0
391	scroll2	0	0	1	2	0	0
392	scroll3	0	0	0	2	1	0
393	scroll3	0	0	0	2	1	0
394	scroll3	0	0	0	2	1	0
395	scroll4	0	0	0	0	2	1
396	scroll4	0	0	0	0	2	1
397	scroll4	0	0	0	0	2	1
398	scroll4	0	0	0	0	0	2
399	scroll2	2	2	0	0	0	0
400	book1	1	0	0	0	0	0
401	book1	1	0	0	0	0	0
402	book2	0	1	0	0	0	0
403	book2	0	1	0	0	0	0
404	book3	0	0	2	0	0	0
405	book3	0	0	2	0	0	0
406	book4	0	0	2	0	0	0
407	book4	0	0	0	1	0	0
408	book5	0	0	0	1	0	0
409	book5	0	0	0	1	0	0
410	book5	0	0	0	0	1	0
411	book1	1	0	0	0	0	0
412	book1	1	0	0	0	0	0
413	book2	0	1	0	0	0	0
414	book2	0	1	0	0	0	0
415	book3	0	0	2	0	0	0
416	book3	0	0	2	0	0	0
417	book4	0	0	2	0	0	0
418	book4	0	0	0	1	0	0
419	book5	0	0	0	1	0	0
420	book5	0	0	0	1	0	0
421	book5	0	0	0	0	1	0
422	book1	1	0	0	0	0	0
423	book1	1	0	0	0	0	0
424	book2	0	1	0	0	0	0
425	book2	0	1	0	0	0	0
426	book3	0	0	2	0	0	0
427	book3	0	0	2	0	0	0
428	book4	0	0	2	0	0	0
429	book4	0	0	0	1	0	0
430	book5	0	0	0	1	0	0
431	book5	0	0	0	1	0	0
432	book5	0	0	0	0	1	0
433	book1	1	0	0	0	0	0
434	book1	1	0	0	0	0	0
435	book2	0	1	0	0	0	0
436	book2	0	1	0	0	0	0
437	book3	0	0	2	0	0	0
438	book3	0	0	2	0	0	0
439	book4	0	0	2	0	0	0
440	book4	0	0	0	1	0	0
441	book5	0	0	0	1	0	0
442	book5	0	0	0	1	0	0
443	book5	0	0	0	0	1	0
444	book1	1	0	0	0	0	0
445	book1	1	0	0	0	0	0
446	book2	0	1	0	0	0	0
447	book2	0	1	0	0	0	0
448	book3	0	0	2	0	0	0
449	book3	0	0	2	0	0	0
450	book4	0	0	2	0	0	0
451	book4	0	0	0	1	0	0
452	book5	0	0	0	1	0	0
453	book5	0	0	0	1	0	0
454	book5	0	0	0	0	1	0
455	book1	1	0	0	0	0	0
456	book1	1	0	0	0	0	0
457	book2	0	1	0	0	0	0
458	book2	0	1	0	0	0	0
459	book3	0	0	2	0	0	0
460	book3	0	0	2	0	0	0
461	book4	0	0	0	1	0	0
462	book4	0	0	0	1	0	0
463	book5	0	0	0	1	0	0
464	book5	0	0	2	0	0	0
465	book5	0	0	0	0	1	0
466	book1	1	0	0	0	0	0
467	book1	1	0	0	0	0	0
468	book2	0	1	0	0	0	0
469	book2	0	1	0	0	0	0
470	book3	0	0	2	0	0	0
471	book3	0	0	2	0	0	0
472	book4	0	0	2	0	0	0
473	book4	0	0	0	1	0	0
474	book5	0	0	0	1	0	0
475	book5	0	0	0	1	0	0
476	book5	0	0	0	0	1	0
477	book1	0	0	0	1	0	0
478	book1	0	0	0	1	0	0
479	book2	0	0	0	0	1	0
480	book2	0	0	0	0	1	0
481	book3	0	0	0	0	1	0
482	book3	0	0	0	0	1	0
483	book4	0	0	0	0	0	1
484	book4	0	0	0	0	0	1
485	book5	0	0	0	0	0	1
486	book5	0	0	0	0	0	1
487	book5	0	0	0	0	0	0
488	book1	0	0	0	1	0	0
489	book1	0	0	0	1	0	0
490	book2	0	0	0	0	1	0
491	book2	0	0	0	0	1	0
492	book3	0	0	0	0	1	0
493	book3	0	0	0	0	1	0
494	book4	0	0	0	0	0	1
495	book4	0	0	0	0	0	1
496	book5	0	0	0	0	0	1
497	book5	0	0	0	0	0	1
498	book5	0	0	0	0	0	0
499	scroll2	2	2	0	0	0	0
500	ldagger3	0	0	0	0	0	0
501	hammer3	0	0	0	0	0	0
502	2haxe3	0	0	0	0	0	0
503	brsword3	0	0	0	0	0	0
504	staff3	0	0	0	0	0	0
505	bow5	0	0	0	0	0	0
506	chn5icon	0	0	0	0	0	0
507	pl3icon	0	0	0	0	0	0
508	sshield5	0	0	0	0	0	0
509	crown3a	0	0	0	0	0	0
510	cape5a	0	0	0	0	0	0
511	boots5	0	0	0	0	0	0
512	ring9	0	0	0	0	0	0
513	ring10	0	0	0	0	0	0
514	amulet5	0	0	0	0	0	0
515	lsword5	0	0	0	0	0	0
516	mace5	0	0	0	0	0	0
517	trident3	0	0	0	0	0	0
518	axe5	0	0	0	0	0	0
519	2hsword3	0	0	0	0	0	0
520	bow5	0	0	0	0	0	0
521	chn5icon	0	0	0	0	0	0
522	pl3icon	0	0	0	0	0	0
523	lshield5	0	0	0	0	0	0
524	crown3a	0	0	0	0	0	0
525	cape5a	0	0	0	0	0	0
526	boots5	0	0	0	0	0	0
527	ring9	0	0	0	0	0	0
528	ring10	0	0	0	0	0	0
529	amulet5	0	0	0	0	0	0
530	null	0	0	0	0	0	0
531	null	0	0	0	0	0	0
532	null	0	0	0	0	0	0
533	null	0	0	0	0	0	0
534	null	0	0	0	0	0	0
535	null	0	0	0	0	0	0
536	null	0	0	0	0	0	0
537	null	0	0	0	0	0	0
538	null	0	0	0	0	0	0
539	null	0	0	0	0	0	0
540	null	0	0	0	0	0	0
541	null	0	0	0	0	0	0
542	null	0	0	0	0	0	0
543	null	0	0	0	0	0	0
544	null	0	0	0	0	0	0
545	null	0	0	0	0	0	0
546	null	0	0	0	0	0	0
547	null	0	0	0	0	0	0
548	null	0	0	0	0	0	0
549	null	0	0	0	0	0	0
550	null	0	0	0	0	0	0
551	null	0	0	0	0	0	0
552	null	0	0	0	0	0	0
553	null	0	0	0	0	0	0
554	null	0	0	0	0	0	0
555	null	0	0	0	0	0	0
556	null	0	0	0	0	0	0
557	null	0	0	0	0	0	0
558	null	0	0	0	0	0	0
559	null	0	0	0	0	0	0
560	null	0	0	0	0	0	0
561	null	0	0	0	0	0	0
562	null	0	0	0	0	0	0
563	null	0	0	0	0	0	0
564	null	0	0	0	0	0	0
565	null	0	0	0	0	0	0
566	null	0	0	0	0	0	0
567	null	0	0	0	0	0	0
568	null	0	0	0	0	0	0
569	null	0	0	0	0	0	0
570	null	0	0	0	0	0	0
571	null	0	0	0	0	0	0
572	null	0	0	0	0	0	0
573	null	0	0	0	0	0	0
574	null	0	0	0	0	0	0
575	null	0	0	0	0	0	0
576	null	0	0	0	0	0	0
577	null	0	0	0	0	0	0
578	null	0	0	0	0	0	0
579	null	0	0	0	0	0	0
580	null	0	0	0	0	0	0
581	null	0	0	0	0	0	0
582	null	0	0	0	0	0	0
583	null	0	0	0	0	0	0
584	null	0	0	0	0	0	0
585	null	0	0	0	0	0	0
586	null	0	0	0	0	0	0
587	null	0	0	0	0	0	0
588	null	0	0	0	0	0	0
589	null	0	0	0	0	0	0
590	null	0	0	0	0	0	0
591	null	0	0	0	0	0	0
592	null	0	0	0	0	0	0
593	null	0	0	0	0	0	0
594	null	0	0	0	0	0	0
595	null	0	0	0	0	0	0
596	null	0	0	0	0	0	0
597	null	0	0	0	0	0	0
598	null	0	0	0	0	0	0
599	null	0	0	0	0	0	0
600	coinsm	0	0	0	0	0	0
601	coinmid	0	0	0	0	0	0
602	coinlg	0	0	0	0	0	0
603	pouch1	0	0	0	0	0	0
604	pouch2	0	0	0	0	0	0
605	pouch3	0	0	0	0	0	0
606	hglass	0	0	0	0	0	0
607	chalice	0	0	0	0	0	0
608	horn	0	0	0	0	0	0
609	gem1	0	0	0	0	0	0
610	gem2	0	0	0	0	0	0
611	gem3	0	0	0	0	0	0
612	gem4	0	0	0	0	0	0
613	gem5	0	0	0	0	0	0
614	gem6	0	0	0	0	0	0
615	gem7	0	0	0	0	0	0
616	gem8	0	0	0	0	0	0
617	gem9	0	0	0	0	0	0
618	gem10	0	0	0	0	0	0




Bonus chance by level %		1	2	3	4	5	6
	Standard	0	35	35	35	35	65
	Special	0	0	15	20	25	35
Weapons	Special %	0	0	15	25	35	50
