						
	NPC	Join				
16	Мастер по оружию	400		Три дополнительных очка к навыку оружейника для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Любому пригодится полезный совет, а мои советы по оружию и ведению боя - самые лучшие. В ходе боя моё руководство существенно повысит ваши навыки обращения с оружием. Я беру за работу не меньше 400 монет и %17 процента от найденного золота."	И вы просто так отказываетесь от моих ценных советов? Позор!
17	Подмастерье	500		"Два дополнительных очка к навыкам магии Стихий (Огня, Воздуха, Земли и Воды) для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу предложить кое-какую магию для усиления ваших заклинаний магии Стихий и облегчения вашего бремени - за 500 золотых монет и %17 процентов от найденного золота.	Почему вы отказываетесь от безграничных возможностей магии, которые я могу предложить, при том, что я не прошу многого.
18	Мистик	1000		"Три дополнительных очка к навыкам магии Стихий (Огня, Воздуха, Земли и Воды) для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу предложить мощную магию для усиления ваших заклинаний магии Стихий за 1000 золотых монет и %17 процентов от найденного золота.	Почему вы отказываетесь от безграничных возможностей магии, которые я могу предложить, при том, что я не прошу многого.
19	Мастер заклинаний	2000		"Четыре дополнительных очка к навыкам магии Стихий (Огня, Воздуха, Земли и Воды) для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	"Я могу предложить свои огромные познания в магии для мощного усиления ваших заклинаний магии Стихий и их последствий - за очень скромную сумму в 2000 золотых монет и %17 процентов от найденного золота."	Почему вы отказываетесь от безграничных возможностей магии, которые я могу предложить, при том, что я не прошу многого.
20	Торговец	100		Четыре дополнительных очка ко всем торговым навыкам для всех персонажей. %01 забирает %17 процент всего золота, которое вы находите.	"Порой людям бывает трудно торговаться от своего имени. Я с радостью помогу вам советом и добьюсь снижения цен при торговле с купцами. Всё, что я прошу - это 100 золотых монет для начала и %17 процент от найденного золота."	Вы увольняете меня? Вы, должно быть, шутите! Без меня вы потеряете много денег!
21	Торговец	200		Шесть дополнительных очков к торговым навыкам для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Я давно состою в Гильдии купцов и хорошо разбираюсь в коврах. Я знаю все хитрости торговли, как свои пять пальцев. Я смогу дать вам нужный совет и добиться снижения цен при торговле с другими купцами. Я беру за работу 200 монет и %17 процента от найденного золота."	Вы увольняете меня? Вы, должно быть, шутите! Без меня вы потеряете много денег!
22	Разведчик	300		Шесть дополнительных очков к навыкам восприятия для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"У меня острый взгляд и громкий голос. Я успею предупредить вас об опасности до того, как она станет неминуемой. Это может спасти вашу жизнь... Всё, что я прошу - это 300 монет и %17 процента от найденного золота."	"Кто же предупредит вас об опасности, если не я? Вы делаете большую ошибку, шеф!"
23	Лекарь-травник	400		Четыре дополнительных очка к навыку алхимии для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"В процессе моих исследований мною накоплен существенный опыт работы с реагентами и катализаторами. Думаю, что смогу помочь вам с созданием и приготовлением снадобий, если вы меня наймете. 400 золотых монет для начала и %17 процента от золота, которое мы найдём вместе."	Так! После всего, что было сделано, вы собираетесь меня уволить?! Просто так?
24	Аптекарь	600		Восемь дополнительных очков к навыку алхимии для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите.	Я посвящаю мою жизнь изучению алхимии. Я могу увеличить силу снадобий, которые вы готовите. Я беру за работу всего 600 монет и %17 процентов от найденного золота.	Так! После всего, что я для вас сделал, вы собираетесь меня уволить?! Просто так?
25	Лудильщик	200		Четыре дополнительных очка к навыкам нейтрализации ловушек для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	Я знаю кое-что о том, как налаживать инструменты и всё такое. Я разбираюсь и в замках. Я могу помочь с открытием замков, если вы наймёте меня за 200 золотых монет и %17 процента от найденного золота.	Вы пожалеете об этом как только попадете следующий раз в ловушку, а все потому, что меня не было рядом!
26	Мастер по замкам	300		Шесть дополнительных очков к навыкам нейтрализации ловушек для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Вскрытие замков - трудная наука. Вам нужен профессионал, который поможет открыть любые замки. Я могу работать на вас за 300 золотых монет и %17 процента от найденного золота."	Вы пожалеете об этом как только попадете следующий раз в ловушку, а все потому, что меня не было рядом!
27	Шут	100		Пять дополнительных баллов удачи для всех персонажей. %01 забирает %17 процент всего золота, которое вы находите.	"Боги благоволят пьяным, детям и дуракам. Что ж, у меня нет ума. Возьмите меня с собой, и, возможно, боги будут благосклонны к вам тоже. Всё, что я прошу - это 100 золотых монет и %17 процент от найденного золота."	С вами было весело! Увидимся!
28	Трубочист	200		Двадцать дополнительных баллов удачи для всех персонажей. %01 забирает %17 процента всего золота, которое вы находите.	"Говорят, трубочисты - везунчики. Не знаю, прочистка труб - нелёгкая работёнка. Но если хотите, можете нанять меня за 200 золотых монет и %17 процента золота, что мы найдём. Может быть, я принесу вам удачу."	С вами было весело! Увидимся!
29	Носильщик	100	Открыть сумку	"Увеличивает вместимость инвентаря.  %01 забирает %17 процент всего золота, которое вы находите."	"Если вам нужен кто-то для переноски вещей, типа оружия и сокровищ, то я тот, кого вы ищете! Всё, что я прошу - это 100 золотых монет и %17 процент от найденного золота."	"О, пожалуйста, не прогоняйте меня! Я буду работать усерднее!"
30	Квартирмейстер	200	Открыть левую сумку	"Значительно увеличивает вместимость инвентаря.  %01 забирает %17 процента всего золота, которое вы находите."	"За 200 монет и %17 процента найденного золота я помогу организовать ваши рюкзаки и буду носить то, что не поместится.  Думаю, вы согласитесь, что моя работа стоит этих денег."	"О, пожалуйста, не прогоняйте меня! Я буду работать усерднее!"
31	Процентщик	500		Десятипроцентная прибавка ко всему найденному золоту. %01 забирает %17 процентов всего золота, которое вы находите.	За 500 монет и %17 процентов найденного золота я помогу организовать ваши финансы и буду отбирать редкие экземпляры среди найденных монет. Я могу увеличить благосостояние клиента в среднем на 5 процентов.	"Вы потеряете без меня много денег, попомните мои слова!"
32	Банкир	1000		Двадцатипроцентная прибавка ко всему найденному золоту. %01 забирает %17 процентов всего золота, которое вы находите.	За 1000 монет и %17 процентов найденного золота я помогу организовать ваши финансы и буду отбирать редкие экземпляры среди найденных монет. Я могу увеличить благосостояние клиента в среднем на 10 процентов.	"Вы потеряете без меня много денег, попомните мои слова!"
33	Повар	300	Сегодняшнее блюдо	Увеличивает параметры отряда после привала.  %01 забирает %17 процента всего золота, которое вы находите.	"Вы когда-нибудь задумывались о собственном поваре? За 300 монет и %17 процента найденного золота я буду носить дополнительные продукты и готовить еду для себя и четверых из вас. Вы не пожалеете: мою стряпню ещё никто не называл плохой."	"Опять на хлеб и воду, да? <себе под нос> вам же хуже."
34	Шеф-повар	400	Сегодняшнее блюдо	Существенно увеличивает параметры отряда после привала.  %01 забирает %17 процента всего золота, которое вы находите.	"Я учился в лучших кулинарных училищах Эрафии. Я готов помогать вам на кухне за жалкие 400 монет и %17 процента найденного золота."	"Опять на хлеб и воду, да? <себе под нос> вам же хуже."
35	Конюх	100		Конные переходы станут на два дня короче (минимум один день). %01 забирает %17 процент всего золота, которое вы находите.	Я вижу, вы мало что знаете об уходе за лошадьми и не умеете использовать их на всю катушку. Буду рад позаботиться о лошадях, когда вы будете брать их напрокат. С моей помощью вы быстрее доберётесь, куда вам нужно. Всё, что я прошу - это 100 золотых монет и %17 процент от найденного золота.	"Что ж, думаю, я могу вас понять. <шмыгает носом> вы не нуждаетесь больше в моих услугах."
36	Менестрель	1000		"Постепенно улучшает местную репутацию отряда после убийства монстров.  %01 забирает %17 процентов всего золота, которое вы находите."	"Я талантливый поэт и музыкант, моя специальность - героические баллады.  Странствуя с вами, я смогу засвидетельствовать ваши подвиги и переложить их в стихи, что наверняка сделает вас популярнее.  Я беру на свои нужды лишь 1000 монет и %17 процентов от найденного золота."	Я думал, у нас уговор! А вы просто вышвыриваете меня, как мусор! Как так можно?
37	Чародей	1000		"Усиливает на 20 очков защиту от Огня, Грома, Холода, Яда, Мысли, Магии. %01 забирает %17 процентов всего золота, которое вы находите."	"Земли Эрафии полны опасными волхвами. Большинство из них пользуются заклинаниями, связанными с четырьмя стихиями, например поражают огнём или молнией. Другие для поражения своих противников используют магию Тела и Мысли. Мне известно заклинание, которое поможет защитить вас от них, и я могу задействовать его постоянно. Я вызову это заклинание, если вы возьмёте меня с собой. Всё, что я прошу - это 1000 золотых монет и %17 процентов от найденного золота."	"Что, больше не боитесь вражеской магии, да? Что ж, это ваш выбор. Не говорите, что я вас не предупреждал!"
38	Картограф	200		Постоянно поддерживает заклинание Око Чародея на уровне эксперта. %01 забирает %17 процента всего золота, которое вы находите.	"За 200 золотых монет и %17 процента от найденного золота я могу поддерживать способность к заклинанию Око чародея на уровне эксперта."	"Даже если вы можете творить Око чародея сами, мои услуги сберегут ваши магические силы. Что вы об этом думаете?"
39	Мастер ветров	2000	Хождение по воздуху	Раз в день накладывает заклинание Полета на два часа. %01 забирает %17 процентов всего золота, которое вы находите.	"Вы когда-нибудь мечтали научиться летать? Возьмите меня с собой и я буду раз в день вызывать заклинание Полёта. Всё, что я прошу - это 2000 золотых монет для начала и %17 процентов от найденного золота. Недорого, правда?"	"Вы готовы променять способность летать в обмен на несколько жалких золотых? Подумайте об этом хорошенько, мой друг."
40	Мастер воды	1000	Хождение по воде	Раз в день накладывает заклинание Хождения по воде на три часа. %01 забирает %17 процентов всего золота, которое вы находите.	"Древние пророки хвастались умением ходить по воде. Я открыл их секрет. Раз в день я могу вызывать заклинание Хождения по воде для вас и всей вашей команды. Я беру за работу 1000 монет и %17 процентов от найденного золота."	"Вы готовы променять способность ходить по воде в обмен на несколько жалких золотых? Подумайте об этом хорошенько, мой друг."
41	Мастер ворот	2000	Городские врата	Раз в день вызывает заклинание Портал города на уровне магистра. %01 забирает %17 процентов всего золота, которое вы находите.	"Бывают заклинания, которые повторяют некоторые природные волшебные свойства Эрафии. Одно из них - Портал города - я умею вызывать на уровне магистра. Я буду вызывать его раз в день, если вы наймёте меня. Я беру за работу 2000 монет и %17 процентов от найденного золота."	"Вы готовы променять способность мгновенно перемещаться в обмен на несколько жалких золотых? Подумайте об этом хорошенько, мой друг."
42	Капеллан	200	Благословение отряда	Раз в день вызывает заклинание Благословения длительностью два часа на уровне мастера. %01 забирает %17 процента всего золота, которое вы находите.	"Я могу отправиться с вами и каждый день вызывать заклинание Благословения за пожертвование в 200 монет и %17 процента золота, которое мы найдём, в пользу моей церкви."	"Я спросил у богов, и они сказали мне, что разгневаются на вас, если вы меня уволите. Просто думал, что вам полезно будет это знать..."
43	Волынщик	300	Сыграть музыку	Раз в день вызывает заклинание Мужества длительностью два часа на уровне мастера. %01 забирает %17 процента всего золота, которое вы находите.	По последней моде все армии берут с собой дудочника, музыка которого вдохновляет воинов на подвиги в боях. Это было бы полезно даже небольшим отрядам типа вашего. Я отправлюсь с вами за 300 золотых монет и %17 процента от найденного золота.	Вам будет не хватать моих боевых маршей! Это очень важно во время сражения!
44	Землепроходец	100		Все путешествия короче на один день (самое быстрое - 1 день). %01 забирает %17 процент всего золота, которое вы находите.	Мой опыт путешествия по миру поможет вам сократить свои броски на один день, независимо от того, путешествуете ли вы по суше или по воде. Всё, что я прошу - это 100 золотых монет для начала и %17 процент от найденного золота.	"Вы считаете меня бесполезным? Хорошо, но только помните, что я экономлю ваше время, а время - деньги!"
45	Пират	500		"Все морские путешествия сокращаются на два дня, а найденное золото увеличивается на десять процентов. Снижает репутацию при найме. %01 забирает %17 процентов всего золота, которое вы находите."	"Арррр! Жизнь свободолюбивого морехода научила меня быстро плавать и хорошо считать золото. Но у меня настала полоса невезения, так что я готов отправиться с вами всего за 500 монет и %17 процентов найденного золота."	Арррр! Вы увольняете бедного старого морехода... как несправедливо. Может передумаете?
46	Оруженосец	600		Навыки владения оружием и доспехами повышаются на два очка для каждого персонажа. %01 забирает %17 процентов всего золота, которое вы находите.	Всем воинам нужны оруженосцы, чтобы ухаживать за их оружием и доспехами, поддерживать их в бою. Я могу стать вашим оруженосцем за 600 золотых монет и %17 процентов от найденного золота.	"О, пожалуйста, не прогоняйте меня! Я буду работать усерднее!"
47	Медиум	400		Для каждого персонажа навыки восприятия повышаются на пять единиц, удача - на десять. %01 забирает %17 процента всего золота, которое вы находите.	"Фортуна - это моя работа, я могу улучшить вашу удачу за 400 золотых монет и %17 процента найденного золота."	Я предсказываю, что вы пожалеете о том, что прогнали меня!
48	Цыган	100	Открыть сумку	"Увеличивает вместимость инвентаря, и увеличивает навык торговли на три пункта для каждого персонажа. Снижает репутацию при найме. %01 забирает %17 процент всего золота, которое вы находите."	"Я провожу всю жизнь в дороге, и поверьте мне, я знаю, что делаю, когда я говорю, что научу вас путешествовать и заключать сделки. Я могу помочь в обоих этих вопросах за 100 золотых монет и %17 процент от найденного золота."	"Я вам ношу вещи, экономлю деньги, и это вся благодарность?"
49	Мастер маяков	2500	Установить маяк	Может поставить маяк (в любое время) и потом вернуть ваш отряд к нему (раз в день). %01 забирает %17 процентов всего золота, которое вы находите.	"Вершина школы магии Воды - способность мгновенно перемещаться в любое место, что было ранее магически отмечено. Я владею этим заклинанием и могу телепортировать ваш отряд куда вы мне скажете, раз в день. Я беру за работу 2500 монет и %17 процентов от найденного золота."	"Вы готовы променять способность мгновенно перемещаться в обмен на несколько жалких золотых? Подумайте об этом хорошенько, мой друг."
50	Кидала	200		Навыки торговли увеличиваются на восемь пунктов для каждого персонажа. Снижает репутацию при найме. %01 забирает %17 процента всего золота, которое вы находите.	Многих людей можно уговорить расстаться с вещами, которые они ни за что не отдали бы, если успели бы задуматься. Фокус в том, чтобы заболтать их и не дать ни секунды, чтобы подумать о том, что вы на самом деле говорите. Я пойду с вами и научу вас этому ценному навыку всего за 200 монет и %17 процента золота, которое мы найдём.	Постойте! Давайте обсудим! Я знаю, что на самом деле вы не хотите меня увольнять. Мы можем выработать компромиссное решение!
51	Медвежатник	2000		Навыки воровства и нейтрализации ловушек увеличиваются на восемь очков для каждого персонажа. Снижает репутацию при найме. %01 ничего вам не стоит!	"Нужно нейтрализовать ловушку? Или раздобыть что-нибудь, но так, чтобы владелец не узнал об этом? Я занимаюсь этим постоянно с тех пор, как три года назад меня выпустили из тюрьмы. Если вам нужна помощь, я буду работать бесплатно. Мне нужна практика."	Что? Я ничего не делал! 
52	Павший чародей	2500	Час Могущества	Сотворяет заклинание Час Могущества один раз в день на шесть часов. Снижает репутацию при найме. %01 забирает %17 процентов всего золота, которое вы находите.	"Мало кто может творить Час Могущества, не будучи чародеем. Я могу творить это заклинание для вас один раз в день, если вы наймете меня. Я беру за работу 2500 монет сразу и %17 процентов от найденного золота."	"И вы готовы променять все заклинания, которые я творю для вас, на несколько кусочков презренного металла? Подумайте об этом хорошенько, мой друг."
53	Дьякон Солнца	500		"Два дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Света для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу помочь вам в деле сотворения заклинаний, усиливая заклинания Тела, Духа, Мысли и Света всего за 500 золотых авансом и %17 процентов всего найденного золота.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но свою связь с богами! Я знаю, что на самом деле вы не хотите этого. Вы меня не уволите."
54	Посвящённый Солнца	1000		"Три дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Света для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	Мои молитвы приумножат ваши навыки в заклинаниях Тела, Духа, Мысли и Света. Я прошу всего лишь 1000 золотых монет и %17 процентов золота, которое мы найдем вместе.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но свою связь с богами! Я знаю, что на самом деле вы не хотите этого. Вы меня не уволите."
55	Прелат Солнца	2000		"Четыре дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Света для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу многократно усилить действие заклинаний Духа, Тела, Мысли и Света всего за ничтожную сумму в 2000 золотых монет и %17 процентов золота, которое мы найдем вместе.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но свою связь с богами! Я знаю, что на самом деле вы не хотите этого. Вы меня не уволите."
56	Монах	500		Увеличивает навыки рукопашного боя и ловкости на два очка для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите.	"Я помогу вам тренировать ваши мысли и тела, и доведу до совершенства вашу технику рукопашного боя. Я беру за работу всего 500 монет и %17 процентов от найденного золота."	"Да у вас еще молоко на губах не обсохло. Что же вы так внезапно бросили тренировки?"
57	Мудрец	750		Увеличивает на шесть очков навыки идентификации предметов и монстров для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите.	Я обладаю обширными познаниями о вещах и созданиях Эрафии. Охотно помогу вам в путешествиях за 750 золотых и %17 процентов найденного золота.	"Вам будет не доставать моих мудрых советов и знаний, попомните мои слова!"
58	Охотник	500		Увеличивает на четыре очка навык идентификации монстров для всех персонажей. %01 забирает %17 процентов всего золота, которое вы находите.	"Мне доводилось охотится практически на все живое в Эрафии и кое-что знаю о населяющих ее существах. И хотя я больше не охочусь, я поделюсь своими знаниями с вами за 500 золотых и %17 процентов найденного золота."	"Что ж, старый охотник не будет упрашивать. Если хотите, можете меня уволить."
59	Дьякон Луны	500		"Два дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Тьмы для всех персонажей. Снижает репутацию при найме. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу помочь вам в деле сотворения заклинаний, усиливая заклинания Тела, Духа, Мысли и Тьмы всего за 500 золотых авансом и %17 процентов всего найденного золота.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но и благоволение тёмных богов! Я знаю, что на самом деле вы не хотите быть прокляты. Вы меня не уволите."
60	Посвящённый Луны	1000		"Три дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Тьмы для всех персонажей. Снижает репутацию при найме. %01 забирает %17 процентов всего золота, которое вы находите."	Мои молитвы приумножат ваши навыки в заклинаниях Тела, Духа, Мысли и Тьмы. Я прошу всего лишь 1000 золотых монет и %17 процентов золота, которое мы найдем вместе.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но и благоволение тёмных богов! Я знаю, что на самом деле вы не хотите быть прокляты. Вы меня не уволите."
61	Прелат Луны	2000		"Четыре дополнительных очка ко всем навыкам применения заклинаний Эго (Тела, Мысли, Духа) и Тьмы для всех персонажей. Снижает репутацию при найме. %01 забирает %17 процентов всего золота, которое вы находите."	Я могу многократно усилить действие заклинаний Духа, Тела, Мысли и Тьмы всего за ничтожную сумму в 2000 золотых монет и %17 процентов золота, которое мы найдем вместе.	"Увольняя меня, вы теряете не просто друга и духовного наставника, но и благоволение тёмных богов! Я знаю, что на самом деле вы не хотите быть прокляты. Вы меня не уволите."
62	Ниндзя	1500	Невидимость	Раз в день накладывает заклинание Невидимости на один час. %01 забирает %17 процентов всего золота, которое вы находите.	"Я владею древними секретами, позволяющими перемещаться бесшумно и не привлекая внимание врагов. Раз в день я могу помочь всему вашему отряду двигаться так же скрытно, как и я сам. Взамен я прошу 1500 монет и %17 процентов от найденного золота."	"Вы серьёзно считаете, что горстка сэкономленных монет окупает постоянные опасные сражения? Ваше решение застало меня врасплох, честно."
