										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
21	10	Полет	none	Полет	"Дает вашим персонажам способность летать! Заклинание очень дорогое и работает только вне помещения, но оно очень полезное. Полет будет забирать одно очко магии каждые пять минут своего использования (т.е. когда вы не касаетесь земли)."	н/д	н/д	Продолжительность 10 минут на очко навыка	Продолжительность 1 час на очко навыка	P
22	11	Звездопад	Elec	Звезды	"Призывает звезды с небес для поражения и сжигания врагов. Призывается двадцать звезд, каждая из которых наносит урон в размере 20 единиц + 1 единица на очко навыка в магии Воздуха. Вспышка звезды работает только вне помещения. Постарайтесь, чтобы взрыв вас не накрыл."	н/д	н/д	н/д	Это заклинание лучше не бывает!	PEC
	Lvl	Water Spells	Res		Описание заклинания					
23	1	Пробуждение	none	Пробуж.	"Автоматически пробуждает всех ваших персонажей от нормального сна и разбудит их от магического сна, если они не пробыли в этом состоянии слишком долго. Чем лучше ваш навык в Магии Воды, тем дольше может быть состояние сна, прежде чем это заклинание станет неэффективным."	Срабатывает, если персонаж был усыплен менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был усыплен менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был усыплен менее, чем 1 день на очко навыка назад	Быстрое восстановление	P
24	2	Распыление яда	Pois	Расп.яда	"Распыляет яд на монстров прямо перед вашими персонажами. Урон небольшой, но многие живые монстры уязвимы к яду, поэтому оно обычно срабатывает. Каждый залп дает 2 очка урона плюс 1-2 очка на очко навыка в Магии Воды."	"1 залп за 2 очка магии"	"3 залпа за 4 очка магии"	"5 залпов за 6 очков магии"	"7 залпов за 8 очков магии"	P
25	3	Защита от холода	none	З.холода	Повышает устойчивость всех ваших персонажей к холоду на количество единиц, равное вашему навыку в магии Воды, его продолжительность - один час на очко навыка в магии Воды.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	P
26	4	Ледяная молния	Cold	Л.молния	Наносит ледяной удар в отдельную цель. Она всегда попадает в цель и наносит 1-4 очка урона на очко навыка в Магии Воды.	Медленное восстановление	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PMEC
27	5	Хождение по воде	none	По воде	"Хождение по Воде позволяет вашим персонажам двигаться по поверхности воды, не погружаясь в нее. Это заклинание может быть очень полезным, но оно постоянно забирает одно очко магии каждые 20 минут соприкосновения с водой."	н/д	Продолжительность 10 минут на очко навыка	Продолжительность 1 час на очко навыка	Позволяет ходить по лаве	P
28	6	Перезарядка	none	Перезар.	"Перезаряжает любой магический предмет, который можно перезарядить. Всякий раз при сотворении заклинания предмет навсегда теряет 50% - 1 на очко навыка в магии Воды от своего потраченного заряда."	н/д	Предмет теряет 50%-1 на очко навыка в магии Воды	Предмет теряет 30%-1 на очко навыка в магии Воды	Предмет теряет 20%-1 на очко навыка в магии Воды	PE
29	7	Всплеск кислоты	Pois	Всплеск	Всплеск кислоты бьет струей чрезвычайно едкой кислоты в отдельную жертву. Он всегда попадает и дает 9 очков урона плюс от 1 до 9 очков на очко навыка в Магии Воды. 	н/д	Средний уровень восстановления	Быстрое восстановление	Самое быстрое восстановление	PMC
30	8	Талисман	none	Талисман	Наделяет обычный предмет магической силой. Заклинание не сработает на низкокачественных вещах, но высокий навык в Магии Воды снижает минимальную стоимость предмета. Великие магистры достигают более лучших результатов. Это заклинание сильнее всего в полдень.	н/д	н/д	Чары средней силы	Сильные чары	P
31	9	Портал города	none	П.города	"Портал города телепортирует отряд прямо к центральному фонтану посещённого вами города. Если поблизости находятся враждебные монстры, вероятность успешного срабатывания заклинания составляет лишь 5% на очко навыка в магии Воды, в противном случае оно срабатывает всегда."	н/д	н/д	Перемещает в последний посещённый город	Можно выбрать любой посещённый город	P
32	10	Ледяной взрыв	Cold	Л. взрыв	"Испускает ледяной шар в том направлении, куда смотрит заклинатель. Шар разобьется, когда наткнется на препятствие, и распадется на 7 мелких кусочков льда во всех направлениях, кроме того, где находится заклинатель. Осколки будут рикошетить, пока не ударят в какое-либо существо или не растают. Каждый осколок дает 12 очков урона плюс 1-6 очка на очко навыка в магии Воды."	н/д	н/д	Средняя скорость восстановления	Быстрое восстановление	PMEC
33	11	Маяк Ллойда	none	Маяк Лл.	Маяк Ллойда позволяет вам поместить маркер в то место, куда вы в будущем хотите телепортироваться обратно.  Время действия этих маркеров рассчитывается как два дня на очко навыка в магии Воды. Вы можете телепортироваться к ним только раз в день на каждые три единицы навыка в магии Воды, но новые маяки можно создавать без ограничений.  Телепортация к маякам также нарушает баланс маны отряда, что на время затрудняет восполнение очков магии в гильдиях.	н/д	н/д	н/д	Это заклинание лучше не бывает!	P
	Lvl	Earth Spells	Res		Описание заклинания					
34	1	Шок	Magic	Шок	"Ударяет по монстру магической силой, заставляя его восстанавливаться от шока, прежде чем он сможет сделать что-то еще. Шок также слегка отбрасывает монстра назад и дает вам шанс убраться подобру-поздорову. Шанс срабатывания заклинания увеличивается с вашим навыком в магии Земли."	Средний уровень восстановления	Более быстрое восстановление	Ещё более быстрое восстановление	Самое быстрое восстановление	PC
35	2	Замедление	Magic	Замедлен.	"Уменьшает наполовину скорость движения и удваивает время восстановления отдельного монстра. Замедление делает нападения монстра в два раза реже, и ему будет труднее поймать вас, если вы побежите. Шанс срабатывания заклинания увеличивается с вашим навыком в магии Земли."	Продолжительность 5 минут	Продолжительность 20 минут	Монстр замедляется в четыре раза	Монстр замедляется в восемь раз	PC
36	3	Защита от магии	none	З.магии	Повышает устойчивость всех ваших персонажей к чистой магии на количество единиц, равное вашему навыку в магии Земли, его продолжительность - один час на очко навыка в магии Земли.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	P
37	4	Рой смерти	Phys	Рой см.	"Вызывает рой кусающих и жалящих насекомых, которые терзают отдельную цель. Этот рой наносит всего 5 очков урона плюс 1-3 очка на очко навыка в магии Земли, но никогда не промахивается."	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PC
38	5	Каменная кожа	none	Кам.кожа	Увеличивает класс брони всех персонажей на 5 очков плюс 1 очко на очко навыка в Магии Земли.	н/д	Продолжительность 1 час + 5 минут на очко навыка	Продолжительность 1 час + 15 минут на очко навыка	Продолжительность 1 час + 1 час на очко навыка	PM
39	6	Лезвие	Phys	Лезвие	"Выстреливает вращающееся металлическое, острое, как бритва, лезвие в отдельного монстра. Лезвие дает 1-9 очков урона на очко навыка в Магии Земли.  В отличие от большинства атакующих заклинаний, лезвие может промахнуться."	н/д	Средний уровень восстановления	Быстрое восстановление	Самое быстрое восстановление	PC
40	7	Из камня в плоть	none	К.-плоть	"Снимает окаменение с персонажа, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Земли, тем длительнее период окаменения, из которого можно вернуться. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	Срабатывает, если персонаж был превращен в камень менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был превращен в камень менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был превращен в камень менее, чем 1 день на очко навыка назад	P
41	8	Взрыв камня	Phys	К. взрыв	"Призывает в мир магический камень, который взорвется, соприкоснувшись с существом, или же когда пройдет достаточное количество времени. Камень будет отскакивать и катиться, пока не найдет преграду, поэтому остерегайтесь стоять на его пути. Взрыв дает 1 - 8 очков урона на очко навыка в Магии Земли."	н/д	н/д	Средний уровень восстановления	Быстрое восстановление	PMC
42	9	Телекинез	none	Телекин.	"Телекинез позволяет вам управлять объектами на расстоянии. Этим заклинанием можно использовать переключатели, поднимать предметы, открывать двери, и все это на безопасной дистанции от хитрых ловушек."	н/д	н/д	Средняя скорость восстановления	Быстрое восстановление	P
43	10	Цветок смерти	Phys	Ц.смерти	"Запускает магический камень высоко в воздух и создает очень большой и мощный взрыв по приземлении, что в свою очередь вызывает выброс комьев земли на большое расстояние. Падая обратно на землю, комья наносят дополнительный урон. Урон от каждого кома - 20 очков плюс 1 очко на очко навыка в Магии Земли. Это заклинание можно использовать только вне помещения."	н/д	н/д	Средняя скорость восстановления	"Быстрое восстановление, двойной эффект навыка"	PC
44	11	Изменение веса	Magic	Из. веса	"Мгновенно сильно увеличивает вес отдельной цели, вызывая внутренние повреждения монстра на 25% от общего числа единиц здоровья плюс еще 2% на очко навыка в Магии Земли. Чем больше монстр, тем больший наносится урон."	н/д	н/д	н/д	Это заклинание лучше не бывает!	PMC
	Lvl	Spirit Spells	Res		Описание заклинания					
45	1	Детектор жизни	none	Д. жизни	Позволяет отряду увидеть значение жизненной силы противника в числовом выражении.	Продолжительность 10 минут на очко навыка.	Продолжительность 30 минут на очко навыка	Продолжительность 1 час на очко навыка	Показывает заклинания	P
46	2	Благословение	none	Благосл.	Благословленные персонажи имеют повышенный шанс поразить монстров в рукопашной схватке и снарядами. Бонус персонажа при поражении объекта увеличивается на 5 очков плюс 1 очко на очко навыка в Магии Духа.	Продолжительность 1 час + 5 минут на очко навыка 	Заклинание действует на весь отряд	Продолжительность 1 час + 15 минут на очко навыка	Продолжительность 1 час + 1 час на очко навыка	PM
47	3	Призрачное оружие	none	Призрач.	"Частично смещает оружие в мир духов, позволяя ему поражать врагов, имунных к физическому урону.  Это заклинание также полезно против врагов, просто имеющих высокую устойчивость к оружию."	Продолжительность 1 час на очко навыка	Быстрое восстановление	Самое быстрое восстановление	Возможно постоянное зачарование	PM
48	4	Бег мертвецов	Holy	Б. мертв.	Заставляет всех видимых живых мертвецов спасаться бегством, пока не закончится действие заклинания. Восстановление укорачивается навыком в Магии Духа.	Продолжительность 5 минут	Продолжительность 15 минут	Продолжительность 30 минут	Продолжительность 1 час	PM
49	5	Снятие порчи	none	Сн.порчи	"Снимает с персонажа проклятие, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Духа, тем длительнее период в состоянии проклятия, когда заклинание еще будет иметь силу. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	Срабатывает, если персонаж был проклят менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был проклят менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был проклят менее, чем 1 день на очко навыка назад	P
50	6	Сохранение	none	Сохран.	"Заклинание Сохранение более прочно укрепляет душу в теле, что дает некоторую защиту от мгновенной смерти и уничтожения. Сохранение также может отодвинуть наступление смерти от сильной потери единиц здоровья, но не убережет персонажа от потери сознания. Если количество единиц здоровья после окончания действия заклинания по-прежнему мало, то раненый персонаж умрет."	н/д	Продолжительность 1 час + 5 минут на очко навыка	Действует на весь отряд	Продолжительность 1 час + 15 минут на очко навыка	P
51	7	Мужество	none	Мужество	Мужество увеличивает урон, который наносит персонаж при успешном нападении на 5 очков плюс 1 очко на очко навыка в Магии Духа. Это заклинание воздействует сразу на весь отряд.	н/д	Продолжительность 1 час + 5 минут на очко навыка	Продолжительность 1 час + 15 минут на очко навыка	Продолжительность 1 час + 1 час на очко навыка	PM
52	8	Плеть Духа	Magic	П. Духа	"Это заклинание пытается ослабить связь между телом и душой, нанося 10 + 1-8 очков урона на очко навыка в магии Духа всем монстрам вокруг заклинателя."	н/д	н/д	Средний уровень восстановления	Быстрое восстановление и увеличенный радиус действия	PMC
53	9	Оживление	none	Оживлен.	"Оживляет персонажа, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Духа, тем дольше персонаж может оставаться мертвым до момента невозвращения. После этого единственный способ оживить персонажа, исключая Божество, - это посетить храм. После сотворения этого заклинания ваш персонаж будет в состоянии слабости."	н/д	н/д	Срабатывает, если персонаж умер менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж умер менее, чем 1 день на очко навыка назад	P
54	10	Общая жизнь	none	О. жизнь	"Общая жизнь объединяет жизненную силу ваших персонажей и перераспределяет ее среди них поровну, насколько возможно. Все текущие единицы здоровья суммируются и добавляется 3 дополнительные единицы за очко навыка в Магии Духа. Затем единицы здоровья перераспределяются снова. Итоговое количество здоровья может временно превысить обычный для персонажа максимум."	н/д	н/д	Добавляет к общей сумме 3 единицы здоровья на очко навыка	Добавляет к общей сумме 4 единицы здоровья на очко навыка	P
55	11	Воскрешение	none	Воскреш.	"Воскрешает мёртвого или уничтоженного (тело разрушено) персонажа. Это заклинание полностью восстанавливает тело, так что воскрешенный персонаж будет в намного лучшей форме, чем после Оживления; более того, у Воскрешения нет ограничения по времени. Единственный недостаток этого заклинания - очень низкий темп восстановления."	н/д	н/д	н/д	Восстанавливает 30 единиц здоровья + 15 единиц на очко навыка	P
	Lvl	Mind Spells	Res		Описание заклинания					
56	1	Снятие страха	none	С.страха	"Снимает с персонажа состояние страха, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Мысли, тем длительнее период состояния, из которого можно вернуться. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	Срабатывает, если персонаж был напуган менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был напуган менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был напуган менее, чем 1 день на очко навыка назад	Заклинание действует на весь отряд	P
57	2	Удар мысли	Mind	Уд.мысли	Наносит удар ментальной силы, вызывающий повреждение нервной системы отдельной цели. Удар Мысли дает 3 очка урона плюс еще 1-3 очка на очко навыка в Магии Мысли.	Медленное восстановление	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PMC
58	3	Защита от мысли	none	З.мысли	Повышает устойчивость всех ваших персонажей к ментальным атакам на количество единиц, равное вашему навыку в магии Мысли, его продолжительность - один час на очко навыка в магии Мысли.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	PC
59	4	Аура враждебности	none	Аура враж.	"Зачарованный персонаж вызывает сильное чувство враждебности в каждом встречном, так что ваши враги будут атаковать его в первую очередь, в то время как остальной отряд получит передышку.  Это заклинание лучше использовать на самом крепком из ваших бойцов, а его длительность - 10 минут на очко навыка в Магии Мысли."	Слабый эффект	Средний эффект	Сильный эффект	Самый сильный эффект	P
60	5	Очарование	Mind	Очаров.	"Успокаивает выбранное существо и снимает любые враждебные чувства, которые у него могут быть к персонажам. Но если это существо получает какое-либо повреждение, оно немедленно снова становится враждебным. Шанс срабатывания заклинания увеличивается с вашим навыком в магии Мысли."	н/д	Продолжительность 15 минут 	Продолжительность 30 минут	Неограниченная длительность	P
61	6	Лечение паралича	none	Л.парал.	"Лечит паралич, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Мысли, тем дольше персонаж может оставаться парализованным до момента, когда возвращение из этого состояния становится невозможным. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	Срабатывает, если персонаж был парализован менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был парализован менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был парализован менее, чем 1 день на очко навыка назад	PC
62	7	Берсерк	Mind	Берсерк	"Наводит безумие на отдельного монстра, возбуждая в нем ярость и жажду битвы, из-за чего он нападает на ближайшее к нему существо и атакует его до тех пор, пока не окончится действие заклинания. Шанс срабатывания увеличивается с вашим навыком в магии Мысли."	н/д	Продолжительность 15 минут	Продолжительность 30 минут	Продолжительность 1 час	PC
63	8	Массовый страх	Mind	М.страх	"Все существа в поле видимости заклинателя, пугаются его и пускаются в бегство. Но если существо получает повреждение, когда находится под влиянием этого заклинания, оно освобождается от него. Массовый Страх не действует на живых мертвецов. Шанс срабатывания заклинания увеличивается с вашим навыком в магии Мысли."	н/д	н/д	Продолжительность 15 минут	Продолжительность 30 минут	PC
64	9	Лечение безумия	none	Л.безум.	"Лечит безумие, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Мысли, тем дольше персонаж может оставаться безумным до момента, когда возвращение из этого состояния станет невозможным. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	н/д	Срабатывает, если персонаж обезумел менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж обезумел менее, чем 1 день на очко навыка назад	P
65	10	Психический шок	Mind	Пс. шок	"Похожий на Удар Мысли, Психический Шок наводит на отдельное существо разрушительную для разума магию, но куда эффективнее. Психический Шок дает 12 очков урона плюс 1-12 очков на очко навыка в Магии Мысли."	н/д	н/д	Средний уровень восстановления	Быстрое восстановление	PMC
66	11	Порабощение	Mind	Рабство	"Позволяет получить контроль над мыслями жертвы на один час. Порабощенные существа будут драться с монстрами, враждебными заклинателю, и не будут нападать на заклинателя, даже если он или его друзья атакуют их. Это заклинание не работает на живых мертвецах. Шанс срабатывания увеличивается с вашим навыком в магии Мысли."	н/д	н/д	н/д	Это заклинание лучше не бывает!	P
	Lvl	Body Spells	Res		Описание заклинания					
67	1	Лечение слабости	none	Л.слаб.	"Снимает с персонажа состояние слабости, если вы вовремя сотворите заклинание. Чем больше навык и ранг в Магии Тела, тем дольше персонаж может оставаться слабым до момента, когда возвращение из этого состояния станет невозможным. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	Срабатывает, если персонаж ослаб менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж ослаб менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж ослаб менее, чем 1 день на очко навыка назад	Заклинание действует на весь отряд	P
68	2	Первая помощь	none	П.помощь	При сотворении лечит здоровье у отдельного персонажа. Количество восстановленных единиц здоровья равно 5, плюс 2 единицы на очко навыка в Магии Тела.	Лечит 5 единиц здоровья + 2 единицы на очко навыка	Лечит 5 единиц здоровья + 3 единицы на очко навыка Можно творить дистанционно	Лечит 5 единиц здоровья + 4 единицы на очко навыка	Лечит 5 единиц здоровья + 5 единиц на очко навыка	P
69	3	Защита от яда	none	З.яда	Повышает устойчивость всех ваших персонажей к яду и кислоте на количество единиц, равное вашему навыку в магии Тела, его продолжительность - один час на очко навыка в магии Тела.	1 единица устойчивости на очко навыка	2 единицы устойчивости на очко навыка	3 единицы устойчивости на очко навыка	4 единицы устойчивости на очко навыка	P
70	4	Вред	Magic	Вред	Наносит непосредственный магический вред отдельному существу. Вред дает 8 очков урона плюс 1-2 очка на очко навыка в Магии Тела.	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PMEC
71	5	Регенерация	none	Реген.	Дает возможность регенерации отдельному персонажу. Пока заклинание действует, оно будет медленно возвращать единицы здоровья.	н/д	"Медленно восстанавливает единицы здоровья с течением времени. Продолжительность 1 час на очко навыка"	Восстанавливает большее количество единиц здоровья за единицу времени	Восстанавливает самое большое количество единиц здоровья за единицу времени 	P
72	6	Противоядие	none	Пр. яда	"Вводит противоядие персонажу, если вовремя сотворить заклинание. Чем больше навык и ранг в Магии Тела, тем дольше персонаж может оставаться отравленным до момента, когда возвращение из этого состояния станет невозможным. После этого единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	Срабатывает, если персонаж был отравлен менее, чем 3 минуты на очко навыка назад	Срабатывает, если персонаж был отравлен менее, чем 1 час на очко навыка назад	Срабатывает, если персонаж был отравлен менее, чем 1 день на очко навыка назад	P
73	7	Руки-молоты	none	Р. молот	"Заклинание Руки-молоты усиливает навык рукопашного боя, позволяя наносить более сильные и точные удары по слабым местам противника. Руки-молоты добавляют магический урон, равный удвоенному навыку магии Тела заклинателя, к каждому удару без оружия.  Заклинание действует и на атаки оружием (в ближнем бою), но в четыре раза слабее."	н/д	Средний уровень восстановления	Быстрое восстановление	Заклинание действует на весь отряд	PM
74	8	Эликсир жизни	none	Эликсир	"Лечит персонажа от болезни, опьянения и состояния зомби, а также восстанавливает 25 единиц здоровья плюс 12 на очко навыка в Магии Тела. Однако, некоторые состояния могут не вылечиться, если они были наведены слишком давно, по сравнению с навыком и рангом в Магии Тела заклинателя. В таком случае, единственный способ снять это состояние, исключая Божество, - это посетить храм."	н/д	н/д	Лечит, если состояние было наведено менее, чем 1 час на очко навыка назад	Лечит, если состояние было наведено менее, чем 1 день на очко навыка назад	P
75	9	Неизменность	none	Неизм.	"Неизменность воздействует на весь отряд целиком, давая иммунитет к некоторым заклинаниям и нападениям монстров, обуславливающим состояния слабости. К ним относятся: Яд, Болезнь, Паралич, Окаменение и Слабость. Каждый раз при срабатывании заклинания его сила уменьшается. Заклинание действует в течение 1 атаки на очко навыка в магии Тела, после чего заклинание снимается."	н/д	н/д	Продолжительность 1 час на очко навыка	Дает устойчивость к состояниям смерти и уничтожения	P
76	10	Летающий кулак	Phys	Л. кулак	Летающий Кулак наносит тяжелый физический удар по отдельному сопернику, который дает 20 очков урона плюс 1-10 очков на очко навыка в Магии Тела.	н/д	н/д	Средний уровень восстановления	Быстрое восстановление	PMEC
77	11	Исцеление	none	Исцелен.	Восстанавливает единицы здоровья всех персонажей вашего отряда сразу. Восстанавливаемое количество равно 10 единицам плюс 5 единиц на очко навыка в Магии Тела.	н/д	н/д	н/д	Это заклинание лучше не бывает!	PM
	Lvl	Light Spells	Res		Описание заклинания					
