Skill	Description	Normal	Expert	Master	GrandMaster
Латы	"Латы - это самые тяжелые доспехи. Они обеспечивают наилучшую защиту, но персонаж становится более неповоротлив, чем в кожаных доспехах или кольчуге. Навык ношения лат увеличивает их степень защиты. Только магистры лат могут носить их, не замедляясь."	Навык добавляется к классу брони	Замедление восстановления уменьшается вдвое.	Снижается наполовину урон от физических атак.	Снимается замедление восстановления
Огонь	Магия Огня является хорошим источником наступательных заклинаний, а также включает несколько заклинаний скорости. Продвижение в навыке позволяет изучать новые заклинания огня и улучшает уже имеющиеся.	Свет факела, Удар огня, Защита от огня и Аура огня	Ускорение, Огненный шар и Огненный шип	Кольцо огня, Поток метеоров и Адский огонь	Испепеление
Воздух	Магия Воздуха по своей природе более предназначена для защиты и получения информации, а также включает в себя заклинания полета. Продвижение в навыке позволяет изучать новые заклинания воздуха и улучшает уже имеющиеся.	Око чародея, Падение пера, Защита от грома и Искры	Прыжок, Щит и Молния	Невидимость, Точный взрыв и Полёт	Звездопад
Вода	Магия Воды в равной степени наступательная и оборонительная. Основное внимание уделяется заклинаниям, позволяющим перемещать или изменять вещи и предметы. Продвижение в навыке позволяет изучать новые заклинания воды и улучшает уже имеющиеся.	Пробуждение, Распыление яда, Защита от холода и Ледяная молния	Хождение по воде, Перезарядка и Всплеск кислоты	Талисман, Портал города и Ледяной взрыв	Маяк Ллойда
Земля	"Магия Земли является оборонительной по природе и включает заклинания, позволяющие защищать, заколдовывать и усилять. Продвижение в навыке позволяет изучать новые заклинания земли и улучшает уже имеющиеся."	Шок, Замедление, Защита от магии и Рой смерти	Каменная кожа, Лезвие и Из камня в плоть	Взрыв камня, Телекинез и Цветок смерти	Изменение веса
Дух	"В Магии Духа основное внимание уделяется заклинаниям жизни и смерти. В их число входят заклинания для оживления мертвых, заклинания для воздействия на живых мертвецов, а также заклинания, улучшающие оружейные навыки. Продвижение в навыке позволяет изучать новые заклинания духа и улучшает уже имеющиеся."	Детектор жизни, Благословение, Призрачное оружие и Бег мертвецов	Снятие порчи, Сохранение и Мужество	Плеть духа, Оживление и Общая жизнь	Воскрешение
Мысль	"Магия мысли по своей природе оборонительная и информационная. Очарование, страх и телепатия - все это примеры магии мысли. Продвижение в навыке позволяет изучать новые заклинания мысли и улучшает уже имеющиеся."	Снятие страха, Удар мысли, Защита от мысли и Аура враждебности	Очарование, Лечение паралича и Берсерк	Массовый страх, Лечение безумия и Психический шок	Порабощение
Тело	"Магия Тела посвящена заклинаниям лечения и оздоровления. В эту группу входят заклинания исцеления, лечения ран, заклинания противоядий и другие. Продвижение в навыке позволяет изучать новые заклинания тела и улучшает уже имеющиеся."	Лечение слабости, Первая помощь, Защита от яда и Вред	Регенерация, Противоядие и Руки-молоты	Лечение болезни, Неизменность и Летающий кулак	Исцеление
Свет	"Заклинания магии Света являются одними из сильнейших в Эрафии. Заклинания Света в полной мере подвластны только клирикам и волхвам, их нельзя выбрать при создании персонажа, наоборот, магия Света должна изучаться и постигаться во время ваших странствий."	Молния света, Нежить, Снятие чар и Паралич	Элементал, День богов и Свет призмы	День защиты, Час могущества и Луч солнца	Божество
Тьма	"Заклинания магии Тьмы являются одними из сильнейших заклинаний в Эрафии. При произнесении заклинаний тьмы могут получаться весьма примечательные результаты, однако заклинания тьмы иногда вызывают некоторые нежелательные побочные эффекты... Магию Тьмы нельзя выбрать при создании персонажей, а продвинуться в ней могут лишь клирики и волхвы."	Реанимация, Облако-токсин, Вампиризм и Сжимающий луч	Шрапнель, Глава нежити и Отражение боли	Убийство жертвы, Дыхание дракона и Армагеддон	Испить душу
Опознать предмет	Навык опознания позволяет автоматически распознавать предметы при щелчке на них правой кнопкой мыши, если уровень вашего персонажа достаточно высок. Некоторые предметы для правильного опознания требуют, чтобы ваш персонаж владел этим навыком на уровне эксперта или мастера.	Возможность идентифицировать предметы	Двойной эффект навыка	Тройной эффект навыка	100% успех
Торговля	"Навык торговли позволяет повышать или понижать цену в свою пользу при продаже или покупке."	Навык повышает или понижает цену в вашу пользу	Двойной эффект навыка	Тройной эффект навыка	Покупка и продажа предметов по реальной стоимости.
Починка	Навык починки позволяет вашим персонажам чинить сломанные вещи. Чем более высок уровень навыка, тем более хорошие вещи вы сможете чинить. Владение навыком на уровне эксперта или мастера позволит вам чинить сложные предметы и артефакты. Этот навык применяется автоматически при щелчке правой кнопкой мыши на сломанном предмете в списке имеющихся у вас.	Возможность чинить предметы	Двойной эффект навыка	Тройной эффект навыка	100% успех
Атлетика	"Атлетика добавляет вашему персонажу единицы здоровья. Для получения точной величины прибавки умножьте уровень атлетики на базовый бонус класса персонажа (5 для рыцарей, 2 для клириков и т.д.) и добавьте 5% за каждый уровень персонажа после 20-го.  Уровень Эксперт удваивает сумму добавляемых единиц здоровья, а уровень Мастер утраивает ее."	Навык добавляется к единицам здоровья	Двойной эффект навыка	Тройной эффект навыка	Восстанавливает здоровье со временем
Медитация	"Медитация добавляет вашему персонажу очки магии. Для получения точной величины прибавки умножьте уровень медитации на базовый бонус класса персонажа (3 для волхвов, 1 для паладинов и т.д.) и добавьте 5% за каждый уровень персонажа после 20-го.  Уровень Эксперт удваивает сумму добавляемых очков магии, а уровень Мастер утраивает ее."	Навык добавляется к очкам магии	Двойной эффект навыка	Тройной эффект навыка	Восстанавливает очки магии со временем
Восприятие	Навык восприятия увеличивает ваши шансы вовремя заметить срабатывающую ловушку и тем самым избежать урона, который она могла бы нанести. Восприятие также позволяет вашему персонажу замечать сокровища там, где другие их не заметят - как вокруг отряда, так и на убитых врагах. Чем выше навык восприятия, тем более хитрых ловушек вы сможете избежать и тем больше сокровищ сможете обнаружить.	Навык увеличивает шансы избежать ловушек и обнаружить сокровища	Двойной эффект навыка	Тройной эффект навыка	Пятикратный эффект навыка
Дипломатия	"Дипломатия помогает сгладить негативный эффект от попрошайничества, дачи взяток и угроз при попытках заставить кого-либо работать с вами. Чем лучше навык, тем меньше пострадает ваша репутация от совершения данных действий. Владение навыком на уровне эксперта или мастера позволяет удвоить и утроить эффект дипломатии."	"Навык уменьшает негативное воздействие от попрошайничества, дачи взяток и угроз."	Двойной эффект навыка	Тройной эффект навыка	Здесь текст для Великого магистра
Воровство	Не используется	Normal Text goes here	Expert Text goes here	Master Text goes here	Здесь текст для Великого магистра
Нейтрализация ловушек	Навык нейтрализации ловушек автоматически применяется при открытии сундука с ловушкой или другого контейнера. Чем лучше навык нейтрализации ловушек, тем больше шансов, что ловушка будет обнаружена и обезврежена. Владение этим навыком на уровне эксперта или мастера соответственно удваивает и утраивает шансы успешной нейтрализации.	Навык увеличивает шансы нейтрализации ловушек, установленных на сундуки.	Двойной эффект навыка	Тройной эффект навыка	100% успех
Ловкость	Навык ловкости применяется когда вы не одеты в доспехи и не пользуетесь щитом. Владение навыком на высоких уровнях увеличивает ваш класс брони, когда вы не носите доспехи.	Навык добавляется к классу брони	Навык добавляется к классу брони (двойной эффект)	Навык добавляется к классу брони (тройной эффект)	Шанс уклониться от атаки противника равен уровню навыка
Рукопашный бой	"Навык рукопашного боя - это ваша возможность использовать в схватке только руки и ноги, без оружия. Навык применяется только когда у вас в руках ничего нет. Продвижение в этом навыке увеличивает шансы на поражение противника."	Навык добавляется к бонусу атаки	Навык добавляется к повреждениям.	Навык добавляется к бонусу атаки и силе удара (двойной эффект)	Шанс мгновенно убить равен половине навыка
Опознание монстра	Навык опознания монстров позволяет вам собрать больше информации о них, когда вы щелкаете на них правой кнопкой мыши. При наличии достаточного навыка вы сможете узнавать точное число их единиц здоровья. На уровне мастера и эксперта вы можете получать дополнительную информацию.  Успешное опознание монстра также даёт небольшое преимущество в бою против него.	Показывается число единиц здоровья и класс брони монстра	Показывается тип атаки и сила атаки монстра	Показываются заклинания, которые может творить монстр	Показываются устойчивости монстра
Оружейник	"Навык оружейника представляет собой хитрости его ремесла. Начальный уровень навыка уменьшает время на восстановление вашего оружия для ближнего боя, затем он увеличивает силу атаки и даже силу ударов."	Навык уменьшает время на восстановление всего оружия ближнего боя	Навык добавляется к бонусу атаки всего оружия ближнего боя	Навык добавляется к силе атаки всего оружия ближнего боя	Удваивает все предыдущие бонусы
Воровство	"Воровство - умение отвлечь внимание и быть незаметным.  Это не только позволяет вам воровать вещи из лавок и чужих карманов, но также даёт шанс нанести двойной урон при ударе в спину.  Имейте в виду, что неудачная кража может вызвать проблемы с законом и потерю репутации."	Навык дает шанс украсть и бить в спину	Двойной эффект навыка	Тройной эффект навыка	Пятикратный эффект навыка
Алхимия	"Навык алхимии дает знания о том, как готовить снадобья. Без навыка алхимии любое смешение зелий может вызвать взрыв, а владение этим навыком увеличивает силу основных ингредиентов, используемых при приготовлении снадобий. При достижении уровня эксперта, мастера и Великого магистра в алхимии вы сможете безопасно готовить все более и более сложные снадобья."	Позволяет безопасно смешивать простые снадобья для приготовления сложных	Позволяет безопасно смешивать сложные снадобья для приготовления составных	Позволяет безопасно смешивать составные снадобья для приготовления белых	Позволяет безопасно смешивать белые снадобья для приготовления черных
Обучение	"Навык обучения непосредственно влияет на опыт, получаемый вашим персонажем. Каждое очко этого навыка - это 1% дополнительного опыта (плюс начальный бонус 9%). Пять очков навыка обучения превратят 100 полученных единиц опыта в 114 единиц. Владение навыком на уровне эксперта удваивает, а на уровне мастера - утраивает этот бонус, так что обладание статусом мастера в этом навыке при уровне 7 очков даст 30% увеличение приобретаемого опыта."	Навык увеличивает величину приобретаемого опыта	Двойной эффект навыка	Тройной эффект навыка	Пятикратный эффект навыка
