Class	Descriptions	Notes
Священник	"Священник - это первое продвижение в классе Клирик.  Они могут стать мастерами в некоторых навыках, в том числе в доступных им школах магии.  Священники в дальнейшем могут быть произведены в Священники Света, что несколько лучше в рукопашном бою, или в Священники Тьмы, более способные к магии."	Cleric
Священник Света	"Священник Света - это второе и последнее продвижение для тех клириков, что следуют тропой Света.  Священник Света может овладеть заклинаниями и стать великим магистром магии Света.  Священники Света также могут стать великими магистрами в других своих магических навыках, а также в навыках булавы и торговли."	Cleric
Священник Тьмы	"Священник Тьмы - это второе и последнее продвижение тех клириков, что следуют тропой Тьмы.  Священники Тьмы могут овладеть заклинаниями и стать великими магистрами магии Тьмы.  Священники Тьмы такжа могут стать великими магистрами в других своих магических навыках, а также в навыках торговли и медитации."	Cleric
Друид	"Друиды - это класс-гибрид Волхва и Клирика.  Бойцы из них никудышные (лучше, разве что, начинающих волхвов) и единиц здоровья относительно немного.  Но зато Друиды могут использовать почти все школы магии, обычно с большим умением, и только магия Света им недоступна.  Из оружия им доступны лишь посох, кинжал, булава и расовое оружие, притом, что в обороне они могут пользоваться только кожаными доспехами, мантиями и щитом."	Druid
Великий Друид	"Великие Друиды - это первое продвижение Друидов в ранге.  Великие Друиды могут улучшить многие навыки до мастера, включая большинство своих магических навыков.  Позднее они могут быть произведены в Верховных Друидов, специализирующихся в практической магии, или в Чернокнижников, более сильных в бою."	Druid
Верховный Друид	"Верховные Друиды - это второе и заключительное повышение для тех Друидов, что следуют тропой Света.  Верховные Друиды могут стать великими магистрами в навыках магии Воздуха, Воды, Земли, Тела, алхимии, опознания монстров и медитации."	Druid
Чернокнижник	"Чернокнижники - это второе и заключительное продвижение для тех Друидов, которые следуют тропой Тьмы.  Чернокнижники способны овладеть магией Тьмы и могут стать великими магистрами в навыках магии Огня, Земли и Разума, алхимии и медитации."	Druid
Волхв	"Будучи послушниками школы магии Стихий, Волхвы концентрируют свои усилия на атакующей и практической магии.  Волхвы как бойцы совершенно ни на что не годны.  Они едва способны хоть как-то овладеть кинжалом, посохом или их расовым оружием.  Доспехи они могут использовать только кожаные (плюс мантии), щит не могут использовать и вовсе, а единиц здоровья у них меньше всех остальных классов.  Но невзирая на это, Волхвам подвластны наиболее разрушительные заклинания, а также доступна Зеркальная Тропа Света и Тьмы - источник лучших заклинаний, известных миру."	Sorcerer
Чародей	"Чародей - это первое продвижение на пути Волхва.  Чародеи могут улучшить многие навыки (включая известные им школы магии) до уровня мастера.  Чародеи могут быть в дальнейшем произведены до мудрых Архимагов или до пугающих немёртвых Личей."	Sorcerer
Архимаг	"Архимаги - это второе и последнее продвижение тех волхвов, что следуют тропой Света.  По мере продвижения Архимаги получают полный доступ к магии Света.  Архимаги могут стать великими магистрами в своих магических навыках (кроме Земли), также как и в навыках древнего оружия, опознания предметов и обучения."	Sorcerer
Лич	"Лич - это второе и последнее продвижение тех волхвов, что следуют тропой Тьмы.  Статус Лича достигается отвратительным образом, когда претендент в Личи помещает свои органы в магический сосуд, который впоследствии ему предстоит охранять.  При своем возвышении Личи получают полный доступ к магии Тьмы, а также иммунитет к некоторым стихиям и крадущее жизнь прикосновение.  (К сожалению, они едва способны овладеть боем без оружия.)  Личи могут стать великими магистрами в своих магических навыках (кроме Земли), так же как и в навыках владения посохом и древним оружием, плюс медитации."	Sorcerer
