#	Greeting 1	Greeting 2	Notes	Owner
1	"Я - Лорд Мархэм, благотворитель. Это я предоставил замок в качестве приза для победителя состязания."	"Рад снова видеть вас. Как успехи в поисках?"		Markham
16	"Приветствую вас, я - Мия. Вам что-то нужно?"	Да? Что вам угодно?		Mia
17	Стойте! У вас нет разрешения на проход здесь. Мы требуем, чтобы вы не беспокоили учеников, пока они работают.	Стойте! У вас нет разрешения на проход здесь. Мы требуем, чтобы вы не беспокоили учеников, пока они работают.		School of Sorcery Guard
18	"Добро пожаловать на Изумрудный остров! Я - ваш гид здесь. Я буду появляться время от времени и рассказывать о том, что вы увидите, чтобы вам было легче ориентироваться в вашем Новом мире. Если вы устанете от моих подсказок (это меня не обидит), просто нажмите на мой портрет, чтобы вызвать меня, а затем выберите Выключить сопровождение, и я исчезну. "	"Добро пожаловать на Изумрудный остров! Я буду вашим гидом здесь. Я буду появляться время от времени и рассказывать о том, что вы увидите, чтобы вам было легче ориентироваться в вашем Новом мире. Если вы устанете от моих подсказок (это меня не обидит), просто нажмите на мой портрет, чтобы вызвать меня, а затем выберите Выключить сопровождение, и я исчезну. "	Welcome Sign	Docent cheat
19	"Мастерская неподалёку от вас - это кузница. Обычно в кузницах продаётся только оружие. Но в этой кузнице можно купить самые разные виды оружия, некоторые из них обладают магическими свойствами. Кроме того, вы можете продать здесь оружие, но пока у вас не будет высоких торговых навыков, вы не получите за него хорошей цены. Чтобы войти, просто нажмите на входную дверь."	"Мастерская неподалёку от вас - это кузница. Обычно в кузницах продаётся только оружие. Но в этой кузнице можно купить самые разные виды оружия, некоторые из них обладают магическими свойствами. Кроме того, вы можете продать здесь оружие, но пока у вас не будет высоких торговых навыков, вы не получите за него хорошей цены. Чтобы войти, просто нажмите на входную дверь."	Blacksmith	Docent cheat
20	"Западная дверь ведёт в местную таверну. В таверне можно спокойно переночевать и прикупить продуктов, если вы хотите заночевать под открытым небом. В тавернах часто можно встретить интересных людей или послушать местные слухи, если вы ищете, чем заняться. Чтобы войти в таверну, просто нажмите на входную дверь."	"Западная дверь ведёт в местную таверну. В таверне можно спокойно переночевать и прикупить продуктов, если вы хотите заночевать под открытым небом. В тавернах часто можно встретить интересных людей или послушать местные слухи, если вы ищете, чем заняться. Чтобы войти в таверну, просто нажмите на входную дверь."	Tavern	Docent cheat
21	"В этой мастерской делают доспехи. Оружейник продаёт только шлемы, щиты и доспехи, но он купит почти всё, что только можно носить, если вам не хочется делать лишнюю остановку в волшебной лавке. Помните, что для ношения кожаных, кольчужных или пластинчатых доспехов, а также для пользования щитом герой должен иметь соответствующий навык."	"В этой мастерской делают доспехи. Оружейник продаёт только шлемы, щиты и доспехи, но он купит почти всё, что только можно носить, если вам не хочется делать лишнюю остановку в волшебной лавке. Помните, что для ношения кожаных, кольчужных или пластинчатых доспехов, а также для пользования щитом герой должен иметь соответствующий навык."	Armor Shop	Docent cheat
22	"Это - частный дом Кэролин Витерс. Кэролин зарабатывает себе на жизнь продажей членства в гильдии магов начинающим чародеям и другим заклинателям. Она с радостью примет вас в члены местных гильдий Воздуха и Огня за небольшую плату. Если не хотите становиться членом той или иной гильдии, можете не вступать в неё. Но помните, что покупка заклинаний и освоение навыков в гильдии доступны лишь её членам. "	"Это - частный дом Кэролин Витерс. Кэролин зарабатывает себе на жизнь продажей членства в гильдии магов начинающим чародеям и другим заклинателям. Она с радостью примет вас в члены местных гильдий Воздуха и Огня за небольшую плату. Если не хотите становиться членом той или иной гильдии, можете не вступать в неё. Но помните, что покупка заклинаний и освоение навыков в гильдии доступны лишь её членам. "	Carolyn's place	Docent cheat
23	"Это - частный дом. Его владелец - Роджер - продаёт здесь членство в гильдиях Духа и Тела. Цена не высока, но её придётся заплатить, если вы хотите пользоваться услугами гильдии, включая продажу заклинаний и обучение навыкам. Кстати, если вам надоели мои подсказки, вы можете выключить их, нажав сначала на мой портрет, а затем выбрав пункт Выключить сопровождение."	"Это - частный дом. Его владелец - Роджер - продаёт здесь членство в гильдиях Духа и Тела. Цена не высока, но её придётся заплатить, если вы хотите пользоваться услугами гильдии, включая продажу заклинаний и обучение навыкам. Кстати, если вам надоели мои подсказки, вы можете выключить их, нажав сначала на мой портрет, а затем выбрав пункт Выключить сопровождение."	Roger's house	Docent cheat
24	"Эта дверь ведёт в учебный центр Изумрудного острова. Если у вас достаточно опыта (полученного при уничтожении монстров и проведении поисков), вы можете зайти сюда, чтобы повысить уровни своих героев. При получении нового уровня вы также получаете несколько очков навыка, которые можно потратить на повышение ваших навыков. Очки навыков можно потратить только на улучшение навыков, которыми ваш герой уже владеет. Для изучения новых навыков попробуйте обойти различные предприятия в городе и узнать, не обучают ли там навыкам, которые вас интересуют."	"Эта дверь ведёт в учебный центр Изумрудного острова. Если у вас достаточно опыта (полученного при уничтожении монстров и проведении поисков), вы можете зайти сюда, чтобы повысить уровни своих героев. При получении нового уровня вы также получаете несколько очков навыка, которые можно потратить на повышение ваших навыков. Очки навыков можно потратить только на улучшение навыков, которыми ваш герой уже владеет. Для изучения новых навыков попробуйте обойти различные предприятия в городе и узнать, не обучают ли там навыкам, которые вас интересуют."	Training grounds	Docent cheat
25	"В этом шатре живёт городской знахарь. За деньги вы можете вылечить любых героев - даже оживить тех, кто уже мёртв. Узнать, нуждается ли герой в лечении, можно по зелёной шкале слева от его портрета. Чем меньше показания шкалы, тем больше урон, который получил герой. Имейте ввиду, что вовсе не обязательно лечиться у знахаря, - любой обычный урон и все очки магии будут восстановлены, если герой выспится ночью. "	"В этом шатре живёт городской знахарь. За деньги вы можете вылечить любых героев - даже оживить тех, кто уже мёртв. Узнать, нуждается ли герой в лечении, можно по зелёной шкале слева от его портрета. Чем меньше показания шкалы, тем больше урон, который получил герой. Имейте ввиду, что вовсе не обязательно лечиться у знахаря, - любой обычный урон и все очки магии будут восстановлены, если герой выспится ночью. "	Healer's tent	Docent cheat
26	"Этот колодец имеет магическое свойство: тому, кто напьётся из него, он даёт мощное заклинание устойчивости к Огню. Чтобы герой напился из колодца, просто выберите того или иного персонажа, а затем нажмите на колодец. Подобных колодцев в игре много. Просмотреть список колодцев, из которых вы пытались напиться с начала игры, можно в автозаписях, в разделе Фонтаны. Действие этого колодца сохранится до первого отдыха, но помните, что разные колодцы могут иметь разное воздействие."	"Этот колодец имеет магическое свойство: тому, кто напьётся из него, он даёт мощное заклинание устойчивости к Огню. Чтобы герой напился из колодца, просто выберите того или иного персонажа, а затем нажмите на колодец. Подобных колодцев в игре много. Просмотреть список колодцев, из которых вы пытались напиться с начала игры, можно в автозаписях, в разделе Фонтаны. Действие этого колодца сохранится до первого отдыха, но помните, что разные колодцы могут иметь разное воздействие."	Well of Fire Resistance	Docent cheat
27	"Вы стоите перед домом, в котором Лорд Мархэм устроил свою временную резиденцию на Изумрудном острове. Лорд Мархэм - благотворитель, предоставивший призы для победителей состязания, которое вы, несомненно, стремитесь выиграть. Судья состязания тоже там, внутри. Чтобы вам засчитали принесенные предметы, необходимо обратиться к нему."	"Вы стоите перед домом, в котором Лорд Мархэм устроил свою временную резиденцию на Изумрудном острове. Лорд Мархэм - благотворитель, предоставивший призы для победителей состязания, которое вы, несомненно, стремитесь выиграть. Судья состязания тоже там, внутри. Чтобы вам засчитали принесенные предметы, необходимо обратиться к нему."	Markham's headquarters	Docent cheat
28	"Через восточную дверь можно попасть в Гильдию Духа. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Духа, вам нужно сначала пойти к Роджеру, который живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Духа, должен иметь навык в магии Духа."	"Через восточную дверь можно попасть в Гильдию Духа. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Духа, вам нужно сначала пойти к Роджеру, который живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Духа, должен иметь навык в магии Духа."	Spirit Guild	Docent cheat
29	"По ту сторону этой двери - Гильдия Воздуха. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Воздуха, вы должны сначала отправиться к Кэролин и заплатить за членство. Её дом находится недалеко отсюда, на юго-востоке. Помните также, что герой, желающий научиться заклинанию Воздуха, должен иметь навык в магии Воздуха."	"По ту сторону этой двери - Гильдия Воздуха. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Воздуха, вы должны сначала отправиться к Кэролин и заплатить за членство. Её дом находится недалеко отсюда, на юго-востоке. Помните также, что герой, желающий научиться заклинанию Воздуха, должен иметь навык в магии Воздуха."	Air Guild	Docent cheat
30	"В этом здании вы найдёте городского Алхимика. Алхимик продаёт снадобья и ингредиенты для их изготовления. Кроме того, персонажи могут научиться здесь навыкам Алхимии. Чтобы готовить даже простейшие снадобья, вы должны иметь навык алхимика. Для приготовления зелья нужно открыть меню снаряжения героя, выбрать тот или иной ингредиент, а затем правой кнопкой нажать на пустую бутылку для снадобий. Таким же образом можно смешивать два снадобья в одно. Алхимики знают, что некоторые смеси могут давать те или иные результаты, но все подробности хранятся в секрете. Вам придётся выяснить всё самостоятельно. Осторожно: некоторые смеси взрывоопасны!"	"В этом здании вы найдёте городского Алхимика. Алхимик продаёт снадобья и ингредиенты для их изготовления. Кроме того, персонажи могут научиться здесь навыкам Алхимии. Чтобы готовить даже простейшие снадобья, вы должны иметь навык алхимика. Для приготовления зелья нужно открыть меню снаряжения героя, выбрать тот или иной ингредиент, а затем правой кнопкой нажать на пустую бутылку для снадобий. Таким же образом можно смешивать два снадобья в одно. Алхимики знают, что некоторые смеси могут давать те или иные результаты, но все подробности хранятся в секрете. Вам придётся выяснить всё самостоятельно. Осторожно: некоторые смеси взрывоопасны!"	Alchemist	Docent cheat
31	"Эта дверь ведёт в Гильдию Тела. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Тела, вам нужно сначала пойти к Роджеру, который живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Тела, должен иметь навык в магии Тела. "	"Эта дверь ведёт в Гильдию Тела. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Тела, вам нужно сначала пойти к Роджеру, который живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Тела, должен иметь навык в магии Тела."	Body Guild	Docent cheat
32	Вы нашли волшебную лавку. Это любимый магазин каждого настоящего искателя приключений. Здесь вы можете покупать и продавать любые магические предметы, кроме магического оружия и доспехов. 	Вы нашли волшебную лавку. Это любимый магазин каждого настоящего искателя приключений. Здесь вы можете покупать и продавать любые магические предметы, кроме магического оружия и доспехов. 	Magic Shop	Docent cheat
33	"В этом здании вы найдёте гильдию Огня. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Огня, вам нужно сначала пойти к Кэролин, которая живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Огня, должен иметь навык в магии Огня. "	"В этом здании вы найдёте гильдию Огня. Чтобы пользоваться услугами гильдии, включая покупку заклинаний и обучение навыкам, вы должны быть её членом. Чтобы стать членом Гильдии Огня, вам нужно сначала пойти к Кэролин, которая живёт недалеко отсюда, на юго-востоке, и заплатить за членство. Помните также, что герой, желающий выучить заклинание Огня, должен иметь навык в магии Огня."	Fire Guild	Docent cheat
34	Будьте осторожны! Часть острова, в которую вы собираетесь отправиться, заполонили стрекозавры. Они довольно опасны! Лорд Мархэм не несёт ответственности, если вы получите увечья или даже погибнете, путешествуя по этой части острова. Вас предупредили!	Будьте осторожны! Часть острова, в которую вы собираетесь отправиться, заполонили стрекозавры. Они довольно опасны! Лорд Мархэм не несёт ответственности, если вы получите увечья или даже погибнете, путешествуя по этой части острова. Вас предупредили!	Dragonflies	Docent cheat
35	"Хм... Пожалуй, не стоит соваться в эту пещеру. В ней живёт жуткий дракон, и мало кто возвращался оттуда живым. Если вы и вправду хотите войти, просто нажмите на заднюю стену пещеры..."	"Хм... Пожалуй, не стоит соваться в эту пещеру. В ней живёт жуткий дракон, и мало кто возвращался оттуда живым. Если вы и вправду хотите войти, просто нажмите на заднюю стену пещеры..."	Fire Dragon Cave	Docent cheat
36	"Это вход в старый Храм Луны. Он заражён мелкими паразитами, которые больно кусаются, но не слишком опасны. Внутри вполне могут находиться предметы, которые ищут участники гонки, так что, возможно, вам будет интересно заглянуть сюда. Чтобы войти, просто нажмите на заднюю стену этой пещеры."	"Это вход в старый Храм Луны. Он заражён мелкими паразитами, которые больно кусаются, но не слишком опасны. Внутри вполне могут находиться предметы, которые ищут участники гонки, так что, возможно, вам будет интересно заглянуть сюда. Чтобы войти, просто нажмите на заднюю стену этой пещеры."	Temple of the Moon	Docent cheat
37	"Меня зовут Билл Ласкер, я Мастер Вор. [Одной рукой Билл делает быстрый жест, показывая на всю канализацию.] Я - бесспорный правитель всех окрестностей и знаю обо всём, что происходит в моём могучем царстве. Я к вашим услугам."	"Добро пожаловать к нам снова. Вы пришли по делу или просто поговорить? С радостью помогу и в том, и в другом случае."	Normal	William Lasker
38	"Меня зовут Билл Ласкер, я Мастер Вор. Я правлю этим подземным миром и отвечаю за благополучие воров, живущих здесь. Вы убиваете моих подданных. Я сразился бы с вами, но боюсь, ваши союзники разобьют меня. Поэтому я согласен иметь с вами дело, но прошу высокую цену. Что вам угодно?"	"[сплёвывает на землю] Здорово, ворюга. Что вам угодно?"	Killed Thieves	William Lasker
39	"Здорово, разбойники! Чем могу помочь?"	"Здорово, разбойники! Чем могу помочь?"	Spy	William Lasker
40	"Здравствуйте. Я - Секнит Андершадоу, Мастер Наёмный убийца полицейской службы Гильдии некромантов. Рад встрече с вами. Не хотите ли чашку чая?"	"Добро пожаловать, друзья. Как идут дела сегодня? На этот раз вы непременно должны отведать моего чая."	Tea no (normal)	Seknit Undershadow
41	"Добро пожаловать, друзья. Надеюсь, у вас всё нормально. Как насчёт выпить чайку?"	"Добро пожаловать, друзья. Надеюсь, у вас всё нормально. Как насчёт выпить чайку?"	Tea yes	Seknit Undershadow
42	"Здравствуйте ещё раз, друзья-убийцы. Всегда можете рассчитывать на мой чай и моё общество."	"Здравствуйте ещё раз, друзья-убийцы. Всегда можете рассчитывать на мой чай и моё общество."	Assassin	Seknit Undershadow
43	"Привет! Я - сэр Чарльз Кихот. Я - скромный защитник рода людского и я в вашем распоряжении."	"Рад встрече, друзья. Как идёт борьба с силами зла?"	Normal	Sir Charles Quixote
44	Почему мы впустую тратим время? Возможно, сейчас этот монстр рушит сёла и города. Э-ге-гей, вперёд!	Почему мы впустую тратим время? Возможно, сейчас этот монстр рушит сёла и города. Э-ге-гей, вперёд!	Crusader Quest	Sir Charles Quixote
45	Почему мы медлим и не спасаем Алису? Кто знает, что этот злодей намерен сделать с невинной девушкой?! Давайте перейдём от слов к делу и отправимся спасать несчастную девушку!	Почему мы медлим и не спасаем Алису? Кто знает, что этот злодей намерен сделать с невинной девушкой?! Давайте перейдём от слов к делу и отправимся спасать несчастную девушку!	Hero Quest	Sir Charles Quixote
46	Приветствую вас, герои! Уверен, у вас множество дел и некогда попусту терять время. 	Приветствую вас, герои! Уверен, у вас множество дел и некогда попусту терять время. 	Hero	Sir Charles Quixote
47	Эй! Вы не похожи на обычных подданных Вильяма.	Я просто хочу домой. 	Good	Alice Hargreaves
48	Эй! Мне кажется, мы раньше не встречались. 	Чего вы хотите от меня?	Evil	Alice Hargreaves
49	"Добрый день. Вильям Сетаг, редкостный Злодей, к вашим услугам! Рад познакомиться с вами!"	Рад снова видеть вас. Чем могу помочь? 	Normal	William Setag
50	Злодеи! Добро пожаловать! Мои злодейские друзья так редко меня навещают.	Злодеи! Добро пожаловать! Мои злодейские друзья так редко меня навещают.	Villain	William Setag
51	"Здравствуйте! Я - Варфоломей Хьюм, магистр этого монастыря. Могу ли я чем-то помочь вам?"	"Здравствуйте ещё раз! Вам что-то понадобилось?"	Normal	Bartholomew Hume
52	"Коллеги-мастера! Как я рад вас видеть. Чем могу помочь вам?"	"Ещё раз здравствуйте, магистры! Чем может Варфоломей помочь вам?"	Master	Bartholomew Hume
53	"Здравствуйте, ученики! Я вижу, вы нашли ту самую усыпальницу."	"Здравствуйте, ученики! Я вижу, вы нашли ту самую усыпальницу."	Dungeon event greeting	Bartholomew Hume
54	"Я - Стефан Сэнд, магистр... агрессивной стороны дисциплинированной жизни. Когда-то я был простым монахом, но сейчас я - нечто большее. "	Здравствуйте ещё раз. Скажите мне, чего вы желаете. 	Normal	Stephan Sand
55	"Теперь, когда вы достигли высокого звания ниндзя, мне нечему вас больше учить. Надеюсь, мои уроки помогут вам достичь больших высот. "	"Теперь, когда вы достигли высокого звания ниндзя, мне нечему вас больше учить. Надеюсь, мои уроки помогут вам достичь больших высот. "	Ninja	Stephan Sand
56	"Как дела? [Лоуренс низко кланяется] Я мастер Марк, чемпион по стрельбе из лука. Последние 4 года я был победителем ежегодного турнира АвЛи. Но что я всё о себе. Расскажите лучше вы. "	Мы снова встретились. Вам что-нибудь нужно?	Normal	Lawrence Mark
57	"Добро пожаловать, друзья! У вас хорошее оружие, но даже не думайте победить меня в турнире этого года, ведь я мастер!"	"Добро пожаловать, друзья! У вас хорошее оружие, но даже не думайте победить меня в турнире этого года, ведь я мастер!"	Master Archer	Lawrence Mark
58	"Добро пожаловать. [Господин Сник говорит почти шёпотом. У основания его шеи виден небольшой белый шрам.] Вы пришли обучаться?"	"У вас есть достаточные причины... [Сник говорит с хрипом] ...беспокоить меня, я надеюсь?"	Normal	Steagal Snick
59	" Ученики... [Господин Сник произносит с хрипотцой, затем улыбается] бывшие. Я горжусь тем, что помог вам стать тем, кто вы есть теперь. Пользуйтесь своим оружием [тяжело дышит] с умом."	" Ученики... [Господин Сник произносит с хрипотцой, затем улыбается] бывшие. Я горжусь тем, что помог вам стать тем, кто вы есть теперь. Пользуйтесь своим оружием [тяжело дышит] с умом."	Sniper	Steagal Snick
60	"Какая встреча! [Леда достаёт клинок и резко рассекает воздух] Вы пришли сразиться или научиться? В любом случае, [она заканчивает движение рыцарским приветствием] я рада сделать одолжение!"	"Привет! Какая встреча! [Леда расплывается в улыбке и качает головой] Мне нравится говорить это! Итак. Чем могу помочь вам сегодня? "	Normal	Leda Rowan
61	"Приветствую, чемпионы! О вашей храбрости и умениях идёт молва по всему королевству. Я очень горжусь вами. "	"Приветствую, чемпионы! О вашей храбрости и умениях идёт молва по всему королевству. Я очень горжусь вами. "	Champion	Leda Rowan
62	"Итак! Вы хотите научиться сражаться? Тогда вы пришли по верному адресу. По крайней мере, те из вас, кто носит звание рыцаря. Если вы не рыцарь, то мои уроки тоже будут полезны, но не в такой степени."	"Вернулся, чтобы ещё поучиться, сынок?"	Normal	Frederick Og
63	"[Фредерик поспешно встаёт] Стой, кто идёт? [он моргает и протирает глаза] Ой. Это вы. Извините, чуть не обознался. Как идут злодеяния?"	"[Фредерик поспешно встаёт] Стой, кто идёт? [он моргает и протирает глаза] Ой. Это вы. Извините, чуть не обознался. Как идут злодеяния?"	Black Knight	Frederick Og
64	"[Лисандр снимает шляпу и низко кланяется] Моё почтение! Я - Лисандр Свит, занимаюсь повышением Охотников в Рейнджеры. У меня есть одно задание, для которого вы, по-моему, годитесь. Оно будет для вас хорошим уроком."	"Правители Хармондейла вернулись! Это честь для меня. Чем могу служить, о лорды?"	Normal	Lysander Sweet
65	"Ваша замечательная работа пошла на пользу лесу. И, как я вижу, вы при этом тоже набрались опыта. Продолжайте пожинать плоды своих добрых дел, друзья!"	"Ваша замечательная работа пошла на пользу лесу. И, как я вижу, вы при этом тоже набрались опыта. Продолжайте пожинать плоды своих добрых дел, друзья!"	Ranger Lord	Lysander Sweet
66	"Гммм. Давайте поживее! Вы похожи на бездельников. Нет ничего хуже этого. Знаете, когда я был мальчишкой, мои наставники терпеть не могли, когда кто-то слонялся без дела. И лентяев тоже. [Эбеднизер смотрит с подозрением и наклоняется к вам] Но ведь вы не такой? Лентяи? Я не разговариваю с лентяями. "	Время! Все транжирят моё время! [Эбеднизер некоторое время что-то бормочет] Вы всё ещё здесь? 	Normal	Ebednezer Sour
67	"Охотники за головами. [Эбеднизер медленно и недобро смеётся] Есть для вас работёнка! Так точно! Сделайте всё, как надо, и быстро. Ну же. "	"Охотники за головами. [Эбеднизер медленно и недобро смеётся] Есть для вас работёнка! Так точно! Сделайте всё, как надо, и по-быстрому. Ну же. "	Bounty Hunter	Ebednezer Sour
68	"[маленький король кланяется] Добро пожаловать в мои владения, смертные! Мало кто доходит до нужной двери, хвалю, что вы смогли. Но теперь, когда вы стоите на пороге королевства Фей, знайте, что из тех, кто отважился войти сюда, мало кто вышел обратно. "	"Смертные! Вы смогли найти дорогу сюда, но сможете ли запомнить дорогу обратно? [король смеётся] Дорога извилиста и путь опасен! Лучше останьтесь и пируйте с нами! Века проходят, словно выходные, когда ничего не делаешь."	Normal	Faerie King
69	"А, путники. [Дерево говорит очень медленно] Как. Ваши. Дела. Сегодня? Наши деревья сильно взволнованы. И сердиты. Сердце леса было похищено двуногими. Они будут платить кровью, пока не вернут нам Сердце. "	"Вы из тех двуногих, с которыми я только что говорил? Для меня вы все на одно лицо. Но поговорить всё равно неплохо. У вас есть время? Давайте. Я. Расскажу. О моих. Предках. [Дерево радостно вздыхает] Зелёная почка. Которая. Породила. Ствол. Который. Породил. Три ветки. Которые породили [И всё такое прочее...]"	Normal	Oldest Tree
70	Деревья говорят, что двуногие хотят вернуть нам Сердце. Надеюсь, они так и поступят. Двуногие забирают себе так много. 	"Вы из тех двуногих, с которыми я только что говорил? Для меня вы все на одно лицо. Но поговорить всё равно неплохо. У вас есть время? Давайте. Я. Расскажу. О моих. Предках. [Дерево радостно вздыхает] Зелёная почка. Которая. Породила. Ствол. Который. Породил. Три ветки. Которые породили [И всё такое прочее...]"	On the Ranger Lord quest	Oldest Tree
71	"Охххххх... Это двуногие с Юга. Я помню вас! Вы вернули нам Сердце. Деревья очень счастливы и обещают больше не убивать двуногих. В любое время можете приходить ко мне поговорить."	"Охххххх... Это двуногие с Юга. Я помню вас! Вы вернули нам Сердце. Деревья очень счастливы и обещают больше не убивать двуногих. В любое время можете приходить ко мне поговорить."	Finished the Heart quest	Oldest Tree
72	"[Верховная жрица Дивайн улыбается и склоняет голову] Да озарит вас солнца свет, о лорды. Чем могу помочь? "	"[Верховная жрица Дивайн улыбается и склоняет голову] Да озарит вас солнца свет, о лорды. Чем могу помочь? "	Normal	Rebecca Devine
73	"Да озарит вас солнца свет, коллеги. Я так горжусь тем, что мы с вами одной веры!"	"Да озарит вас солнца свет, коллеги. Всегда счастлива видеть вас!"	Priest of Light	Rebecca Devine
74	"[Верховный жрец Фальк кланяется и складывает руки вместе] Да сокроет вас тьма, лорды. Чем могу быть полезен?"	"[Верховный жрец Фальк кланяется и складывает руки вместе] Да сокроет вас тьма, лорды. Чем могу быть полезен?"	Normal	Daedalus Falk
75	"Да сокроет вас тьма, братья. Поздравляю с получением звания Священников Тьмы."	"Да сокроет вас тьма, братья. Можете всегда рассчитывать на меня."	Priest of Dark	Daedalus Falk
76	"Томас Грэй, к вашим услугам! [Чародей быстро кланяется и с улыбкой разводит руками] "	"[Томас Грей улыбается особенной полуулыбкой и скрещивает руки на груди] Я по-прежнему к вашим услугам, лорды!"	Normal	Thomas Grey
77	Коллеги-Архимаги. Мало кто может достичь нашего уровня. Поздравляю!	"Для меня честь оказаться с вами рядом, о лорды!"	Archmage	Thomas Grey
78	"[Прежде, чем начать говорить, Лич некоторое время внимательно смотрит на вас] Кто посмел побеспокоить меня? Повелители земных существ? Хм. Теперь, когда вы вошли в дверь смерти, ваше положение ничего не значит."	Для чего вы побеспокоили меня? [На миг в глазах Лича вспыхивают адские красные огоньки] 	Normal	Halfgild Wynac
79	Смерть... [Хриплый голос Лича дрожит] кажется не такой уж плохой, когда она случится с тобой разок-другой. Жизнь всегда причиняла мне больше боли, чем смерть. Вы довольны своим новым положением?	Для чего вы побеспокоили меня? [На миг в глазах Лича вспыхивают адские красные огоньки] 	Lich	Halfgild Wynac
80	"Хорошая погода, не правда ли ? Наше счастье, что мы живём в таком климате и молимся таким добрым богам. Давно ли вы молились?"	"Пусть вам сопутствует удача, лорды. Вы просили моего совета сегодня?"	Normal	Anthony Green
81	После того, как вы храбро похоронили мертвых, мне приятно предложить вам пройти Обряд Вознесения. В этом мире дышится легче после того, как вы помогли ему.	"Пусть вам сопутствует удача, лорды. Вы просили моего совета сегодня?"	Arch Druid	Anthony Green
82	"Чужестранные лорды! Как интересно! Мой фамилиар сказал мне, что почувствовал запах заморских земель, исходящий от вас. Меня зовут Тор Анвин, я глава чернокнижников Нигона, хотя и не правитель. Этот титул носит другой. Рад встрече с вами! "	"Это большая радость и удовольствие для меня, лорды! Вы пришли по делу или поговорить? "	Normal	Tor Anwyn
83	Поздравляю с получением звания Чернокнижника! Мало кто способен пройти испытание и найти нужных знакомых. Я рад, что вам удалось это сделать.	"Это большая радость и удовольствие для меня, лорды! Вы пришли по делу или поговорить? "	Warlock	Tor Anwyn
84	"Я к вашим услугам, магистр."	"Я к вашим услугам, магистр."	Possible Golem explanation	Golem
