Item#	message text	Location	Item Name
710	"
...изучение игры АркоМэйдж привело к следующим наблюдениям:

Выбор успеха в игре должен основываться на условиях победы.  Если башни начинают с малого, у вас есть отличный шанс разрушить башню противника.  Если башни или стены начинают с большего, вы должны сконцентрироваться на собственной башне.  Если башни или стены начинают с большего, а вам для победы необходима огромная башня, можно более легко выиграть за счёт ресурсов

Также примите к сведению, что красные карты стремятся сфокусироваться на ваших стенах, синие - на башнях, а зеленые - на вашей защите. Имейте это ввиду, решая, что развивать: каменоломни, магию или зверинцы.

Я ЗАМЕТИЛ общую закономерность в образе мышления большинства игроков в АркоМэйдж, которая приводит к критической ситуации, если они начинают играть синими картами. Вы можете возразить, что..."	"Пещеры Белого утеса недалеко от карт и скелета"	Остатки дневника
711	"
Примечания писаря (допрос Селджина, день третий)
8 июня 1120 г.

Следователь:  Давайте снова вернемся к этому, хорошо? Вчера вы сказали, что могила находится в Бракаде. Несколько моих людей были убиты големами, когда проводили поиски в том месте, на которое вы указали. Я думал, что мы наконец-то решили сотрудничать. Сейчас я вижу, что вы меня обманули.

Селджин:  Нет... Не обманул... Границы меняются...

Следователь:  Вот как! Они изменились в прошлом году! Примените орудия!

Следователь:  Хорошо, подлечите и верните его в сознание. (пауза). Я ваш друг.  Я могу остановить боль.  Скажите, где находится Усыпальница Мастера.

Селджин:  Эрафия! Южная Эрафия! 

Следователь:  Гмм... Звучит гораздо лучше. Примените орудия ещё раз, чтобы полностью убедиться.  (пауза) Хорошо, еще раз подлечите и поднимите его.  Я ваш друг.  Я могу остановить боль.  Скажите мне правду. Где находится Усыпальница Мастера?

Селджин:  Я сказал вам! Ну, пожалуйста! Южная... Южная Эрафия! 

Следователь:  Хорошо.  Это меняет дело, парни.  Верните заключенного в камеру и за дело!

  "	Камера пыток Замка Хармондейл	Выдержки из дневника
712	"
Весы

Катерина и Эьлдрих никогда не поймут нашего веселья по поводу их разногласий вокруг Хармондейла.  Продолжайте пожинать плоды успеха в их войне.  В конце концов они не смогут противостоять нам. 

-Арчибальд"	Послание от Арчибальда Послу Зла	Письмо от Арчибальда
713	"
Найлз,

Полагаю, я нашел группу искателей приключений, отвечающих твоим требованиям.  У них есть некоторые способности, но они очень наивны.  Постараюсь приложить все усилия, чтобы они приняли наше покровительство.  Уверен, что однажды обманув, мы можем использовать это покровительство для достижения наших целей.  Если они не захотят отплатить нам за это покровительство, мы всегда сможем принять меры к организации несчастного случая, который произойдет с ними.

Будем надеяться, что эта группа отвечает твоим требованиям и ты найдешь способ, как сдвинуть эту скалу! С нетерпением жду, когда покину этот проклятый остров.

-Мальвик"	Гильдия наёмников	Письмо от Мальвика
714	"
Посол Райт,

Очень важно, чтобы вы поговорили с новыми Властителями Хармондейла.  Выражаю надежду, что они положат конец этой глупости между Королевой Катериной и Королем Эльдрихом. Лорен Стил, доставивший это послание, может посвятить вас в дальнейшие детали. Если война будет продолжаться, это только послужит усилению позиции Арчибальда.

Гэвин Магнус 
Правящий чародей"	Тулареанские пещеры	Письмо от Гэвина Магнуса
715	"
 ...наш первый день с тех пор, как мы достигли Изумрудного острова. 

К нам подходил чужак по имени Мальвик. Его предложение показалось странным, повод для дальнейших размышлений.  Мы отказали ему.  Как только мы вышли и направились к северо-восточной части острова, он рассмеялся и крикнул, что знает, что не увидит нас снова."	Пещера Дракона на Изумрудном острове	Фрагмент дневника
716	"
-Хейрбау

Зажги сигнальные костры, когда убедишься, что люди достаточно слабы.  Мы прибудем в течение дня после твоих сигналов!  Не предай меня снова!  Ты должен отбросить личные интересы, если хочешь выжить в моем племени.

Грогнард Великий!"	Замок Хармондейл, очевидно, или раскрыт или находится под властью гоблинов	Письмо Хейрбау
717	"
Уважаемый господин Мальвик,

В течение некоторого времени от Вас не было никаких известий.  Надеюсь, что данное письмо застанет Вас в полном здравии.  Вы намеревались отправлять нам регулярные сообщения с тем, чтобы к указанной дате мы могли выступить в поход.  Важно, чтобы Вы подобрали нужных людей.  С Мархэмом нужно вести себя правильно... и тогда Хармондейл будет нашим.

Я уверен, что покончив с этим, мы сможем договориться о том, что мы в расчете.

- Найлз"	Эрафийская канализация	Письмо от г-на Стэнтли
718	"
Запись в Дневнике 23 апреля 1058 г.

Пусть Солнце осветит мой путь и ведет меня в этот день.

Сегодня мы получили известие, что из Храма Луны в Нигон направляется вооруженная группа. Было решено, что я поведу некоторых из моих братьев в попытке пресечь те низкие деяния, которые они запланировали.  Пусть Солнце светит нам и прекратит эту войну как можно скорее.  Сражение на севере разделило территорию Бракады.  Если мы продолжим эту войну, мы можем разрушить землю, которую пытаемся спасти..."	Великий Храм Солнца	"Запись в дневнике от 23 апреля"
719	"
Запись в Дневнике 30 апреля 1059 г.

Пусть Солнце озарит правду и изгонит тьму.

Круг Камней здесь в Нигоне больше не существует.  Пытаясь остановить последователей Луны, мы пришли к полному разрушению того, что были посланы защищать. Осталось только несколько братьев.  Мы предпримем попытку вернуться в Великий Храм Солнца.  Если этот дневник будет найден, это означает, что мы потерпели неудачу.  Надеюсь, что те, кто прочтет это, поймут, что мы не помышляли о зле.  Мы только стремились защитить.  Пусть Солнце укажет нам путь во тьме..."	Нигон в сердце	"Запись в дневнике от 30 июня"
720	"
... наконец смог избавиться от этой проклятой страны.  У меня достаточно проблем, - я конечно не нуждаюсь в том, чтобы они еще осложнялись вековым конфликтом между эльфами и людьми.  К счастью, мой план работает, как надо; эта маленькая группа приняла территорию, на которую у меня не хватало денег заплатить, чтобы ее кто-нибудь взял.  Сейчас все, что осталось, - это обеспечить мое положение в Кар..."	Поместье Лорда Мархэма	Выдержка из дневника
721	"
Велатир,

Наш поход был вполне успешным; наше положение позволяет выбрать два маршрута, из Эрафии в Дейю и из Эрафии в Хармондейл.  Мы поступили так, как предложил ты, и осуществляем нашу деятельность достаточно далеко, чтобы избежать прямого вторжения со стороны эрафийских сил.  К тому же, наша пещера достаточно укрыта, чтобы быть случайно обнаруженной.  Твоя доля уже готова и вскоре будет тебе отправлена.

Лаэрат"	Пещера бандитов	Письмо
722	"
Запись в дневнике 11 декабря 1059 г.

Пусть Солнце разгонит тьму и обнажит правду

Мы направились к Курганам.  Все изменилось.  Здесь повсюду призраки и гоги.  Ночью брат Петр был кем-то схвачен.  Кажется, будто Курганы выпустили свое зло наружу. Брат Кристиан и я предпринимаем попытки добраться до дворца, который, насколько я знаю, расположен на западе.  Остались только он и я.  Пусть Солнце укажет нам путь..."	Курганы	"Запись в дневнике от 11 декабря"
723	"
Капитан Харрет,

Хотя мы не ожидаем прямой угрозы со стороны Дейи или со стороны эльфов, я бы хотел, чтобы вы постоянно следили за деятельностью бандитов.  Подозреваю, что бандиты гораздо более организованны, чем кажутся на самом деле.  Уничтожайте их, не колеблясь, но не ослабляйте чрезмерно защиту Форта.

Генерал Даггерсон"	Форт Риверстрайд	Приказы из Стедвика
724	"
Запись в дневнике 2 января 1057 г.

Солнце направляет мои стопы по дороге к истине

Я был послан Великим Храмом в поход на Таталию.  Мы надеемся усилить свою веру и повысить свой статус.  Последователи Луны действуют согласно какому-то грандиозному плану. Пусть Солнце остановит их в их невежестве..."	Таталия	"Запись в дневнике, 2 января"
725	"
Запись в дневнике 19 сентября 1057 г.

Солнце ведет меня и защищает от фальши

Я прибыл в Дейю, чтобы самому увидеть отвратительные последствия деяний Некромантов.  Ходят слухи, что они работали вместе с последователями Луны.  Это невозможно, так как их совместные усилия нельзя было бы остановить.  Пусть Солнце выведет меня из тьмы..."	Дейя	"Запись в дневнике. 19 сентября"
726	"
...идут хорошо.  Мы нашли хорошее место для подъемного двигателя рядом с постоянным источником паровой энергии.  При должном уходе двигатель будет работать вечно.  Металл, который мы обнаружили на нижних уровнях, гораздо лучше по качеству, чем наверху; хотя мы не видели драгоценных камней или цветных металлов.  Надеюсь, завтрашние раскопки будут успешнее.

12 августа 1167 г.

Мы пробились в место, которое казалось естественной пещерой, и обнаружили ужасных существ с телом змеи и торсом женщины.  Пристального взгляда этих существ было достаточно, чтобы превратить наших рудокопов в камень.  Остальные убежали, а Дратен Келдин, наш инженер, отстал, чтобы вывести подъемник из строя.  Я не уверен, где сущес..."	Копи красных гномов	Запись в дневнике
727	Missing Scroll Text 727		Пустой свиток
728	"
Купчая
Кому: Шмендрик
От:  Фабрика Големов

В соответствии с вашим указанием мы изготовили части голема.  К сожалению, наша служба доставки перепутала части, которые предназначались для вас.  Мы не несем ответственности за ошибки, допущенные службой доставки.  Однако нам известно, куда были доставлены ваши части и при наличии свободного времени вы можете их забрать.

Одна часть была доставлена в Курганы.
Одна часть доставлена в Таталию.
Одна часть доставлена в АвЛи.
Две части доставлены в Дейю.
Две головы доставлены в Бракаду (так как мы не знали точно, какая модель для вас предпочтительнее)"	Ящик с головой Эбби в пустыню Бракада	Купчая
729	Missing Scroll Text 729		Пустой свиток
730	Missing Scroll Text 730		Пустой свиток
731	Missing Scroll Text 731		Пустой свиток
732	Missing Scroll Text 732		Пустой свиток
733	Missing Scroll Text 733		Пустой свиток
734	"
Дорогие священники,

у меня плохие новости.  Похоже, что наша затея в Энроте провалилась так же, как и наша уловка против Катерины в Эрафии.  Не думаю, что попытки привлечь новообращенных будут удачными, таким образом, как самое оптимальное, я бы посоветовал выбираться наружу.  Верю, что мы сможем перегруппировать силы и нанести ответный удар в подходящее время, но вы должны оставаться невидимым до поры до времени.

Ксенофекс"	Храм Баа	Письмо от Ксенофекса
735	Missing Scroll Text 735		Пустой свиток
736	Missing Scroll Text 736		Пустой свиток
737	Missing Scroll Text 737		Пустой свиток
738	Missing Scroll Text 738		Пустой свиток
739	Missing Scroll Text 739		Пустой свиток
740	"
Черное снадобье Омоложения может пригодиться, чтобы исправить эффект старения. Чтобы приготовить зелье, смешайте белое снадобье Божественного Восстановления и одно из следующих трёх зелий: Благословение, Сохранение, или Дышать под водой."	Омоложение	
741	"
Черное снадобье Абсолютной Силы - мечта любого искателя приключений.  Постоянная прибавка к силе может превратить ЛЮБОГО в боевую машину.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Силы простое оранжевое зелье."	Абсолютная Сила	
742	"
Черное снадобье Абсолютной Меткости - мечта любого стрелка.  Постоянная прибавка к меткости может превратить ЛЮБОГО в боевую машину.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Меткости простое зелёное зелье."	Абсолютная Меткость	
743	"
Черное снадобье Абсолютной Силы духа значительно увеличит силу духа и позволит использовать больше заклинаний Эго.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Силы духа простое пурпурное зелье."	Асолютная Сила духа	
744	"
Черное снадобье Абсолютной Выносливости - мечта любого искателя приключений.  Постоянная прибавка к выносливости может превратить ЛЮБОГО в боевую машину, увеличив количество единиц здоровья до запредельных значений.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Выносливости простое зелёное зелье."	Абсолютная Выносливость	
745	"
Черное снадобье Абсолютного Интеллекта значительно увеличит интеллект и позволит использовать больше заклинаний стихий.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Интеллекта простое оранжевое зелье."	Абсолютный Интеллект	
746	"
Черное снадобье Абсолютной Скорости может быть крайне полезно, если вы никак не можете выиграть инициативу в бою.  Постоянная прибавка к скорости позволит вам оправиться и атаковать раньше оппонента.  Всегда можно быть ещё быстрее.  Чтобы приготовить это зелье, добавьте к белому снадобью Усиления Скорости простое пурпурное зелье."	Абсолютная Скорость	
747	"
Черное снадобье Абсолютной Удачи может быть решением ваших проблем, если никто в отряде не умеет обезвреживать ловушки.  Постоянная прибавка к удаче позволит быстро увернуться до того, как ловушка сработает.  Удачи никогда много не бывает.  Чтобы приготовить это зелье, смешайте белое снадобье Быстроты и зелье Каменной Кожи."	Абсолютная Удача	
748	"
Черное снадобье Истребления превращает любое оружие в оружие Убийцы Драконов.  Чтобы приготовить это зелье, смешайте белое Огненное снадобье и зелье Щита."	Снадобье Истребления	
749	"
Черное снадобье Из камня в плоть позволяет излечить окаменение тела.  Чтобы приготовить это зелье, смешайте белое снадобье Лечения Паралича и зелье Мужества."	Из камня в плоть	
750	"
Белое снадобье Усиления Силы временно усиливает вашу силу, когда это необходимо.  Чтобы приготовить это зелье, добавьте пурпурное зелье к составному снадобью Мужества."	Усиление Силы	
751	"
Белое снадобье Усиления Интеллекта временно усиливает интеллект, когда это необходимо.  Чтобы приготовить это зелье, добавьте зелёное зелье к составному снадобью Закалки."	Усиление Интеллекта	
752	"
Белое снадобье Усиления Силы духа временно усиливает силу духа, когда это необходимо.  Чтобы приготовить это зелье, добавьте зелёное зелье к составному снадобью Перезарядки."	Усиление Силы духа	
753	"
Белое снадобье Усиления Выносливости временно усиливает выносливость, когда это необходимо.  Чтобы приготовить это зелье, добавьте пурпурное зелье к составному снадобью Щита."	Усиление Выносливости	
754	"
Белое снадобье Усиления Скорости временно усиливает вашу скорость, когда это необходимо.  Чтобы приготовить это зелье, добавьте оранжевое зелье к составному снадобью Ускорения."	Усиление Скорости	
755	"
Белое снадобье Усиления меткости временно усиливает вашу меткость, когда это необходимо.  Чтобы приготовить это зелье, добавьте оранжевое зелье к составному снадобью Каменной кожи. "	Усиление Меткости	
756	"
Белое Огненное снадобье превращает любое оружие в оружие Пламени и также может быть брошено.  Чтобы приготовить это зелье, смешайте зелье Ускорения и зелёное зелье, или же зелье Каменной кожи и пурпурное зелье."	Огненное Снадобье	
757	"
Белое снадобье Заморозки превращает любое оружие в оружие Мороза и также может быть брошено.  Чтобы приготовить это зелье, смешайте зелье Мужества и зелёное зелье, или же зелье Щита и оранжевое зелье."	Снадобье заморозки	
758	"
Белое Отравленное снадобье превращает любое оружие в оружие Отравы и также может быть брошено.  Чтобы приготовить это зелье, смешайте зелье Перезарядки и оранжевое зелье, или же зелье Закалки и пурпурное зелье."	Отравленное Снадобье	
759	"
Белое Шокирующее снадобье превращает любое оружие в оружие Искр и также может быть брошено.  Чтобы приготовить это зелье, смешайте зелье Ускорения и пурпурное зелье, или же зелье Мужества и оранжевое зелье."	Шокирующее Снадобье	
760	"
Белое снадобье Быстроты превращает любое оружие в оружие Скорости.  Чтобы приготовить это зелье, смешайте зелье Перезарядки и пурпурное зелье, или же зелье Щита и зелёное зелье."	Снадобье Быстроты	
761	"
Белое снадобье Лечения Паралича снимает паралич. Чтобы приготовить это зелье, смешайте зелье Закалки и оранжевое зелье, или же зелье Каменной кожи и зелёное зелье."	Лечение Паралича	
762	"
Белое снадобье Божественного Восстановления исцеляет все состояния, за исключением окаменения, смерти и уничтожения. Чтобы приготовить это зелье, смешайте два составных снадобья: Ускорение и Перезарядку, или Каменную Кожу и Щит, или Мужество и Закалку."	Снадобье Божественного Восстановления	
763	"
Белое снадобье Божественного Лечения более сильное, чем снадобье Лечения ран. Чтобы приготовить это зелье, смешайте составные снадобья Ускорения и Каменной кожи."	Божественное лечение	
764	"
Белое снадобье Божественной Силы более сильное, чем Магическое снадобье. Чтобы приготовить это зелье, смешайте составные снадобья Закалки и Перезарядки."	Божественная Сила	
765	"
Белое снадобье Усиления Удачи временно усиливает вашу удачу, когда это необходимо. Чтобы приготовить это зелье, смешайте составные снадобья Мужества и Щита."	Усиление Удачи	
766	"
Белое снадобье Защиты от огня временно увеличивает устойчивость к огненному урону.  Чтобы приготовить это зелье, смешайте составные снадобья Ускорения и Закалки."	Защита от огня	
767	"
Белое снадобье Защиты от грома временно увеличивает устойчивость к электрическим атакам. Чтобы приготовить это зелье, смешайте составные снадобья Ускорения и Щита."	Защита от грома	
768	"
Белое снадобье Защиты от холода временно увеличивает устойчивость к урону от холода.  Чтобы приготовить это зелье, смешайте составные снадобья Закалки и Щита."	Защита от холода	
769	"
Белое снадобье Защиты от магии временно увеличивает устойчивость к чистой магии.  Чтобы приготовить это зелье, смешайте составные снадобья Мужества и Каменной кожи."	Защита от магии	
770	"
Белое снадобье Защиты от мысли временно увеличивает устойчивость к ментальным атакам. Чтобы приготовить это зелье, смешайте составные снадобья Мужества и Перезарядки."	Защита от мысли	
771	"
Белое снадобье Защиты от яда временно увеличивает устойчивость к ядам и кислоте.  Чтобы приготовить это зелье, смешайте составные снадобья Каменной кожи и Перезарядки."	Защита от яда	
772	"
Черное снадобье Иммунитета к огню даёт полную неуязвимость к огненному урону в течение своего (короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от огня простое зелёное зелье."	Иммунитет к огню	
773	"
Черное снадобье Иммунитета к грому даёт полную неуязвимость к электрическим атакам в течение своего (короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от грома простое оранжевое зелье."	Иммунитет к грому	
774	"
Черное снадобье Иммунитета к холоду даёт полную неуязвимость к урону от холода в течение своего (короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от холода простое пурпурное зелье."	Иммунитет к холоду	
775	"
Черное снадобье Иммунитета к яду даёт полную неуязвимость к ядам и кислоте в течение своего (короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от яда простое оранжевое зелье."	Иммунитет к яду	
776	"
Черное снадобье Иммунитета к мысли даёт полную неуязвимость к ментальным атакам в течение своего (короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от мысли простое зелёное зелье."	Иммунитет к мысли	
777	"
Черное снадобье Иммунитета к магии даёт полную неуязвимость к чистой магии в течение своего (очень короткого) времени действия.  Чтобы приготовить это зелье, добавьте к белому снадобью Защиты от магии простое пурпурное зелье."	Иммунитет к магии	
778	"
Черное снадобье Отражения боли наносит монстрам урон, равный их атаке.  Чтобы приготовить это зелье, смешайте белое Отравленное снадобье и зелье Ускорения."	Отражение боли	
779			
780			Ритуал Вселения Тьмы
781			
			
			
			
			
