Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes		
21	item021	Эрафийский длинный кинжал	200	Weapon	Dagger	2d3	4	7	6	Длинный кинжал	5	0	0	4	81	Больше напоминает короткий меч, чем кинжал. Узкий клинок имеет необычайную прочность. Возможно, лезвие заколдовано.		
22	item022	Изысканный длинный кинжал	350	Weapon	Dagger	2d3	7	7	12	Длинный кинжал	5	0	0	10	84	Строгая, но привлекательная конструкция этого длинного кинжала типична для артефактов из времени до-Забвения.  В частности, этот стиль был очень популярен в то время, но с тех пор прошло более тысячи лет, мало что осталось.  Подобно всему другому из времени Забвения, он выглядит таким же новым, как в день своего создания.		
23	item023	Простой топор	30	Weapon	Axe	4d2	0	5	1	Топор	7	0	0	17	82	Этот примитивный топор больше похож на простой инструмент, чем на оружие.		
24	item024	Боевой топор	100	Weapon	Axe	4d2	2	5	4	Топор	7	0	0	19	86	Топор с расширяющимся лезвием. Обычная конструкция, используемая низкобюджетными армиями людей и бандитами. 		
25	item025	Топор гномов	250	Weapon	Axe	4d2	5	5	8	Топор	7	0	0	28	100	Типичный продукт производства гномов:  дешево, надежно и практично.		
26	item026	Стальной топор	400	Weapon	Axe	4d2	8	5	13	Топор	7	0	0	15	120	Один из нескольких ящиков, наполненных такими топорами, украден у гномов чернокнижниками из Нигона.  Каждый из этих топоров был закален и заколдован в литейном цехе Каменного города и проштампован их клеймом.		
27	item027	Топор минотавров	550	Weapon	Axe	4d2	11	5	18	Топор	7	0	0	28	100	Двухсторонние топоры, наподобие этих, сильно заколдованы волхвами Минотавров в таинственном обряде, который известен только им.  Эти топоры легки, хотя должны быть тяжелыми, и проходят сквозь металлические доспехи так же легко, как они прошли бы через ткань.		
28	item028	Секира	225	Weapon2	Axe	3d7	0	5	1	Двуручный топор	8	0	0	19	142	Этот тип топора с длинной рукояткой позволяет дотянуться дальше и нанести удар сильнее, чем обыкновенный одноручный топор.		
29	item029	Секира воина	450	Weapon2	Axe	3d7	3	5	7	Двуручный топор	8	0	0	22	140	Эта секира имеет более острое лезвие и оснащена всеми новейшими достижениями военной технологии.  бороздки для стока крови, отверстия для свиста и малое лезвие-противовес для нанесения ловких, потрошащих ударов.		
30	item030	Секира Палача	900	Weapon2	Axe	3d7	9	5	13	Двуручный топор	8	0	0	20	170	Названная так за популярность среди палачей, эта секира оснащена более длинным лезвием, что позволяет избежать кровавых ошибок при казни.  		
31	item031	Грубое копье	15	Weapon1or2	Spear	1d9	0	6	1	Копье	9	0	0	0	141	Хотя это копье - просто грубая палка с навязанным на нее куском острого камня, оно может причинить серьезный урон. (+1D9 при использовании двумя руками).		
32	item032	Копье солдата	50	Weapon1or2	Spear	1d9	1	6	4	Копье	9	0	0	8	118	Копья, подобные этому, можно найти во всех армиях, где постоянно демонстрируется их удобство и надежность.		
33	item033	Копье эльфов	250	Weapon1or2	Spear	1d9	5	6	9	Копье	9	0	0	0	133	Оружие эльфов почти всегда настолько грациозно, насколько практично.  Стиль и элегантность копья были достигнуты не за счет практических качеств - таких, как прочное присоединение наконечника к древку или выбора металла и материала для рукояти.		
34	item034	Жестокое копье	450	Weapon1or2	Spear	1d9	9	6	13	Копье	9	0	0	7	135	Треугольный наконечник копья вызывает особенно болезненные раны, которые исцелить нелегко.  Рунические надписи на древке, по всей видимости, дают дополнительные чары, усиливающие действие треугольного наконечника.		
35	item035	Величественное копье	650	Weapon1or2	Spear	1d9	13	6	18	Копье	9	0	0	5	126	Клеймо кузнеца и дата изготовления на копье свидетельствуют о том, что оно было изготовлено в магических кузницах Правителя Падиша за 12 лет до Забвения.		
36	item036	Алебарда	200	Weapon1or2	Spear	3d6	0	6	1	Алебарда	10	0	0	29	141	Подобно всем алебардам, это оружие представляет собой топор с очень длинной рукояткой.  Это универсальное оружие действует, как копье, при битве в ограниченном пространстве или, как посох, когда необходима персональная защита.  Данный экземпляр изготовлен из обычных материалов.		
37	item038	Утяжеленная алебарда	400	Weapon1or2	Spear	3d6	4	6	7	Алебарда	10	0	0	28	141	В рукоятку этой алебарды был вставлен свинцовый стержень.  При замахивании оружием стержень скользит к лезвию алебарды с громким ударом, увеличивая степень наносимого урона.		
38	item037	Мощная алебарда	700	Weapon1or2	Spear	3d6	10	6	13	Алебарда	10	0	0	28	140	Маленькое клеймо на лезвии этого оружия свидетельствует о том, что алебарда была изготовлена в знаменитой литейной Мекорика самим мастером, Мекориком Слепым.  Вам придется сильно потрудиться, чтобы найти лучшую алебарду в мире 		
39	item039	Трезубец	100	Weapon1or2	Spear	2d6	0	6	1	Трезубец	11	0	0	8	146	Вариант фермерских вил, трезубец используется рыбаками с начала времен.  А сейчас это - традиционное во всем мире оружие отправляющихся в море воинов.		
40	item040	Заостренный трезубец	400	Weapon1or2	Spear	2d6	6	6	7	Трезубец	11	0	0	9	142	Улучшая обычную конструкцию трезубца, кончики зубцов имеют грубые, загнутые назад зазубрины.  Эта конструкция наносит гораздо больший урон, когда оружие вытаскивается из жертвы.		
41	item041	Трезубец Войны	700	Weapon1or2	Spear	2d6	12	6	13	Трезубец	11	0	0	18	139	"Стиль, любимый в Имперских ВМС Регны; раздвоенные зубцы трезубца войны тонкие и острые, что позволяет резать так же легко, как и колоть.  Для произведения большего впечатления на врагов зубцы покрыты латунью, а рукоятка выкрашена в желтый цвет, что создает видимость, будто регнанцы сражаются золотым оружием."		
42	item042	Простой лук	100	Missile	Bow	5d2	0	3	1	Большой лук	12	0	0	12	40	Обычный большой лук незамысловатой формы из обычных материалов.		
43	item043	Большой лук	200	Missile	Bow	5d2	2	3	4	Большой лук	12	0	0	12	40	Большой лук высокого качества сконструирован в подражание эльфийскому большому луку, но без эльфийского мастерства.		
44	item044	Эльфийский большой лук	300	Missile	Bow	5d2	4	3	8	Большой лук	12	0	0	12	40	Вырезанные у основания этого лука инициалы говорят о том, что он изготовлен главным мастером цеха Ивана Селвинга во времена Древесных Войн в конце седьмого столетия.		
45	item045	Составной лук	400	Missile	Bow	5d2	6	3	13	Большой лук	12	0	0	12	40	Составные луки сделаны из разнообразных материалов и частей, а не из одного куска дерева.  Они обычно более прочные и гибкие, чем обыкновенные луки.		
46	item046	Лук Грифона	500	Missile	Bow	5d2	8	3	18	Большой лук	12	0	0	12	40	Страшные материалы, применяемые в этом луке, - череп грифона и жесткий позвоночник, - делают его удивительно прочным и мощным луком.  Нет надобности говорить, что эти материалы трудно получить, а грифоны сопротивляются намного сильнее, чем тисовые деревья.		
47	item047	Арбалет	50	Missile	Bow	4d2	0	4	1	Арбалет	13	0	0	12	10	Хотя у арбалета много преимуществ - запирающий захват тетивы, большая сила выстрела, легкость освоения, - они не могут сравниться с большим луком, когда критическое значение имеют скорость и дальность.  		
48	item048	Тяжелый арбалет	200	Missile	Bow	4d2	3	4	7	Арбалет	13	0	0	12	10	Эти арбалеты заготавливались Арчибальдом накануне Войны за Наследство против его брата.  Как во всех решениях, связанных со смертью, Арчибальд сделал мудрый выбор.  Эти арбалеты считаются одними из лучших в стране.		
49	item049	Идеальный арбалет	400	Missile	Bow	4d2	7	4	13	Арбалет	13	0	0	26	10	Снабженные заводной рукояткой и прицелом, эти уникальные арбалеты превосходят любого из своих предшественников.  Вот только о происхождении этих арбалетов ничего пока неизвестно...		
50	item050	Булава	50	Weapon	Mace	2d4	0	6	1	Булава	14	0	0	6	95	Едва ли более сложная, чем обычная палица, булава несколько более эффективна и намного надежнее.		
51	item051	Шипастая булава	150	Weapon	Mace	2d4	2	6	4	Булава	14	0	0	10	96	Это оружие предназначено для нанесения значительного урона как облаченному в доспехи сопернику, так и не имеющему их.		
52	item052	Булава Фанатика	300	Weapon	Mace	2d4	5	6	8	Булава	14	0	0	12	94	Обыкновенная булава из Каригора подтверждает высокое качество оружия и снаряжения с этого острова.		
53	item053	Утренняя Звезда Гномов	450	Weapon	Mace	2d4	8	6	13	Булава	14	0	0	1	67	Разновидность булавы, Утренняя Звезда поражает медленнее, но намного сильнее.  Шипы на наконечнике гарантируют, что тот, кому наносится удар, его почувствует несмотря на доспехи или шкуру.		
54	item054	Великий кистень	600	Weapon	Mace	2d4	11	6	18	Булава	14	0	0	1	78	Более тяжелое, более грозное оружие, чем Утренняя Звезда, кистени так же опасны для своего владельца, как они опасны для соперников.  Кистени, наподобие этого, имеют самое высокое качество и полностью заколдованы Гильдией Чернокнижников из Нигона.		
55	item055	Молот	120	Weapon	Mace	2d5	0	6	1	Молот	15	0	0	11	71	Грубое, напоминающее инструмент, оружие. Включает цепь для запястья , что предохраняет молот от падения из руки.		
56	item056	Молот Войны	300	Weapon	Mace	2d5	3	6	7	Молот	15	0	0	19	98	Эти молоты представляют качественный прорыв в своем разряде и широко используются человекообразными монстрами.  А так как всем хорошо известно, что сами монстры оружия не делают, возникает закономерный вопрос: Откуда же они их берут?...		
57	item057	Молот гномов	600	Weapon	Mace	2d5	9	6	13	Молот	15	0	0	19	88	Это вершина линейки молотов.  Молот гномов был сконструирован в литейных цехах Каменного города, и обладает совершенными качествами: балансировка, вес, материал рукояти, конструкция головы - все лучшее, с применением современнейших технологий металлообработки.		
58	item058	Палица	1	Weapon	Club	1d3	0	3	0	Палица	16	0	0	5	121	Примитивное оружие, которым может воспользоваться даже самый тупой монстр.  Эта палица изготовлена из эрафийского дуба.		
59	item059	Шипастая палица	40	Weapon	Club	1d3	3	3	3	Палица	16	0	0	3	87	От обычной палицы эту улучшенную версию отличает то, что она наносит еще более неприятные ранения.		
60	item060	Стальная палица	100	Weapon	Club	1d3	5	3	6	Палица	16	0	0	7	100	Симметричность и длина шишки на конце палицы - это единственная черта, которая отличает палицу от булавы.  Балансировка хорошая, конструкция прочная, но это ВСЕ ЖЕ палица и нельзя ждать от нее многого.  По всей вероятности, произведена гоблинами.		
61	item061	Посох	40	Weapon2	Staff	2d4	0	3	1	Посох	17	0	0	1	115	Посох - это распространенное оружие угнетенных.		
62	item062	Посох со стальной сердцевиной	250	Weapon2	Staff	2d4	3	3	7	Посох	17	0	0	2	101	Этот посох наполнили железом, что усилило его удар по сравнению с обычным посохом, в то время как внешне он ничем не отличается от модной прогулочной трости.  Дерево - полированный ясень, покрытый затейливой резьбой.		
63	item063	Посох Чародея	500	Weapon2	Staff	2d4	7	3	13	Посох	17	0	0	3	96	Этот посох - таинственная комбинация из дерева, стекла и алюминия с хрустальным черепом на верхушке.  Оружие скреплено клеем и сильными чарами, что делает его одним из самых легких и прочных посохов в мире.		
64	item064	Бластер	5000	Missile	Blaster	3d5	8	10	45	Древнее оружие	18	0	0	7	-85	Оружие огромной силы, безусловно, созданное во Время Чудес.  		
65	item065	Лучевое ружье	20000	Missile	Blaster	5d5	12	10	50	Древнее оружие	19	0	0	3	5	Это лучший образец личного оружия, созданный во Время Чудес. Лучевое Ружье убивает быстрее любого оружия, что вы встречали до этого.		
66	item066	Кожаные Доспехи	150	Armor	Leather	4	0	3	1	Кожаные Доспехи	20	0	0	0	0	Кожаные доспехи - это самые легкие доспехи, но они дают меньшую защиту, чем более тяжелые.  Кожа в этих доспехах не была обработана должным образом и все еще дурно пахнет химикалиями, применяемыми для ее производства.		
67	item067	Клепанная кожа	250	Armor	Leather	4	2	3	4	Кожаные Доспехи	20	0	0	0	0	Комплект кожаных доспехов удерживается вместе бронзовыми заклепками, а не кожаными полосами.  Эта конструкция прочнее, но при этом и тяжелее.		
68	item068	Кожаные доспехи офицера	450	Armor	Leather	4	6	3	8	Кожаные Доспехи	20	0	0	0	0	В принципе, обычные кожаные доспехи, но в них чувствуется едва уловимая энергия заклинания, которое укрепляет материал, не увеличивая доспехи в весе.		
69	item069	Регнанские кожаные доспехи	750	Armor	Leather	4	12	3	12	Кожаные Доспехи	20	0	0	0	0	Стандартные кожаные доспехи офицеров регнанского флота.  Все подобные кожаные доспехи зачарованы в оружейных мастерских Регны с тем, чтобы сделать их более крепкими и легкими.		
70	item070	Королевские кожаные доспехи	1150	Armor	Leather	4	20	3	16	Кожаные Доспехи	20	0	0	0	0	Было изготовлено только несколько доспехов наподобие этих, и все - по специальным заказам для членов королевской семьи Эрафии - Грифонхартов.  Эти, должно быть, пришли из одного из трех мест:  украдены из оружейной дворца, взяты на поле боя или из ограбленной могилы.		
71	item071	Кольчуга	400	Armor	Chain	8	0	6	1	Кольчуга	21	0	0	0	0	Кольчуга - это доспехи, сделанные из мелких, переплетенных между собой, металлических колец.  Эта кольчуга выглядит так, словно кто-то забывал смазывать кольца или, возможно, оставил кольчугу под дождем, потому что под мышками начала образовываться ржавчина.		
72	item072	Стальная кольчуга	600	Armor	Chain	8	4	6	5	Кольчуга	21	0	0	0	0	Этот комплект кольчуги сделан из стали и, фактически, легче, чем схожие комплекты из простого железа.  В этой конструкции использовались тонкие кольца, но стальной состав делает их очень прочными.		
73	item073	Тонкая кольчуга	900	Armor	Chain	8	10	6	10	Кольчуга	21	0	0	0	0	Сталь очень высокого качества усилена кожей, обитой мелкими заклепками, для смягчения ударов и минимизации веса.  Кожаные участки выглядят вполне художественно и радуют глаз.		
74	item074	Великолепная кольчуга	1300	Armor	Chain	8	18	6	15	Кольчуга	21	0	0	0	0	По всей видимости эта кольчуга служила знаком отличия офицеров в бою.  Кроме того, что она просто хорошо выглядит и является одной из самых легких и гибких из существующих кольчуг.  		
75	item075	Золотая кольчуга	1800	Armor	Chain	8	28	6	20	Кольчуга	21	0	0	0	0	"Крайне редкие доспехи, произведенные в Небесной Кузнице Правителя Падиша до Забвения.  Изначально такие доспехи носил лишь сам Правитель и его высшие военные чины. Эти доспехи были символом правления.  И не чистой элегантности ради; эта кольчуга легче, прочнее и податливее любой другой кольчуги в мире."		
76	item076	Латы	1000	Armor	Plate	20	0	9	1	Латы	22	0	0	0	0	Латы - самый сильный вид брони.  Они намного тяжелее, чем другие виды доспехов, и требуют значительной практики, чтобы привыкнуть их носить.  Этот комплект сделан из железа и не отличается особым мастерством исполнения.		
77	item077	Роскошные латы	1400	Armor	Plate	20	8	9	8	Латы	22	0	0	0	0	Изготовленные в Эрафийской оружейной, эти латы имеют свежее клеймо:  Б.Р., Литейный цех Стедвика, 1151.  Это инициалы Байрона Рокерманна, Королевского оружейника из Эрафии.  Его работы отличаются качеством и элегантностью.		
78	item078	Латы аристократа	2700	Armor	Plate	20	34	9	20	Латы	22	0	0	0	0	Комплект таких прекрасных доспехов мог выйти только из литейной мастерской самого Мастера - Мекорика Слепого.  Действительно на этом, у пятки, инициалы его сына, Касева Мекорика.  Шарниры двигаются легко, а металлические части имеют удивительную тройную броню, которая делает их тонкими и легкими и все же невероятно крепкими.  Подкладка также удобна.		
79	item079	Щит Гоблина	200	Shield	Shield	6	0	4	1	Большой щит	23	0	0	56	73	Простой старый щит с грубыми отметинами на поверхности.  Уродливо, но практично.		
80	item080	Деревянный щит	300	Shield	Shield	6	1	4	4	Большой щит	23	0	0	56	73	Деревянный щит с железной обивкой.  Он тяжелый, но крепко сделан и в хорошем состоянии.		
81	item081	Щит всадника	400	Shield	Shield	6	3	4	8	Большой щит	23	0	0	56	90	Узкий и сходящийся клином внизу, этот щит предназначен для битв верхом на коне, но будет служить хорошо и в пешем строю.  Конструкция щита прочная, материалы качественные. Он должен выдержать и прямой удар копья.		
82	item082	Безупречный щит	500	Shield	Shield	6	7	4	12	Большой щит	23	0	0	61	95	Сделанный из легкого металла, этот щит отмечен клеймом литейного цеха оружейной Келебрима.  Хоть сам щит и легок, он очень прочен. В бою просто не чувствуешь его веса.  		
83	item083	Финаксийский щит	800	Shield	Shield	6	13	4	16	Большой щит	23	0	0	65	90	Эти щиты ковались в Финаксийской империи во времена ее короткого правления над эрафийскими степями (790-864 гг.).  Такие щиты делались из стальта - металла, легко поддающегося чарам, и внесли большой вклад в военную мощь финаксийцев.  К сожалению, такого металла было совсем немного, и Финаксия пала в 864 г. П.З. под натиском эльфов.		
84	item084	Небольшой круглый деревянный щит	100	Shield	Shield	4	0	4	1	Малый щит	24	0	0	25	25	Небольшой круглый деревянный щит предназначен для защиты от стрел, не стесняя движений своего владельца.  Качество любительское, но он в хорошем состоянии и послужит своей цели.		
85	item085	Бронзовый щит	200	Shield	Shield	4	2	4	4	Малый щит	24	0	0	55	44	Бронзовые щиты легче железных щитов того же размера, но значительно уступают им в прочности.		
86	item086	Металлический щит	300	Shield	Shield	4	4	4	8	Малый щит	24	0	0	63	60	Красивый красный узор на поверхности щита означает, что он из Дейи, а краска не является краской.  Протравка и сохраняющие средства помогают удержать первоначальный цвет...		
87	item087	Легированный щит	450	Shield	Shield	4	8	4	12	Малый щит	24	0	0	55	55	Точный состав сплава, используемого в этих прочных щитах, был утрачен сотни лет назад. Попытки вновь открыть процесс, использовавшийся для их приготовления, заканчивались неудачами.  Эти щиты не были зачарованы при изготовлении - любые чары, которые они содержат, были добавлены после их создания.  		
88	item088	Величественный щит	750	Shield	Shield	4	14	4	16	Малый щит	24	0	0	55	55	Темный золотой цвет этих щитов, - фактически, недостаток.  Около пятидесяти щитов было выпущено из Небесной Кузницы, когда начались неудачи.  И хотя они не совершенны, они уступают только щитам, созданным в Кузнице в пору ее расцвета.		
89	item089	Рогатый шлем	60	Helm	Misc	2	0	6	1	Шлем	25	0	0	0	20	Этот дешевый шлем больше подходит для костюмированного вечера, чем для битвы.  Рога были присоединены к жесткой кожаной шапке, выкрашенной в черный цвет, чтобы придать ей более ужасный вид.  Материал хрупкий и слоистый и, вероятно, отстанет в самое неподходящее время.		
90	item090	Шлем новобранца	260	Helm	Misc	2	4	6	4	Шлем	25	0	0	0	0	Простой стиль и однообразие этих шлемов предназначены вселить ужас в сердца врагов, когда они видят, как бронзовые шлемы с шипами, ряд за рядом, маршируют на них.  		
91	item091	Прочный шлем	460	Helm	Misc	2	6	6	8	Шлем	25	0	0	0	0	Такого рода шлемы использовались эрафийскими эльфами еще до Забвения.  Он сделан из серебра и стали и потому очень прочен.		
92	item092	Финаксийский шлем	660	Helm	Misc	2	8	6	12	Шлем	25	0	0	0	0	Бывшие в ходу у финаксийских драгун во время экспансии их империи несколько сотен лет назад, эти шлемы прочны, гибки и легки.  Сделаны они из двух полосок шкуры дракона, соединенных вместе заклепками из стальта.		
93	item093	Шлем могреда	860	Helm	Misc	2	10	6	16	Шлем	25	0	0	0	-3	Эти шлемы наполовину состоят из черепа могреда, опасного зверя из Каригора. Такие шлемы встречаются все реже с каждым годом, по мере того как могреды вымирают.  Из красных пятен спереди шлема торчали два ядовитых шипа.		
94	item094	Шляпа крестьянина	20	Helm	Misc	0	0	2	1	Шляпа	26	0	0	0	0	Обычная матерчатая шляпа с пером, заткнутым за ленту для шика.		
95	item095	Шляпа путешественника	100	Helm	Misc	0	0	2	4	Шляпа	26	0	0	0	0	Простая шляпа предназначена для защиты от солнца и пыли.		
96	item096	Модная шляпа	200	Helm	Misc	0	0	2	8	Шляпа	26	0	0	0	0	Последний писк моды, эта шляпа возвращает нас к стилю рабочего класса.  В действительности дело не в стиле шляпы, а в том, что молодые аристократы пытаются подражать рабочему человеку, который, в свою очередь, подражает знати.		
97	item097	Корона	250	Helm	Misc	0	0	4	10	Корона	27	0	0	0	-3	Это дешевая корона вроде тех, что носят примитивные гоблины, чтобы подражать обычаям людей.  Металл - бронза, а драгоценный камень на самом деле - стекляшка.		
98	item098	Корона Знати	450	Helm	Misc	0	0	4	15	Корона	27	0	0	0	0	Прекрасная, в какой-то мере даже хвастливая, корона сделана из золотого листа и украшена большим аметистом высокого качества.  Она хорошо подходит знати вашего круга.		
99	item099	Королевская корона	650	Helm	Misc	0	0	4	20	Корона	27	0	0	0	0	Такие короны изготавливаются с использованием магии, чтобы они обладали более сильной восприимчивостью к чарам.  Если же такая корона не зачарована, это означает, что кто-то просто не закончил работу над ней. 		
100	item100	Кожаный пояс	40	Belt	Misc	0	0	3	1	Пояс	28	0	0	0	0	Пояс крестьянина.  Этот экземпляр сделан из плохо обработанной кожи и ржавеющих железных заклепок.		
101	item101	Красивый пояс	100	Belt	Misc	0	0	3	4	Пояс	28	0	0	0	0	Прекрасно выполненный пояс из хорошо обработанной и тонко прошитой кожи.  Пряжка выполнена из полированного серебра.		
102	item102	Крепкий пояс	225	Belt	Misc	0	0	3	8	Пояс	28	0	0	0	0	Прочный пояс из кожи высокого качества.  Этот, вероятно, сделан в Западной Эрафии.  		
103	item103	Серебряный пояс	450	Belt	Misc	0	0	3	12	Пояс	28	0	0	0	0	Очень хорошо изготовленный пояс, старый, но за ним хорошо ухаживали.  Ни на одном из его звеньев нет следов потускнения - только небольшой износ вокруг пряжки.		
104	item104	Позолоченный пояс	600	Belt	Misc	0	0	3	16	Пояс	28	0	0	0	0	Чрезвычайно блестящий, этот пояс изготовлен из золота в 14 карат.  Каждое звено имеет различное изображение низкого качества, проштампованное на его поверхности.  Безвкусно, но дорого.		
105	item105	Кожаная накидка	50	Cloak	Misc	1	0	2	2	Накидка	29	0	0	0	0	Простая накидка путешественника.		
106	item106	Накидка охотника	150	Cloak	Misc	1	2	2	5	Накидка	29	0	0	0	0	Накидка охотника выкрашена в зеленый цвет, чтобы владельца было трудно заметить в лесу.  Не на что смотреть, но служит своему назначению.		
107	item107	Накидка рейнджера	250	Cloak	Misc	1	4	2	9	Накидка	29	0	0	0	0	Такие накидки ткутся из растительных волокон из Тулареанского леса и типичны для эльфийских рейнджеров.		
108	item108	Элегантная накидка	450	Cloak	Misc	1	6	2	14	Накидка	29	0	0	0	0	Накидку такого качества выбирает богатая знать и члены королевской семьи.  Трудно найти лучше.		
109	item109	Великолепная накидка	750	Cloak	Misc	1	8	2	20	Накидка	29	0	0	0	0	Почти все накидки, наподобие этой, имеют те или иные чары.  Чернокнижники  из Нигона используют легионы умственно порабощенных людей для выполнения нудной ткацкой работы и  сотворения ритуальных заклинаний, нужных для изготовления этих накидок.		
110	item110	Латные рукавицы	100	Gauntlets	Misc	3	0	6	2	Латные рукавицы	30	0	0	0	0	Железные латные рукавицы низкого качества с матерчатой прокладкой для предотвращения волдырей.  		
111	item111	Стальные латные рукавицы	250	Gauntlets	Misc	3	3	6	5	Латные рукавицы	30	0	0	0	0	Эта пара латных рукавиц изготовлена из стали и украшена латунным узором вдоль внешней стороны ладони и тыльной части руки.  Она хорошо отремонтирована и смазана.		
112	item112	Серебряные рукавицы	450	Gauntlets	Misc	3	5	6	9	Латные рукавицы	30	0	0	0	0	Эти прекрасные латные рукавицы отлиты и созданы гномами из Каменного города.  Они обладают гибкостью, но при этом обеспечивают хорошую защиту.  Единственное проблема состоит в том, что кожа владельца иногда попадает в сетку, что приводит к болезненным щипкам.		
